title	creator	date_expression	date	language	extent	description	provenance	subject	spatial	format	type	collection_slug	aleph_id	oclc_num	local_id	display_format	rights	rights_note
Daniel Hoit papers	Hoit, Daniel	1828-1848 and undated.	1828/1848	eng	11 items	Collection consists of Hoit's political papers and abolitionists' letters to him. The contents concern the tariff, Jackson campaign, anti-slavery sentiments and strategy, and the Liberty Party. One document appears to be a draft or copy of a memorandum from a Liberty Party, Home Squadron, candidate accepting the nomination. The candidate sets forth his answers to questions about the monetary affairs of the country, the act of Congress for the distribution of the proceeds of public lands, the establishment of the Home Squadron, and the tariff. Correspondents include a number of congressmen, especially N.H. politicians. Some of these are David Barker, Jr., John Parker Hale, Amos Tuck, and Nathaniel Rogers. One letter contains a vivid description of a physical scuffle between two House members, Bell and Turney.	Purchase, 1979	Monetary policy -- United States -- History| Tariff| Abolitionists -- United States| Slavery -- United States| Antislavery movements -- New Hampshire| Barker, David, 1797-1834| Hale, John P. (John Parker), 1806-1873| Hoit, Daniel| Rogers, Nathaniel Peabody, 1794-1846| Tuck, Amos, 1810-1879| Liberty Party (U.S.)| New Hampshire -- Politics and government -- 1775-1865	New Hampshire		Text	hoitdanielpapers-002460470	002460470	39224312	[local_id]	image		[rights_note]
John W. Holberton letters	Holberton, John W.	1856-1860	1856/1860	eng	98 items	Letters to John W. Holberton, for the most part concerned with business and personal matters including letters reporting the failure of brokerage and banking firms in New York, 1857; letters on Democratic Party politics, 1857; and a letter from William H. Powell, an artist, advocating that the United States government employ American artists rather than foreigners such as Horace Vernet.		Holberton, John W.| Powell, William H.| Powell, William H., creator.| Vernet, Horace| Democratic Party (U.S.) -- History -- 19th century| New York (N.Y.) -- History -- 1775-1865| United States -- Politics and government -- 1857-1861	New York (N.Y.)| United States		Text	holbertonjohnwletters-002567341	002567341	41174933	[local_id]	image		[rights_note]
John Holland papers	Holland, John	1793-1806	1793/1806	eng	3 items	Papers and an account book concerning a debt owed to John Holland by Zachariah Cox, a Philadelphia merchant.		Debt -- Pennsylvania| Cox, Zachariah| Holland, John		Account books	Text	hollandjohnpapers-002567346	002567346	41174924	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
John W. Holland letters	Holland, John W.	1859-1876	1859/1876	eng	20 items	Correspondence among members of a family in North Carolina, Virginia, the Midwest and the Southwest. The letters describe the trip west; prices in western states; and the political and racial situation in Abbeville County, S.C., 1876.		Migration, Internal -- United States| Reconstruction (U.S. history, 1865-1877) -- South Carolina| Holland, John W.| Holland family| Abbeville County (S.C.) -- Politics and government| West (U.S.) -- Economic conditions| West (U.S.) -- Emigration and immigration	Abbeville County (S.C.)| West (U.S.)	Personal correspondence	Text	hollandjohnwletters-000894281	000894281	20748650	[local_id]	image		[rights_note]
John Hollingsworth papers	Hollingsworth, John, -1833	1807-1880	1807/1880	eng	32 items	Bills of sale for slaves sold by John Hollingsworth and a contract between D.F. Hollingsworth and his overseer. Included also are papers concerning the settlement of Hollingworth's estate.		Executors and administrators -- South Carolina -- Edgefield District| Plantations -- South Carolina -- Edgefield District| Slave bills of sale -- South Carolina -- Edgefield District| Hollingsworth, D. F.| Hollingsworth, John, -1833| Hollingsworth, John, -1833 -- Estate.| Edgefield District (S.C.) -- History	Edgefield District (S.C.)		Text	hollingsworthjohnpapers-000894284	000894284	20748677	[local_id]	image		[rights_note]
Julian J. Hollingsworth family letters	Hollingsworth, Julian J.	1857-1867	1857/1867	eng	19 items	The majority of the letters are written by Sarah Walker of Gentryville, Mo., to her daughter, Mrs. Julian J. Hollingsworth, concerning family matters centering around her sons, William Nelson Walker and George W. Walker, both of the 25th Missouri Volunteers. Seven of the letters are written from the battlefield and give details of battles and army life; four are from William Nelson and George W. Walker; one is from Joseph Hollingsworth of the 7th Indiana volunteers, 1862, August 18; and one is from Julian to his wife, 1862, July 24. There is also a letter (1857, June 15) written by John M. Smith, Eldora, Hardin Co., Iowa, to his cousin in Texas regarding his thoughts on abolition and one from George Walker, Sr., (1867, April 2) to his son-in-law, Julian.	Purchase 1971	Slavery -- United States| Hollingsworth, Julian J.| Hollingsworth family| Walker family| United States. Army. Missouri Volunteer Infantry Regiment, 25th.| United States. Army. Indiana Volunteer Infantry Regiment, 7th.| United States -- History -- Civil War, 1861-1865	United States		Text	hollingsworthjulianjletters-002520496	002520496	40248679	[local_id]	image		[rights_note]
Lydia E. Hollingsworth letters	Hollingsworth, Lydia E.	1839-1840 and undated.	1839/1840	eng	4 items	Letters to Hollingsworth from family members in Hagerstown, Maryland. The letters concern news of family and friends in Maryland, parental advice to their student daughter, and a description of her sister's work in school.	Purchase 1985	Catholic college students -- Maryland| Women -- Education| Hollingsworth, Lydia E.| Hollingsworth family		Personal correspondence	Text	hollingsworthlydiaeletters-000748102	000748102	15672111	[local_id]	image		[rights_note]
Seth Hollister letters	Hollister, Seth	1860-1865	1860/1865	eng	16 items	Letters to Hollister from his cousins in the 8th Connecticut Regiment during the Civil War and from other soldiers describing the training center at Annapolis, Md.; camp life in Virginia and North Carolina; and New Bern, North Carolina.		Soldiers -- United States -- Correspondence| Hollister, Seth| United States. Army. Connecticut Infantry Regiment, 8th (1861-1865)| United States. Army -- Military life| Annapolis (Md.) -- History -- Civil War, 1861-1865| New Bern (N.C.) -- History -- Civil War, 1861-1865| North Carolina -- History -- Civil War, 1861-1865| Virginia -- History -- Civil War, 1861-1865	Annapolis (Md.)| New Bern (N.C.)| North Carolina| Virginia		Text	hollistersethletters-000861198	000861198	19793265	[local_id]	image		[rights_note]
Abiel Holmes letter	Holmes, Abiel, 1763-1837	1820	1820/1820	eng	1 item	Letter of Abiel Holmes acknowledging a gift from his former parishoners to the American Education Society.		Holmes, Abiel, 1763-1837| American Education Society		Personal correspondence	Text	holmesabiel-002567400	002567400	41177095	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
David Holmes correspondence	Holmes, David, 1770-1832	1802-1826	1802/1826	eng	5 items	Correspondence concerning the early settlement of the Mississippi Territory, the territorial militia, and Holmes' election as governor in 1826 and subsequent resignation.		Governors -- Mississippi| Holmes, David, 1770-1832| Mississippi. Militia| Mississippi -- Politics and government -- To 1865| Mississippi -- History	Mississippi		Text	holmesdavid-000894202	000894202	20748409	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
Gabriel Holmes letter	Holmes, Gabriel, 1769-1829	1822	1822/1822	eng	1 item	A form letter from Gabriel Holmes, governor of North Carolina, to Allen Trimble, acting governor of Ohio.		Holmes, Gabriel, 1769-1829| Trimble, Allen, 1783-1870			Text	holmesgabriel-002567401	002567401	41177096	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
Isaac E. Holmes papers	Holmes, Isaac E. (Isaac Edward), 1796-1867	1787-1859	1787/1859	eng	13 items	Collection contains legal papers, ca. 1787, of John Bee Holmes, father of Isaac E. Holmes, concerning a case involving John Young; and correspondence of Isaac E. Holmes while in congress, consisting chiefly of requests and recommendations for political appointments.		Legislators -- United States -- Correspondence| Holmes, Isaac E. (Isaac Edward), 1796-1867| Holmes, John Bee| Young, John| United States -- Officials and employees -- Selection and appointment	United States		Text	holmesisaacepapers-002487267	002487267	39537440	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Matthew Holmes receipts	Holmes, Matthew	1855-1856	1855/1856	eng	8 items	Receipts for money paid by the town of Londenderry to Matthew and John A. Holmes.		Holmes, John A.| Holmes, Matthew		Receipts (financial records)	Text	holmesmatthew-002567402	002567402	41177101	[local_id]	image		[rights_note]
Silas Holmes letter	Holmes, Silas, 1815-1849	1838	1838/1838	eng	1 item	Letter written on April 9, 1838, by Jeremiah B. Day, President of Yale, to Holmes. Day noted that he was enclosing a certificate, which was a general recommendation of the character of Holmes. The recommendation is also endorsed by Benjamin Silliman, professor of chemistry and natural history at Yale.		Day, Jeremiah, 1737-1806| Holmes, Silas, 1815-1849| Silliman, Benjamin, 1779-1864| Yale University			Text	holmessilas-002586467	002586467	41579858	[local_id]	image		[rights_note]
Hamilton B. Holt letter	Holt, Hamilton Bowen	1904	1904/1904	eng	1 item	Letter to Hamilton B. Holt from John Sharp Williams concerning the operations of the stock market and financial institutions in New York.		Stock exchanges -- New York (State) -- New York| Financial institutions -- New York (State) -- New York| Holt, Hamilton Bowen| Williams, John Sharp, creator.			Text	holthamiltonbowen-002567403	002567403	41177102	[local_id]	image		[rights_note]
Hines Holt papers	Holt, Hines, 1805-1865	1829, 1857	1829/1857	eng	2 items	Papers of Hines Holt, containing one certificate and a letter of advice to his son.		Holt, Hines, 1805-1865			Text	holthinespapers-002567404	002567404	41177097	[local_id]	image		[rights_note]
Ethel Holtzclaw deeds	Holtzclaw, Ethel	1846-1889	1846/1889	eng	3 items	Deeds to lands in Greenvile County, South Carolina.		Holtzclaw, Ethel| Greenville County (S.C.) -- History	Greenville County (S.C.)	Deeds	Text	holtzclawethel-002567408	002567408	41177099	[local_id]	image		[rights_note]
Robert W. Honnoll letters	Honnoll, Robert W.	1862	1862/1862	eng	4 items	Letters of Lieutenant Honnoll concerning camp life and family matters, and commenting on prospects for peace and opposition to Lincoln in the North.		Soldiers -- Confederate States of America -- Political and social views| Honnoll, Robert W.| Confederate States of America. Army -- Military life| Confederate States of America. Army -- Officers -- Correspondence| Confederate States of America. Army. Tennessee Infantry Regiment, 23rd.| Corinth (Miss.) -- History -- Civil War, 1861-1865| Mississippi -- History -- Civil War, 1861-1865	Corinth (Miss.)| Mississippi		Text	honnollrobertwletters-000894214	000894214	20748431	[local_id]	image		[rights_note]
John Bell Hood papers	Hood, John Bell, 1831-1879	1862-1865	1862/1865	eng	6 items	Miscellaneous papers of Lieut. General Hood, including a letter, 1864, from Hood to General Joseph Wheeler asking his cooperation in a charge about to be made; a report to Secretary of War James A. Seddon concerning an engagement at Franklin, Tennessee; an order pertaining to furloughs; a letter to Hood containing an order for Cheatham's Corps; a pass; and biographical information.		Soldiers -- Confederate States of America -- Correspondence| Hood, John Bell, 1831-1879| Seddon, James A.| Wheeler, Joseph, 1836-1906| Confederate States of America. Army -- Officers -- Correspondence| Franklin (Tenn.) -- History -- Civil War, 1861-1865| Tennessee -- History -- Civil War, 1861-1865	Franklin (Tenn.)| Tennessee		Text	hoodjohnbellpapers-000861202	000861202	19793299	[local_id]	image		[rights_note]
John C. Hood papers	Hood, John C.	1848-1866	1848/1866	eng	57 items	Papers of Hood while he was in charge of official aid to families of Confederate soldiers, with names of committee members, money paid out for relief, names of soldiers' families and corn and meat supplies held by each. Also, Civil War letters from B.R. Hood, serving in the Camp Guards and in the 24th North Carolina Regiment, and from David W. Hood, in the 67th North Carolina Regiment, describing camp life and food, the second battle of Manassas (Bull Run) and other engagements and skirmishes, and the possibility of hiring a substitute.		Bull Run, 2nd Battle of, Va., 1862| Soldiers -- Confederate States of America -- Correspondence| Hood, B. R.| Hood, B. R., creator.| Hood, David W.| Hood, David W., creator.| Hood, John C.| Confederate States of America. Army -- Military life| Confederate States of America. Army. North Carolina Infantry Regiment, 24th.| Confederate States of America. Army. North Carolina Infantry Regiment, 67th.| Confederate States of America. Army -- Recruiting, enlistment, etc| Confederate States of America -- Economic conditions| United States -- History -- Civil War, 1861-1865 -- Campaigns| United States -- History -- Civil War, 1861-1865 -- Civilian relief	Confederate States of America| United States		Text	hoodjohncpapers-000861203	000861203	19793313	[local_id]	image		[rights_note]
Edward Hooker letters	Hooker, Edward	1806-1815	1806/1815	eng	17 items	Family letters of Hooker describing the slave trade in South Carolina, several trips made to that state, his life in Cambridge (South Carolina), his position at South Carolina College, Columbia (now the University of South Carolina), trouble with the British, and the British frigate Leopard; and letters of John Hooker, Edward's brother, a lawyer in Columbia, S.C., describing an earthquake, 1812, his first dose of castor oil, a trip to Catawba Springs, North Carolina, the attitude of the inhabitants of Columbia toward the War of 1812, and religious fervor in the town.		College presidents -- South Carolina| Earthquakes -- South Carolina| Lawyers -- Correspondence| Lawyers -- South Carolina -- Columbia| Slave trade -- South Carolina| Universities and colleges -- South Carolina| Hooker, Edward| Hooker, John, 1816-1901, creator.| Hooker, John| Leopard (Ship)| South Carolina College -- Faculty| University of South Carolina -- History| Catawba Springs (N.C.) -- Description and travel| Columbia (S.C.) -- Description and travel| Columbia (S.C.) -- Religious life and customs| Great Britain -- Foreign relations -- United States| Ninety Six (S.C.) -- Description and travel| South Carolina -- Description and travel| United States -- Foreign relations -- Great Britain| United States -- History -- War of 1812 -- Public opinion	Catawba Springs (N.C.)| Columbia (S.C.)| Great Britain| Ninety Six (S.C.)| South Carolina| United States		Text	hookeredwardletters-000861205	000861205	19793361	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
L. C. Hook letters	Hook, L. C.	1888-1909	1888/1909	eng	6 items	Personal and business letters to L. C. Hook, including a letter from Charles W. Swisher, secretary of state of West Virginia and Republican gubernatorial candidate, enclosing a political broadside by Governor W. M. O. Dawson in his behalf.		Dawson, W. M. O.| Hook, L. C.| Swisher, Charles W.| Swisher, Charles W.		Broadsides (notices)	Text	hooklcletters-002567411	002567411	41177126	[local_id]	image		[rights_note]
Aurelia Hooper papers	Hooper, Aurelia	1851-1873	1851/1873	eng	29 items	Primarily Civil War letters from Private George Leitz, 17th Virginia Regiment, C.S.A., to Miss Hooper, including a description of the Confederate gunboat Neuse under construction near Kinston, North Carolina. A letter, 1871, refers to property lost in the Chicago Fire. Also included is a pledge signed by those interested in forming a volunteer rifle company.		Soldiers -- Confederate States of America -- Correspondence| Women -- Southern States| Hooper, Aurelia| Leitz, George| Leitz, George| Confederate States of America. Army -- Military life| Confederate States of America. Army. Virginia Infantry Regiment, 17th.| Confederate States of America. Navy.| Neuse (Ship)| Chicago (Ill.) -- Fire, 1871| North Carolina -- History -- Civil War, 1861-1865	Chicago (Ill.)| North Carolina		Text	hooperaureliapapers-000861207	000861207	19793389	[local_id]	image		[rights_note]
