container_1	creator	title	date_expression	date	language	extent	physical_description	description	provenance	subject	spatial	format	ead_id	aspace_id	finding_aid_url	oclc_num	rl_number	dpc_id
folder 1	Bogart, John A.	John A. Bogart letter	1838	1838/1838	eng	1 item		Routine letter from Mahlon Dickerson (1770-1853), U.S. senator from New Jersey, to Bogart, collector of the customs in New York.		Legislators -- Correspondence; Customs administration -- Officials and employees; Dickerson, Mahlon, 1770-1853			bogartjohna-002050932	seca-aeb31e2a-8b01-460a-a91d-b56b4b068ea8	http://library.duke.edu/rubenstein/findingaids/bogartjohna-002050932/	34122323	RL.30260	dpc_id
folder 1	Boggs, William Robertson, 1829-1911	William Robertson Boggs letters	1855-1857	1855/1857	eng	7 items		Papers of William R. Boggs, officer in the armies of the U.S.A. and the C.S.A., include family letters, two calling cards, an invitation, and a note on the death of William R. Boggs, Jr.		Soldiers -- Confederate States of America -- Correspondence; Boggs, William R., Jr.; Confederate States of America. Army -- Officers			boggswilliamrobertsonletters-002050933	seca-2c62295f-d07f-4202-9bdc-bd85b1b28d6a	http://library.duke.edu/rubenstein/findingaids/boggswilliamrobertsonletters-002050933/	34126653	RL.30265	dpc_id
folder 1	Boinest, Thaddeus S.	Thaddeus S. Boinest papers	1849-1871	1849/1871	eng	26 items		Correspondence chiefly on matters connected with the Immigration Society.		Lutheran Church -- Clergy; Church work with immigrants -- South Carolina; Immigrants -- South Carolina; Immigration Society of Newberry, S.C; South Carolina -- Social conditions	South Carolina		boinestthaddeusspapers-000846337	seca-9b1b7fb1-b8ba-49c7-8870-a021593c77cb	http://library.duke.edu/rubenstein/findingaids/boinestthaddeusspapers-000846337/	19276282	RL.30262	dpc_id
folder 1	Boisseau, William P.	William P. Boisseau letters	1866-1871	1866/1871	eng	11 items		Personal letters from William P. Boisseau to his father with occasional references to crops and the weather.		Agriculture -- Virginia -- History -- 19th century; Dinwiddie County (Va.)	Dinwiddie County (Va.)		boisseauwilliampletters-001634358	seca-d609ab08-f123-4e2a-81ee-c88a58ee77d1	http://library.duke.edu/rubenstein/findingaids/boisseauwilliampletters-001634358/	31526792	RL.30271	dpc_id
folder 1	Boisson, Felix	Felix Boisson letters	1917	1917/1917	fre	5 items		Letters from Boisson, a soldier in the 15th Infantry Regiment of the French Army during World War I, to William R. Locke in New Hampshire. Concerns a French soldier's life during war and his thankfulness for receipt of pillows donated by Americans. Includes a photograph of Boisson.	Gift 1986	France. Armée -- History -- World War, 1914-1918; France. Armée. 15. Régiment d'infanterie			boissonfelixletters-000750829	seca-6e0a0076-fc5c-4e66-966f-581087ad5a4c	http://library.duke.edu/rubenstein/findingaids/boissonfelixletters-000750829/	15808898	RL.30273	dpc_id
folder 1	Boker, George H. (George Henry), 1823-1890	George H. Boker letters	1859-1869	1859/1869	eng	7 items		Letters from George H. Boker, writer and diplomat, to Charles Warren Stoddard, criticizing Stoddard's poetical works. [Published: Jay B. Hubbell, "George Henry Boker, Paul Hamilton Hayne, and Charles Warren Stoddard: Some Unpublished Letters," AMERICAN LITERATURE, V (May, 1933), 146-165.]		Authors, American -- 19th century -- Correspondence; American literature -- 19th century; Stoddard, Charles Warren, 1843-1909			bokergeorgehletters-001634361	seca-3264d1a2-a53e-4494-a022-b46113beff6a	http://library.duke.edu/rubenstein/findingaids/bokergeorgehletters-001634361/	31526788	RL.30266	dpc_id
folder 1	Bolin, John A.	John A. Bolin letters	1862-1864	1862/1864	eng	5 items		Letters from Bolin, a member of the 17th Regiment, Alabama Volunteers, to his wife, Mary J. Bolin, describing camp life and military activities.		Soldiers -- Confederate States of America -- Correspondence; Confederate States of America. Army. Alabama Infantry Regiment, 17th.; Confederate States of America. Army -- Military life			bolinjohnaletters-000887879	seca-b41f7c9f-565a-4030-a5fe-d15587a91863	http://library.duke.edu/rubenstein/findingaids/bolinjohnaletters-000887879/	20574621	RL.30269	dpc_id
folder 1	Bolling, Richard M.	Richard M. Bolling papers	1843-1909	1843/1909	eng	18 items		Chiefly the business papers of Captain Richard M. Bolling, Engineer in Charge of Survey of the Seaboard Airline Railway Company. Included are three postcards and some genealogical information.		Railroads -- North Carolina; Railroads -- Surveying; Seaboard Air Line Railway Company			bollingrichardmpapers-000887883	seca-9138af64-f4b9-4727-a002-6f2700b303d9	http://library.duke.edu/rubenstein/findingaids/bollingrichardmpapers-000887883/	20574647	RL.30261	dpc_id
folder 1	Bolton, John	John Bolton letter	1836	1836/1836	eng	1 item		Routine business letter, with copy of another enclosed, from Baring Brothers and Company, London, to John Bolton, agent for the Planters Bank in New York.		Business records -- New York (State) -- New York; Baring Brothers and Company (London, England); Planters Bank (N.Y.)			boltonjohn-001634366	seca-26ee9468-a913-49f7-a04a-b53a354805b2	http://library.duke.edu/rubenstein/findingaids/boltonjohn-001634366/	31526774	RL.30259	dpc_id
folder 1	Boltz, Ferdinand F.	Ferdinand F. Boltz diary	1864-1865	1864/1865	eng	1 volume.		Combination daybook, memorandum book, and diary of Boltz, a member of the 88th Regiment, Indiana Volunteers, containing brief accounts of his regiment; Sherman's march through Georgia; the siege of Savannah; and the march through the Carolinas ending at Richmond, Va.		Sherman's March through the Carolinas; Sherman's March to the Sea; Soldiers -- United States -- Diaries; United States. Army. Indiana Infantry Regiment, 88th (1862-1865); Georgia -- History -- Civil War, 1861-1865; North Carolina -- History -- Civil War, 1861-1865; Savannah (Ga.) -- History -- Siege, 1864; South Carolina -- History -- Civil War, 1861-1865; United States -- History -- Civil War, 1861-1865 -- Campaigns; United States -- History -- Civil War, 1861-1865 -- Personal narratives	Georgia; North Carolina; Savannah (Ga.); South Carolina; United States		boltzferdinandf-000887886	seca-65567dad-7188-429c-80ac-7f8ee577d9fe	http://library.duke.edu/rubenstein/findingaids/boltzferdinandf-000887886/	20574664	RL.30270	dpc_id
