title	creator	date_expression	date	language	extent	description	provenance	subject	spatial	format	type	collection_slug	aleph_id	oclc_num	local_id	display_format	rights	rights_note
Ben Hubert letters	Hubert, Ben	1812-1878	1812/1878	eng	43 items	Principally love letters written during the Civil War to Hubert's future wife, Letitia Bailey. There are scattered references to a fight on the Potomac, 1861; the fall of New Orleans, 1862; a request for Letitia to make a "battle flag"; the town of Bryan, Tex.; and a reunion of Hood's Brigade, 1876. Also included is some correspondence of Hubbard's sisters.		Love-letters| Soldiers -- Confederate States of America -- Correspondence| Women -- Correspondence| Women -- Southern States| Bailey, Letitia| Hubert, Ben| Confederate States of America. Army. Texas Brigade| Confederate States of America. Army. Louisiana Infantry Regiment, 6th.| Bryan (Tex.) -- History| Louisiana -- History -- Civil War, 1861-1865| Maryland -- History -- Civil War, 1861-1865| New Orleans (La.) -- History -- Capture, 1862	Bryan (Tex.)| Louisiana| Maryland| New Orleans (La.)		Text	hubertbenletters-000862767	000862767	19851236	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
George N. Huckins diary	Huckins, George N., 1838-	1858-1861	1858/1861	eng	1 volume	Diary (63 pages) kept while Huckins was a student at Baldwin University (now Baldwin-Wallace College) in Berea, and while serving several churches in northern Ohio. Short, introspective entries generally relate to his doubts about his qualifications as a minister and to his matrimonial prospects, with brief references to his school activities and studies, John Brown, James Buchanan, the election of Lincoln and the beginning of the Civil War, and slavery.		Clergy -- Diaries| College students -- Ohio| Methodist Church -- Clergy| Methodist Church -- Ohio| Slavery and the church| Methodist theological seminaries| Brown, John, 1800-1859| Buchanan, James, 1791-1868| Huckins, George N., 1838-| Baldwin University (Berea, Ohio)| Baldwin-Wallace College -- History| United States -- History -- Civil War, 1861-1865 -- Causes	United States		Text	huckinsgeorgen-000862769	000862769	19851259	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Charles Hudson letter	Hudson, Charles, 1795-1881	1876	1876/1876	eng	1 item	Personal letter of Charles Hudson.		Politicians -- Massachusetts -- Correspondence| Hudson, Charles, 1795-1881			Text	hudsoncharles-002566216	002566216	41161266	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Benjamin Huger papers	Huger, Benjamin, 1805-1877	1783-1862	1783/1862	eng	16 items	Principally correspondence dealing with the manufacture of ammunition by Joseph Reid Anderson and Dr. Carmichael for Fortress Monroe and the armory at Harper's Ferry, Va. (now W. Va.), 1850-1851. Also included are a letter of 1803 from Daniel Huger, secretary of state, to the South Carolina legislature requesting an appropriation for the repair of the building where the records were kept; an indenture, 1824; a letter from John P. Martin discussing the problems of the mail and stage service; and letter, 1862, of Huger to Josiah Tattnall concerning military and naval operations in Virginia.		Archive buildings -- South Carolina| Ordnance -- Manufacture| Postal service -- South Carolina| Anderson, Joseph R. (Joseph Reid), 1813-1892| Huger, Benjamin, 1805-1877| Huger, Daniel| Martin, John P.| Tattnall, Josiah, 1795-1871| United States. Army -- Ordnance and ordnance stores| Fort Monroe (Va.)| Harpers Ferry (W. Va.)| Virginia -- History -- Civil War, 1861-1865	Fort Monroe (Va.)| Harpers Ferry (W. Va.)| Virginia		Text	hugerbenjaminpapers-000862770	000862770	19851272	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Ossian Huggins letters	Huggins, Ossian	1868-1876	1868/1876	eng	7 items	Personal letters of Ossian Huggins while he was a student at Washington College, Lexington, Virginia, commenting on courses offered, requirements for obtaining degrees, and Robert E. Lee as president of the College. Included are two letters from a later period.		Education, Higher -- Virginia| Universities and colleges -- Virginia| Huggins, Ossian| Lee, Robert E. (Robert Edward), 1807-1870| Washington and Lee University -- History			Text	hugginsossianletters-000894229	000894229	20748459	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
John Hughes deeds	Hughes, John, approximately 1815-1889	1782-1823	1782/1823	eng	5 items	Land deeds.		Hughes, John| Burke County (N.C.) -- History	Burke County (N.C.)	Deeds	Text	hughesjohn-002566217	002566217	41161245	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
Nicholas Collin Hughes letters	Hughes, N. Collin (Nicholas Collin), 1822-1893	1886-1892	1886/1892	eng	6 items	Letters from Collier Cobb, Thomas Egleston, and Samuel Hart to Nicholas C. Hughes, criticising his work, GENESIS AND GEOLOGY; and a personal letter from his brother, John Hughes.		Cobb, Collier, creator.| Cobb, Collier| Egleston, Thomas, creator.| Egleston, Thomas| Hart, Samuel, creator.| Hart, Samuel| Hughes, John, creator.| Hughes, John| Hughes, N. Collin (Nicholas Collin), 1822-1893| Hughes, N. Collin (Nicholas Collin), 1822-1893| Episcopal Church -- Clergy -- Correspondence			Text	hughesncollinletters-002566218	002566218	41161268	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Robert W. Hughes letters	Hughes, Robert W. (Robert William), 1821-1901	1875-1881	1875/1881	eng	4 items	Letters containing recommendations for political appointments for the eastern part of Virginia.		Patronage, Political -- Virginia| Hughes, Robert W. (Robert William), 1821-1901| Virginia -- Politics and government -- 1865-1950	Virginia		Text	hughesrobertwletters-002566219	002566219	41161263	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Henry Hukill letters	Hukill, Henry	1824-1829	1824/1829	eng	5 items	This collection contains five letters. Four are from brothers Henry and William Hukill to other relatives back home in Steubenville, Ohio. Two of these letters are written in New Orleans and two in Natchez where the Hukills have gone to work. The other letter is from Thirza Hukill in Steubenville to her husband Henry. The Hukills made several trips from Ohio to work in La. and Miss. The topics covered include family, health, and money matters. Economic conditions in both Natchez and New Orleans are discussed, and a brief comparison is made between wages in New Orleans, Steubenville, and Natchez. However, neither Henry nor William's occupation is stated. Henry mentions the specific wage rate in Natchez. He also discusses the costs of various food items and whiskey in Natchez. There is also a general description of the climate in New Orleans.		Hukill, Henry| Hukill, Thirza, creator.| Hukill, Thirza| Hukill, William, creator.| Hukill, William| Natchez (Miss.) -- Economic conditions| New Orleans (La.) -- Description and travel| New Orleans (La.) -- Economic conditions| Steubenville (Ohio)	Natchez (Miss.)| New Orleans (La.)| Steubenville (Ohio)		Text	hukillhenryletters-002586470	002586470	41579855	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
Charles H. Hull letters	Hull, Charles H.	1903	1903/1903	eng	3 items	Letters from Charles H. Hull to W. H. Glasson, professor at Trinity College, Durham, North Carolina, concerning the resignation of John Spencer Bassett.		Bassett, John Spencer, 1867-1928| Glasson, W. H.| Hull, Charles H.| Trinity College (Durham, N.C.) -- Faculty			Text	hullcharleshletters-002566221	002566221	41161270	[local_id]	image	http://rightsstatements.org/vocab/UND/1.0/	[rights_note]
Alexander von Humboldt letter	Humboldt, Alexander von, 1769-1859	1849	1849/1849	eng	1 item	Letter from Alexander von Humboldt.		Humboldt, Alexander von, 1769-1859		Personal correspondence	Text	humboldtalexandervon-002569412	002569412	41239231	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
Martin A. S. Hume correspondence	Hume, Martin A. S. (Martin Andrew Sharp), 1843-1910	1907 December 4-1908 February 9.	1907/1908	eng	9 items	Letters from Hume to Mrs. Stuart Erskine concerning suggestions for books to be included in the Romance of History series.	Purchase 1978	English literature -- History and criticism| Erskine, Stuart, Mrs.| Hume, Martin A. S. (Martin Andrew Sharp), 1843-1910			Text	humemartinas-002667282	002667282	43533496	[local_id]	image	http://rightsstatements.org/vocab/UND/1.0/	[rights_note]
E. J. Humphries letters	Humphries, E. J.	1861-1869	1861/1869	eng	3 items	Letters, 1861, of E. J. Humphries while at Camp Davis, Lynchburg, Virginia; a letter, 1869, from an Augusta, Georgia, commission merchant to Humphries.		Commission merchants -- Georgia| Humphries, E. J.| Camp Davis (Va.)	Camp Davis (Va.)		Text	humphriesejletters-002569415	002569415	41239234	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Hunter family letters	Hunter (Family :	1844, 1847	1844/1847	eng	2 items	Letter from Andrew H. Hunter to William Beale; and a letter to General Andrew Hunter from a clerk who considered himself underpaid.		Beale, William| Hunter, Andrew H., 1804-1888| Hunter, Andrew, General.| Hunter family			Text	hunterfamilyletters-002569424	002569424	41239230	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
James Hunter orders	Hunter, James	1864-1865	1864/1865	eng	4 items	Confederate army orders concerning the defense of Savannah, signed by James Hunter for the acting adjutant general.		Hunter, James| Georgia -- History -- Civil War, 1861-1865| Savannah (Ga.) -- History -- 19th century	Georgia| Savannah (Ga.)		Text	hunterjames-002569423	002569423	41239236	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
