title	creator	date_expression	date	language	extent	description	provenance	subject	spatial	format	type	collection_slug	aleph_id	oclc_num	local_id	display_format	rights	rights_note
Address to the colourd people of St. Helena Island of South Carolina	Garrett, Thomas, 1789-1871	1866 Dec. 6.	1866/1866	eng	1 item	Speech by Thomas Garrett, Quaker abolitionist, beseeching freedmen of St. Helena Island, S.C. to embrace hard work, education, and honesty, and to refrain from the use of alcohol and tobacco. Garrett condemned President Andrew Johnson and assured freedmen that help would come through Congress.	Purchase 1986	Abolitionists -- South Carolina| Freedmen -- South Carolina -- St. Helena Island| Quakers -- South Carolina| Garrett, Thomas, 1789-1871| Johnson, Andrew, 1808-1875| Saint Helena Island (S.C.) -- History -- 19th century	Saint Helena Island (S.C.)		Text	garrettthomas-001099689	001099689	28106203	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
J. P. Garris letters	Garris, J. P.	1886	1886/1886	eng	2 items	Collection contains two personal letters to J. P. Garris. The first letter contains a note to the writer's parents. The second is by a bootlegger serving a prison sentence in Statesville, N.C.	Acquired around 1959	Alcohol trafficking -- North Carolina| Statesville (N.C.) -- History -- 19th century	Statesville (N.C.)		Text	garrisjpletters-003870079	003870079	1090243048	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
William A. Garrison letters	Garrison, William A.	1863	1863/1863	eng	4 items	Collection contains Civil War letters from William A. Garrison, a private in the Federal Army under the command of General Robert Huston Milroy and stationed in western Virginia, to his wife, concerning his provost guard duty, rations, General Milroy, and army life.		Soldiers -- United States -- Correspondence| Milroy, Robert Huston, 1816-1890| United States. Army -- Military life| United States. Army -- Officers| United States -- History -- Civil War, 1861-1865 -- Equipment and supplies| Virginia -- History -- Civil War, 1861-1865	United States| Virginia		Text	garrisonwilliamaletters-000895181	000895181	20769640	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Letters to William Lloyd Garrison	Garrison, William Lloyd, 1805-1879	1860-1876	1860/1876	eng	3 items	Collection includes letters to William Lloyd Garrison from Hinton Rowan Helper and Aaron Macy Powell. On June 8, 1860, Helper wrote to notify Garrison that he was sending him copies of his book, Impending Crisis of the South, to be distributed to people in the Boston area. The letter from Powell is dated February 3, 1876, and is an expression of sympathy on the death of Mrs. Garrison. Also included are a letter written by Beriah Green to William Lloyd Garrison perhaps shortly before it was published in The Liberator on Apr. 19, 1861, and a clipping from that newspaper carrying Green's letter and the editor's response to it in which he supports President Lincoln in his determination to preserve the Union. In his letter Green, a noted reformer and abolitionist, takes the position that John Brown's uprising was a legitimate protest against a morally treasonous government. He asserts that the Secessionists and the supporters of the Union are in "deadly warfare with Humanity," and that "Treason was and is the demon of Virginian Society." He asks permission to publish his remarks in Garrison's newspaper.	Purchase 1960-1978	Abolitionists -- United States -- Correspondence| Antislavery movements -- United States| Garrison, William Lloyd, 1805-1879| Green, Beriah, 1795-1874| Helper, Hinton Rowan, 1829-1909| Powell, Aaron M. (Aaron Macy), 1832-1899| Harpers Ferry (W. Va.) -- History -- John Brown's Raid, 1859	Harpers Ferry (W. Va.)		Text	garrisonwilliamlloyd-002582813	002582813	41546357	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Martin Witherspoon Gary papers	Gary, Martin Witherspoon, 1831-1881	1855-1879	1855/1879	eng	10 items	Collection includes documents, 1876, protesting election irregularities in Edgefield Co. by Republican and African-American voters; Gary's letter, 1877, to the editors of the Augusta "Chronicle and Constitutionalist," explaining his opposition to the acceptance by Southern Democrats of appointments from President Rutherford B. Hayes; and a letter, 1879, to the editor of the Abbeville "Medium," opposing the election of Wade Hampton to the U.S. Senate.		Voting -- South Carolina| Gary, Martin Witherspoon, 1831-1881| Hampton, Wade, 1818-1902| Edgefield County (S.C.) -- History -- 19th century| United States -- Officials and employees -- Selection and appointment	Edgefield County (S.C.)| United States		Text	garymartinwitherspoonpapers-002477973	002477973	39390462	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Sei fughe a tre /	Gassmann, Florian Leopold, 1729-1774		1770/1800	ita	3 parts ; 31 cm			Canons, fugues, etc. (String trio) -- Parts			Text	gassmannflorianleopold-003880774	003880774	157031977	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	
William Gaston letter	Gaston, William, 1778-1844	1814	1814/1814	eng	1 item	A letter from William Gaston to Secretary of the Navy William Jones recommending an appointment in the U. S. Navy.		Gaston, William, 1778-1844| North Carolina -- History -- 19th century	North Carolina		Text	gastonwilliam-003870081	003870081	1090243850	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	
Richard Jordan Gatling papers	Gatling, Richard Jordan, 1818-1903	1880, 1898	1880/1898	eng	2 items	The two letters comprising this collection were written by Gatling. The first letter, dated Dec. 6, 1880, was written to Edgar Thaddeus Welles from Murfreesboro, N.C, where Gatling had gone on a business trip. In the second letter, written to Joseph Dana Miller on March 9, 1898, Gatling gave Miller some information about himself and a new gun being manufactured.		Machine guns -- History| Gatling, Richard Jordan, 1818-1903			Text	gatlingrichardjordanpapers-002566140	002566140	41157882	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Matthew Gault correspondence	Gault, Matthew	1842-1867	1842/1867	eng	42 items	Collection consists primarily of personal letters to William Gault, of Hookset, N.H., containing comments on cotton planting, emigration to Texas, abolition, secession, the policies of Lincoln toward the South, the government of the Confederate States of America, Army life during the Civil War, freedmen and the Freedmen's Bureau, the scarcity of labor, the Radical Republicans, politics in Texas, and President Andrew Johnson's Peace Proclamation.		Freedmen -- Texas| Migration, Internal -- United States| Reconstruction (U.S. history, 1865-1877) -- Texas| Secession| Antislavery movements -- United States| Johnson, Andrew, 1808-1875| United States. Bureau of Refugees, Freedmen, and Abandoned Lands| Confederate States of America -- Politics and government| Southern States -- Economic conditions| Texas -- Emigration and immigration| Texas -- Politics and government -- 1865-1950| United States -- History -- Civil War, 1861-1865 -- Peace	Confederate States of America| Southern States| Texas| United States		Text	gaultmatthew-000895191	000895191	20769716	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Charles Gayarré́ papers	Gayarré, Charles, 1805-1895	1882-1895	1882/1895	eng	14 items	Letters of Charles E. A. Gayarré (1805-1895), author, to John Dimitry including comment on the reception of his own lecture on the French Revolution; to C. C. Jones acknowledging the receipt of several addresses and his article on Wilde; to Colonel J. F. H. Claiborne commenting on the publication of Claiborne's History of Mississippi; to George T. Heath concerning the publishers of Gayarré's History of Louisiana; and other routine letters.		Gayarré, Charles, 1805-1895			Text	gayarrecharlespapers-002566142	002566142	41157892	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
