title	creator	date_expression	date	language	extent	description	provenance	subject	spatial	format	type	ead_id	aleph_id	aspace_id	finding_aid_url	oclc_num	identifier	local_id	display_format	rights	rights_note
John Wesley Churchill letter	Churchill, John Wesley, 1839-1900	1889	1889/1889	eng	1 item	Letter dated Dec. 20, 1889, addressed to Churchill from Spooner (possibly Henry T. Spooner) regarding poetry of John Townsend Trowbridge.		Poetry -- 19th century| Trowbridge, John Townsend| Andover (Mass.) -- History	Andover (Mass.)		Text	churchilljohnwesley-003866195	003866195	seca-de8f391a-f8ef-44cb-a66d-6d175afd9f3d	https://library.duke.edu/rubenstein/findingaids/churchilljohnwesley-003866195/	1048579333	RL.30516	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
William Churchill papers	Churchill, William	1811-1851	1811/1851	eng	4 items	Two letters to William Churchill from a brother in the Mississippi Territory, commenting on farming conditions, the purchase of cattle, and the Creek War of 1813-1814 in Alabama; and two letters from a son who was a soldier in the Mexican War and later moved to Boston, Mass.		Creek War, 1813-1814| Indians of North America -- Alabama| Mexican War, 1846-1848| Migration, Internal -- United States| Mississippi -- Description and travel	Mississippi		Text	churchillwilliampapers-000848171	000848171	seca-62f94130-cd63-4809-8347-4cf7d1626935	https://library.duke.edu/rubenstein/findingaids/churchillwilliampapers-000848171/	19347288	RL.30502	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Sarah Cibler papers	Cibler, Sarah A. (Saylor)	1861-1865	1861/1865	eng	39 items	This collection is comprised of letters addressed by Jacob, Edward J., and Solomon Saylor to their sister, Sarah, while they served in the Union Army. Also included is a biographical sketch of Jacob completed by his granddaughter, Annabelle Saylor. Edward and Solomon Saylor enlisted in the 36th regiment of the Ohio Volunteer Militia in 1861. Jacob attempted to enlist with his brothers, but an Uncle retreived him from the regiment--he was only fifteen years old. Despite his age, later that year Jacob successfully enlisted in the 53rd Ohio Infantry. All the brothers' letters contain descriptions of camp life, military engagements, reported losses in both armies for battles, hardships, and their desire for furloughs. Jacob's correspondence suggests that he did much more hard marching and fighting than his brothers; however, Edward's letters mention that Solomon was wounded and probably taken prisoner twice. Jacob also writes about the formation of the Tennessee Colored Zouave Regiment, which African Americans were eager to volunteer to join. Jacob eventually served in Sherman's Army, and fought in Tennessee, Mississippi, Alabama, and Georgia; Edward and Solomon fought mainly in Virginia and Tennessee.		Cibler, Sarah A. (Saylor)| Saylor, Edward J.| Saylor, Edward J., correspondent.| Saylor, Jacob, correspondent.| Saylor, Jacob| Saylor, Solomon, correspondent.| Saylor, Solomon| Saylor family| United States. Colored Troops| United States. Army. Ohio Infantry Regiment, 36th (1861-1865)| United States. Army. Ohio Infantry Regiment, 53rd (1861-1865)| United States -- History -- Civil War, 1861-1865| United States -- History -- Civil War, 1861-1865 -- Personal narratives| United States -- History -- Civil War, 1861-1865 -- Prisoners and prisons	United States		Text	ciblersarahasaylorpapers-002779173	002779173	seca-f13820ba-9bdb-4b6f-9a2f-17d425aa053c	https://library.duke.edu/rubenstein/findingaids/ciblersarahasaylorpapers-002779173/	45279803	RL.30511	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Thomas Clagett papers	Clagett, Thomas	1847-1848	1847/1848	eng	3 items	Three business items.		Business enterprises -- Maryland -- Correspondence -- 19th century			Text	clagettthomaspapers-003866072	003866072	seca-eb024857-b003-4c48-8ab9-4327242ca75d	https://library.duke.edu/rubenstein/findingaids/clagettthomaspapers-003866072/	1048506310	RL.30505	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	
John F. Claiborne papers	Claiborne, John F., -1856	1852-1856	1852/1856	eng	4 items	Account book, 1852-1856 (16 p.), containing scattered personal and agricultural accounts and memoranda including a record of crops planted in 1853, several payments to African Americans, transactions with neighbors and with Mrs. P.H. Stone, and a few remedies for burns, and for the treatment of hogs and horses. Other papers are a receipt for cooking oysters, a receipt for Mrs. Claiborne's daguerreotype and William Ayres' request for radish seeds.	Source unknown	Account books -- Virginia -- 19th century| African American agricultural laborers -- 19th century| Farms -- Virginia -- Pittsylvania County| Pittsylvania County (Va.) -- Commerce	Pittsylvania County (Va.)	Recipes	Text	claibornejohnfpapers-000992807	000992807	seca-b7e09cb3-34f3-43ee-9f41-7e667bf901fe	https://library.duke.edu/rubenstein/findingaids/claibornejohnfpapers-000992807/	23371628	RL.30507	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
John Francis Hamtramck papers	Claiborne, John Francis Hamtramck	1858	1858/1858	eng	1 item	Letter concerning the burning of a dwelling belonging to Mr. Jackson, located near the Claiborne's residence.		Fires -- Mississippi -- Natchez -- 19th century			Text	claibornejohnfrancishamtramckpapers-003866068	003866068	seca-602c50a7-323a-4e79-985d-3734489bde2e	https://library.duke.edu/rubenstein/findingaids/claibornejohnfrancishamtramckpapers-003866068/	1048571160	RL.30510	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
William C. C. Claiborne papers	Claiborne, William C. C. (William Charles Cole), 1775-1817	1803	1803/1803	eng	3 items	Letter to the territorial legislature from Claiborne stating that he had signed two bills: establishing the formation of Adams county, and creating the attorney-general post for the territory. Remainder of collection is photostat copy.		Governors -- Mississippi| Adams County (Miss.) -- 19th century| Mississippi -- History -- 19th century	Adams County (Miss.)| Mississippi		Text	claibornewilliamccpapers-003866066	003866066	seca-09c03245-b516-462b-b7fb-fbf4a8149851	https://library.duke.edu/rubenstein/findingaids/claibornewilliamccpapers-003866066/	1048571021	RL.30500	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	
William Keating Clare papers	Clare, William Keating, 1826-1905	1863	1863/1863	eng	39 items	Civil War letters from William's brother Henry P. Clare, a soldier in the 9th Regiment, New York Infantry, describing camp life and the battle of Gettysburg.		Soldiers -- Correspondence| Gettysburg, Battle of, Gettysburg, Pa., 1863| Clare, Henry P., d. 1892, correspondent.| United States. Army. New York Infantry Regiment, 9th (1861-1863)| United States -- History -- Civil War, 1861-1865	United States		Text	clarewilliamkeatingpapers-000848195	000848195	seca-728e058f-546a-4f74-9adc-1d0a665d7e40	https://library.duke.edu/rubenstein/findingaids/clarewilliamkeatingpapers-000848195/	19347668	RL.30512	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
James Beauchamp Clark letter	Clark, Champ, 1850-1921	1911	1911/1911	eng	1 item	A letter from Richard Sylvester (Major and Superintendent of the Washington, D.C., police department) to Rep. Clark, dated Jan. 1, 1911.		Police chiefs -- Correspondence			Text	clarkchamp-003866042	003866042	seca-cb115384-8087-47be-863f-f820b12ae1fb	https://library.duke.edu/rubenstein/findingaids/clarkchamp-003866042/	1048579257	RL.30518	[local_id]	image	http://rightsstatements.org/vocab/UND/1.0/	[rights_note]	
Christopher Henderson Clark papers	Clark, Christopher Henderson, 1767-1828	1810-1824	1810/1824	eng	4 items	Business letters and a subpoena pertaining to Christopher Henderson Clark.		Businesses -- Virginia -- 19th century			Text	clarkchristopherhendersonpapers-003866054	003866054	seca-07c78831-f912-452b-99c6-485721b8dd4d	https://library.duke.edu/rubenstein/findingaids/clarkchristopherhendersonpapers-003866054/	1048490569	RL.30501	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	
C. M. Clark papers	Clark, C. M.	1864	1864/1864	eng	2 items	Two letters from C.M. Clark and his wife to their nephews, William and Tom. The Clarks express concern over not hearing from William, who was imprisoned on Johnson's Island in Sandusky, Ohio. Clark asks for news and whether N.C. soldiers there needed funds. He also mentions that Gov. Vance was hoping to send clothing to troops held there.		Soldiers -- Prisoners and prisons -- 19th century| Vance, Zebulon Baird, 1830-1894| Confederate States of America| Johnson Island (Ohio) -- 19th century	Confederate States of America| Johnson Island (Ohio)		Text	clarkcmpapers-003866056	003866056	seca-ed8b9d60-9afe-4e2d-9340-3f2651935211	https://library.duke.edu/rubenstein/findingaids/clarkcmpapers-003866056/	1048573622	RL.30514	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
George W. Clarke papers	Clarke, George W.	1852-1866	1852/1866	eng	35 items	Letters and papers concerned with farm business, particularly with the sale of Clarke's farm products such as wheat, flour, tobacco, butter, and lard at Richmond markets. Clarke worked with the firm of Hill and Norfleet to sell his produce. Civil War-era letters reference the scarcity of salt and refence Clarke's business with the Quartermaster Department of the Confederate States of America.		Agriculture -- Virginia -- Madison County| Farm management -- Virginia -- Madison County| Farm produce -- Marketing| Confederate States of America. Quartermaster Department| Madison County (Va.) -- Economic conditions| Richmond (Va.) -- 19th century| Virginia -- Economic conditions	Madison County (Va.)| Richmond (Va.)| Virginia		Text	clarkegeorgewpapers-000890374	000890374	seca-fd3b39e7-9c6c-416c-9208-ea29006c9547	https://library.duke.edu/rubenstein/findingaids/clarkegeorgewpapers-000890374/	20649167	RL.30509	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Henry S. Clarke family papers	Clarke, Henry S. (Henry Selby), 1809-1869	1842-1888	1842/1888	eng	28 items	Miscellaneous business and personal correspondence from the Henry Clark (or Clarke) family, including a description by John D. Clark of an 1842 trip to the Ohio and Mississippi Valleys, particularly referencing Arkansas, and a pre-war letter from Jackson, Miss., which provides informationi on the family's living conditions in Mississippi. An undated letter written from Beaufort, N.C., during the Reconstruction period predicts gloomy prospects for the Southern economy, and accuses freedmen of being lazy and untrustworthy.		Freedmen -- Southern States| Race relations -- 19th century| Reconstruction (U.S. history, 1865-1877)| Clarke, Henry S. (Henry Selby), 1809-1869| Arkansas -- Description and travel -- 19th century| Mississippi River Valley -- Description and travel -- 19th century| Ohio River Valley -- Description and travel -- 19th century	Arkansas| Mississippi River Valley| Ohio River Valley		Text	clarkehenryspapers-002779164	002779164	seca-bf7a4435-f592-4c52-945f-eef8c1836258	https://library.duke.edu/rubenstein/findingaids/clarkehenryspapers-002779164/	45279793	RL.30504	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	
James T. Clarke papers	Clarke, James T.	1848-1878	1848/1878	eng	18 items	Collection contains personal correspondence, with letters largely addressed to Clarke from his brother (John H. Clarke), his son (Pleasant Henry Clarke), his wife (Martha M. Clarke), and other contacts concerning such subjects as national politics and elections (including the 1856 and 1868 presidential elections), medicine, and internal improvements in Virginia.		Presidents -- United States -- Election| Medicine -- Virginia -- History -- 19th century| Clarke family| Virginia -- History	Virginia		Text	clarkejamestpapers-002357401	002357401	seca-5b933bd2-45bc-4cd0-ae5f-fa5c7e7f695a	https://library.duke.edu/rubenstein/findingaids/clarkejamestpapers-002357401/	37883834	RL.30506	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Joseph Clarke letter	Clarke, Joseph E.	1865	1865/1865	eng	1 item	Collection consists of a letter from Clarke's son, William R. Clarke, a sergeant in the Union Army, written on May 15 while he was stationed in Keokuk, Iowa. Clarke mentions Jefferson Davis, his good wages, and his future plans. The lettersheets include three woodcuts depicting the Battle of Pittsburg Landing, the Bombardment of Ft. Henry, and the Bombardment of Island No. 10.		Soldiers -- 19th century -- Correspondence| Clarke, William R., correspondent.| United States. Army.| Keokuk (Iowa) -- History| United States -- History -- Civil War, 1861-1865	Keokuk (Iowa)| United States		Text	clarkejosephe-002357402	002357402	seca-caaa3537-d518-4e3f-b300-624c22f72880	https://library.duke.edu/rubenstein/findingaids/clarkejosephe-002357402/	37883807	RL.30515	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Enoch Clark papers	Clark, Enoch	1852-1878	1852/1878	eng	55 items	Correspondence from various Clark family members concerning property; finances; desertion; commodity prices in North Carolina during the Civil War and the operation of the salt works at Wilmington; experiences in Alatoona, Georgia, during and after the Civil War; an 1867 contract with a former slave; and family affairs, including a love letter from Lucetta Wilson.		Love-letters -- 19th century| Freedmen -- North Carolina -- Chatham County| Reconstruction (U.S. history, 1865-1877) -- Georgia| Salt industry and trade -- Confederate States of America| Confederate States of America -- Economic conditions| Georgia -- History -- Civil War, 1861-1865| North Carolina -- History -- Civil War, 1861-1865| United States -- History -- Civil War, 1861-1865 -- Desertions| United States -- History -- Civil War, 1861-1865 -- Economic aspects| Wilmington (N.C.) -- History -- Civil War, 1861-1865	Confederate States of America| Georgia| North Carolina| United States| Wilmington (N.C.)		Text	clarkenochpapers-000890365	000890365	seca-2029e192-ea31-41d0-be29-0559f539f3cc	https://library.duke.edu/rubenstein/findingaids/clarkenochpapers-000890365/	20649144	RL.30508	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
James M. Clark papers	Clark, James M., d. 1872	1863-1864	1863/1864	eng	4 items	Collection consists of four letters from Clark to Charlotte, a friend, from Washington and South Carolina. In them he noted a trip to Beaufort, S.C.; damage and repairs to the Sangamon; the sinking of the U.S.S. Housatonic; gun practice in Charleston harbour; and picket duty near Ft. Sumter.		Armored vessels -- 19th century| Navies -- Officers -- Correspondence -- 19th century| United States. Navy -- History -- Civil War, 1861-1865			Text	clarkjamesmpapers-003866038	003866038	seca-901778a2-ab58-4d2e-978d-0c787ab80eaf	https://library.duke.edu/rubenstein/findingaids/clarkjamesmpapers-003866038/	1048571502	RL.30513	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Theophilus Clark papers	Clark, Theophilus	1834-1836	1834/1836	eng	3 items	Collection consists of three letters to Dr. Theophilus Clark and Emily Clark from Caleb Smith Ives, an Episcopal clergyman, giving his impression of Alabama and describing his work there. Ives writes from Demopolis and Mobile and discusses cotton, plantation systems, immigration (including to Texas), local slang, churches, and economic conditions.		Clergy -- Alabama| Clark, Emily, correspondent.| Ives, Caleb S. (Caleb Smith), 1798-1849, correspondent.| Episcopal Church -- Alabama| Alabama -- History| Mobile (Ala.) -- History -- 19th century	Alabama| Mobile (Ala.)		Text	clarktheophiluspapers-002357398	002357398	seca-d90b6c1f-6cb9-4b14-905f-4601e5b8a80e	https://library.duke.edu/rubenstein/findingaids/clarktheophiluspapers-002357398/	37883823	RL.30503	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	
