title	creator	date_expression	date	language	extent	description	provenance	subject	spatial	format	type	collection_slug	aleph_id	oclc_num	local_id	display_format	rights	rights_note
Charles J. Harris letters	Harris, Charles J.	1863-1865	1863/1865	eng	57 items	Letters from Harris, a private, stationed in Virginia, Florida, and South Carolina, commenting on conditions in the South, his reactions to Copperhead activities, and his bitterness against John Wilkes Booth after Lincoln's death.		Copperhead movement| Soldiers -- United States -- Correspondence| Booth, John Wilkes, 1838-1865| Harris, Charles J.| Lincoln, Abraham, 1809-1865 -- Assassination.| Republican Party (U.S. : 1854- )| United States. Army -- Military life| Confederate States of America -- Social conditions| Florida -- History -- Civil War, 1861-1865| South Carolina -- History -- Civil War, 1861-1865| Virginia -- History -- Civil War, 1861-1865	Confederate States of America| Florida| South Carolina| Virginia		Text	harrischarlesjletters-000857329	000857329	19657447	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
E. M. Harris papers	Harris, E. M.	1862-1864	1862/1864	eng	10 items	Business correspondence of Harris; and a letter from his sister-in-law, Adaline A. Hollingsworth, concerning family matters, local news, prices, and provisions.		Harris, E. M.| Hollingsworth, Adaline A., creator.			Text	harrisempapers-002567204	002567204	41167544	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Isham G. Harris letters	Harris, Isham G. (Isham Green), 1818-1897	1861-1891	1861/1891	eng	4 items	Correspondence of Isham G. Harris. Included in the collection are a letter, 1861, from John H. Savage, volunteering to organize Tennessee for Confederate support; a letter from A.S. Curry, Trenton, Tennessee, applying for the directorship of a bank there; and a letter, 1891, from Harris to Ben W. Austin, concerning a letter of General Albert Sidney Johnston.		Austin, Ben W.| Curry, A. S. (Alan S.), creator.| Harris, Isham G. (Isham Green), 1818-1897| Johnston, Albert Sidney, 1803-1862| Savage, John H., creator.| Tennessee -- History -- Civil War, 1861-1865	Tennessee	Personal correspondence	Text	harrisishamgletters-002567304	002567304	41174796	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Iverson Louis Harris papers	Harris, Iverson Louis	1827-1878	1827/1878	eng	28 items	Legal correspondence of the firm of Hansell and Harris, attorneys, from the 1820s; and family letters from the Hansell, Hall, and Harris families thereafter. Topics include the Civil War, relief work by the ladies of Milledgeville, and Sherman's march through the town. Included are letters of Joseph E. Brown, Civil War governor of Georgia, written during the late 1860s.		Lawyers -- Correspondence| Lawyers -- Georgia -- Milledgeville| Sherman's March to the Sea| Brown, Joseph E. (Joseph Emerson), 1821-1894| Harris, Iverson Louis| Hall family| Harris family| Hensel family| Georgia -- History -- Civil War, 1861-1865| Milledgeville (Ga.) -- History -- Civil War, 1861-1865| United States -- History -- Civil War, 1861-1865 -- Civilian relief| United States -- History -- Civil War, 1861-1865 -- Women	Georgia| Milledgeville (Ga.)| United States		Text	harrisiversonlouispapers-000894268	000894268	20748591	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
James Harris papers	Harris, James	1813-1852	1813/1852	eng	7 items	Letters of Harris concerning prices and marketing conditions at Richmond, Va.		Tobacco industry -- Virginia -- Richmond| Tobacco -- Marketing| Tobacco -- Prices -- Virginia| Harris, James| Buckingham County (Va.) -- History| Richmond (Va.) -- Economic conditions	Buckingham County (Va.)| Richmond (Va.)		Text	harrisjamespapers-000894272	000894272	20748609	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Joel Chandler Harris letters	Harris, Joel Chandler, 1848-1908	1870-1909	1870/1909	eng	15 items	Letters of Harris to Georgia Harrison Starke and Nora-Belle Starke, sister and niece respectively of James P. Harrison, editor of the Monroe Advertiser of Forsyth, Ga., and onetime employer of Harris. The letters give accounts of the vicissitudes of Harris' career as a newspaperman and contain occasional comment on his own literary works and those of his contemporaries. In one letter he mentions that his verses "To Nora Bell" have been pronounced "very fine" by Paul Hayne. Several earlier letters, of an introspective cast, give the author's own account of his character and personality. Included also is a letter of application, probably to Stilson Hutchins of the Washington (Ga.) Post, and a note to Miss Jeannette Gilder concerning his "Plough-Hands' Song."		Authors, American| Authors, American -- Correspondence| Journalists -- Correspondence| Journalists -- Southern States| Gilder, Jeannette L. (Jeannette Leonard), 1849-1916| Harris, Joel Chandler, 1848-1908| Hayne, Paul Hamilton, 1830-1886| Hutchins, Stilson, 1838-1912| Starke, Georgia Harrison| Starke, Nora-Belle| Southern States -- Intellectual life	Southern States		Text	harrisjoelchandlerletters-000857337	000857337	19657459	[local_id]	image	http://rightsstatements.org/vocab/UND/1.0/	[rights_note]
John D. Harris letters	Harris, John D.	1861-1865	1861/1865	eng	6 items	Letters of a Confederate soldier, one written from the field.		Harris, John D.| Confederate States of America. Army -- Military life| United States -- History -- Civil War, 1861-1865 -- Personal narratives	United States	Personal correspondence	Text	harrisjohndletters-002567305	002567305	41174808	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
John Y. Harris papers	Harris, John Y.	1831-1901	1831/1901	eng	81 items	Business papers of Harris and his law partner, A.M. Organ; one item, 1875, concerns work on township roads and timber for a plank road. There are also letters by Harris' brother-in-law, J.M. Dennis, relating to Reconstruction economic and political conditions in the cotton belt, especially in South Carolina.		Lawyers -- Virginia -- Dinwiddie County| Reconstruction (U.S. history, 1865-1877) -- South Carolina| Roads -- Virginia| Dennis, J. M.| Dennis, J. M., creator.| Harris, John Y.| Organ, A. M.| Dinwiddie County (Va.) -- Economic conditions| South Carolina -- Politics and government -- 1865-1950	Dinwiddie County (Va.)| South Carolina		Text	harrisjohnypapers-000894276	000894276	20748627	[local_id]	image	http://rightsstatements.org/vocab/UND/1.0/	[rights_note]
Josiah Harris papers	Harris, Josiah	1872	1872/1872	eng	5 items	Letters and accounts to Josiah Harris from the firm of Peters [Petus?] and Reed, which handled his staves.		Harris, Josiah			Text	harrisjosiahpapers-002567306	002567306	41174814	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Levi Harris papers	Harris, Levi	1840-1870	1840/1870	eng	52 items	Letters from relatives living in various parts of Virginia, chiefly Buckingham County, concerning family news of farmers.		Harris, Levi| Harris family			Text	harrislevipapers-002567307	002567307	41174802	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Papers	Harrison, Benjamin, approximately 1726-1791	1780-1785	1780/1785	eng	5 items	Letters of Benjamin Harrison (1726-1791), governor of Virginia, 1781-1784, relating to the importation of salt, 1783; the commission to regulate navigation on the Potomac River, 1785; a land grant to Robert Cunningham, 1782; and two typed copies of the will of Harrison.		Harrison, Benjamin, approximately 1726-1791			Text	harrisonbenjamin-002567309	002567309	41174799	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
Benjamin Harrison papers	Harrison, Benjamin, 1833-1901	1888-18896	1888/1889	eng	3 items	A brief note, 1888, by Benjamin Harrison to Charles Emory of Carthage, Jasper County, Missouri, concerning Harrison's unit in the Civil War, the 70th Regiment of Indiana Infantry; a printed copy of Harrison's inaugural address; and a printed souvenir distributed at Harrison's inaugural ball, 1889.		Presidents -- United States -- Inauguration| Presidents -- United States -- Inaugural addresses| Harrison, Benjamin, 1833-1901| United States. Army. Indiana Infantry Regiment, 70th (1862-1865)			Text	harrisonbenjaminpapers-002567310	002567310	41174815	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
