title	creator	date_expression	date	language	extent	description	provenance	subject	spatial	format	type	collection_slug	aleph_id	oclc_num	local_id	display_format	rights	rights_note
William E. Hardy papers	Hardy, William E.	1783-1894	1783/1894	eng	64 items	Letters and papers of William E. Hardy, including indentures; personal letters; an account book; bills; Civil War letters written from camps around Richmond and Petersburg, Virginia; business letters; and contracts with freedmen.		Freedmen -- United States -- History| Contracts -- United States -- History| Hardy, William E.| Petersburg (Va.) -- History -- Civil War, 1861-1865| Richmond (Va.) -- History -- Civil War, 1861-1865	Petersburg (Va.)| Richmond (Va.)	Indentures| Account books	Text	hardywilliamepapers-002567188	002567188	41167525	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Robert W. Hargadine papers	Hargadine, Robert W.	1867-1869	1867/1869	eng	13 items	Letters and papers of Robert W. Hargadine containing rough notes of a thesis at the University of Pennsylvannia for the degree of doctor of medicine, 1867; personal letters from William M. Nickerson, assistant surgeon on the U.S.S. Pensacola; letters from Annie L. Hargadine describing a European tour, 1869; and Hargadine's appointment as a resident physician at St. Mary's Hospital, Philadelphia, Pennsylvannia.		Hargadine, Annie L.| Hargadine, Annie L., creator.| Hargadine, Robert W.| Nickerson, William M.| Nickerson, William M., creator.| University of Pennsylvania. Department of Medicine			Text	hargadinerobertwpapers-002567189	002567189	41167551	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Israel W. Hargrove papers	Hargrove, Israel W.	1839-1867	1839/1867	eng	9 items	Collection includes documents relating to the pardon of Israel W. Hargrove after the Civil War, land deeds, and Hargrove's will, 1867.		Pardon| Pardon -- United States| Wills -- North Carolina| Hargrove, Israel W.| Granville County (N.C.) -- History	Granville County (N.C.)		Text	hargroveisraelwpapers-002477970	002477970	39390458	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Marion Harland letters	Harland, Marion, 1830-1922	1843-1920 ;	1843/1920	eng	67 items	Letters from Mary Virginia (Hawes) Terhune, including letters, 1843-1857, to school friends and discussing schoolgirl affairs and her attempts at writing. The remainder of the letters, 1896-1913, are to friends and contain reminiscences of Terhune's early life.		Authors, American -- Biography| Women authors, American -- Biography| Women -- Correspondence| Women -- Education -- Southern States| Women -- United States| Harland, Marion, 1830-1922| Amelia County (Va.) -- Social life and customs	Amelia County (Va.)		Text	harlandmarionletters-000881996	000881996	20400394	[local_id]	image	http://rightsstatements.org/vocab/UND/1.0/	[rights_note]
James Harlan letter	Harlan, James, 1820-1899	1865	1865/1865	eng	1 item	Letter to James Harlan from John A. Strother, a planter in the Mississippi delta, suggesting that unemployed freedmen from Virginia be sent to repair levees on the lower Mississippi.		Freedmen -- Virginia| Harlan, James, 1820-1899| Strother, John A., creator.			Text	harlanjames-002567191	002567191	41167549	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
William Wallace Harllee papers	Harllee, W. W. (William Wallace), 1812-1897	1862	1862/1862	eng	9 items	Applications to Harllee for military appointments; and a letter discussing a project to establish a farm for raising medicinal products.		Agriculture| Harllee, W. W. (William Wallace), 1812-1897| Confederate States of America. Army.| Confederate States of America -- History, Military	Confederate States of America	Personal corrrespondence	Text	harlleewwpapers-002567192	002567192	41167545	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Adeline Harlow correspondence	Harlow, Adeline	1847-1850 and undated.	1847/1850	eng	7 items	Chiefly letters from Adeline Harlow to family members in Cambridge, Massachusetts. The author described the faculty, students, and local surroundings of Limestone Springs Female High School. Other topics include sermons and illnesses, particularly whooping cough and congestive fever. Ms. Harlow reflected on her home, family and friends in Massachusetts, and condemned a female acquaintance who was apparently an alcoholic. She expressed her belief that wages were better in the South and her desire to live independently. One letter contains a drawing of the floorplan of Limestone Springs Female High School. Collection includes two letters to Dr. F.F. Harlow of Cambridge, one from a friend requesting a favor and one from the Berkshire Medical Institution regarding the loss of a building by fire.	Purchase 1979	Schools -- South Carolina -- Spartanburg| Boarding schools -- South Carolina| Women -- Education -- South Carolina| Teachers -- South Carolina -- History -- 19th century| Women teachers -- History -- 19th century| Whooping cough| Alcoholism -- History -- 19th century| Harlow, Adeline| Harlow, F. F.| Berkshire Medical Institution (Pittsfield, Mass.)| Limestone Springs Female High School (Spartanburg, S.C.)| South Carolina -- Social life and customs| Spartanburg (S.C.) -- History -- 19th century	South Carolina| Spartanburg (S.C.)		Text	harlowadeline-001108579	001108579	28394846	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
David P. Harmon letter	Harmon, David P.	1837 January 24	1837/1837	eng	1 item	Collection comprises a letter Harmon wrote from New Orleans to his wife, Almira, while on a business trip. Harmon describes New Orleans as " ... the gayest most disipated and licentious city in the union ...," however, his main topic is his concern that he has not heard from Almira or his partners during the seven weeks that he has been away from home.		Harmon, Almira| Harmon, David P.| New Orleans (La.) -- Description and travel	New Orleans (La.)	Personal correspondence	Text	harmondavidp-004056981	004056981	270165480	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
George W. Harmon papers	Harmon, George W.	1842-1846	1842/1846	eng	2 items	Correspondence regarding a judgment against J. F. Esty.		Esty, J. F.| Harmon, George W.			Text	harmongeorgewpapers-002567194	002567194	41167537	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
Benjamin J. Harper papers	Harper, Benjamin J.	1848, 1861	1848/1861	eng	2 items	A letter, 1848, from Mary T. Harper, concerning family matters, cotton crops, plantation life in Mississippi, and the presidential campaign of 1848; and a letter, 1861, from Benjamin J. Harper, a Confederate soldier.		Plantations -- Mississippi| Presidents -- United States -- Election| Harper, Benjamin J.| Harper, Mary T.| Harper, Mary T., creator.| Harper family			Text	harperbenjaminjpapers-002567196	002567196	41167538	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Francis Harper papers	Harper, Francis (resident of New Bern, N.C.),	1846-1854	1846/1854	eng	8 items	Estate papers referring to the renting of turpentine forest lands and the hiring of African Americans.		Turpentine industry and trade -- North Carolina -- History| African Americans -- Employment -- North Carolina| Harper, Francis (resident of New Bern, N.C.)| New Bern (N.C.) -- History	New Bern (N.C.)		Text	harperfrancispapers-002545962	002545962	40761596	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Julia A. Thorne Harper papers	Harper, Julia A. Thorne	1909	1909/1909	eng	1 item	Personal note presenting to De Bost a copy of Woodrow Wilson's biography of George Washington.		Harper, Julia A. Thorne| Wilson, Woodrow, 1856-1924,		Personal correspondence	Text	harperjuliaathornepapers-002567197	002567197	41167553	[local_id]	image	http://rightsstatements.org/vocab/UND/1.0/	[rights_note]
Robert Goodloe Harper papers	Harper, Robert Goodloe, 1765-1825	1818-1821	1818/1821	eng	4 items	The collection contains a letter, 1818, from Robert Hills concerning construction projects in Baltimore, Maryland; a letter, 1821, from the Italian sculptor Raimondo Trentanove concerning a bust of George Washington; and two business letters.		Harper, Robert Goodloe, 1765-1825| Hills, Robert, creator.| Trentanove, Raimondo, creator.			Text	harperrobertgoodloepapers-002567198	002567198	41167529	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
Nancie Abbie Harriman papers	Harriman, Nancie Abbie, active 1860s	1861-1865	1861/1865	eng	20 items	Primarily letters addressed to Nancie A. Harriman from Willie Byrd Stevens, a soldier in the 4th Vermont Infantry, 1861-1864. While he was in service in Virginia and Maryland, he was located in Fairfax Co., Yorktown, Aquia Creek, Culpepper, and Port Royal in Virginia and in Annapolis, Maryland. The letters and information filed with the collection indicate Stevens was imprisoned in Richmond, Va. for approximately six months in late 1863 and early 1864, and died after suffering wounds in the battle at Cold Harbor, Va., in June 1864. The collection also includes one poem.	Purchase 1985	Cold Harbor, Battle of, Va., 1864| Harriman, Nancie Abbie, active 1860s| Stevens, Willie Byrd, creator.| Stevens, Willie Byrd| United States. Army. Vermont Infantry Regiment, 4th (1861-1865)| Maryland -- History -- Civil War, 1861-1865| United States -- History -- Civil War, 1861-1865 -- Prisoners and prisons| Virginia -- History -- Civil War, 1861-1865	Maryland| United States| Virginia		Text	harrimannancieabbiepapers-000748203	000748203	15679767	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Elias B. Harrington papers	Harrington, Elias B.	1819-1869	1819/1869	eng	104 items	Business papers including bills, promissory notes, deeds, other legal documents, and many summonses to appear in court for nonpayment of debts.		Debtor and creditor -- North Carolina -- Fayetteville| Harrington, Elias B.		Invoices| Promissory notes| Deeds| Legal documents| Summonses	Text	harringtoneliasbpapers-002567200	002567200	41167534	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
S. C. Harrington letters	Harrington, S. C.	1856	1856/1856	eng	2 items	Letters introducing a certain Clayton, who had been wounded in the capture of "the Southern ruffian, Titus," to S.C. Harrington's friends and relatives in the East.		Harrington, S. C.		Personal correspondence	Text	harringtonscletters-002567203	002567203	41167540	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
