title	creator	date_expression	date	language	extent	description	provenance	subject	spatial	format	type	ead_id	aleph_id	aspace_id	finding_aid_url	oclc_num	identifier	local_id	display_format	rights	rights_note
Thomas J. Elliott papers	Elliott, Thomas J.	1862-1864	1862/1864	eng	38 items	Family and Civil War letters from Thomas J. Elliott to his wife, giving brief accounts of the battles of Second Manassas (Bull Run), Drewry's Bluff, and Harper's Ferry, all in 1862.		Bull Run, 2nd Battle of, Va., 1862| Soldiers -- Confederate States of America -- Correspondence| Chesterfield County (Va.)| Harpers Ferry (W. Va.) -- History| United States -- History -- Civil War, 1861-1865 -- Campaigns| Virginia -- History -- Civil War, 1861-1865	Chesterfield County (Va.)| Harpers Ferry (W. Va.)| United States| Virginia		Text	elliottthomasjpapers-000893803	000893803	seca-7e7233b7-6a69-4a43-ae15-431aaf72cf0d	https://library.duke.edu/rubenstein/findingaids/elliottthomasjpapers-000893803/	20736988	RL.30836	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Thomas P. Elliott papers	Elliott, Thomas P.	1834-1872	1834/1872	eng	15 items	Personal letters of Thomas P. Elliott, with descriptions of a train ride in 1834, a trip to the Middle West, and school life at Westtown School, near Philadelphia, Pennsylvania.		United States, -- Description and travel, -- 19th century| Elliott, Thomas P.			Text	elliottthomasppapers-002560944	002560944	seca-d8405633-3f02-4b9e-bcb3-d862fc3eb5dd	https://library.duke.edu/rubenstein/findingaids/elliottthomasppapers-002560944/	41025048	RL.30822	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Henry Ellis papers	Ellis, Henry, 1721-1806	1757-1760	1757/1760	eng	8 items	Documents signed by Ellis as governor of Georgia requesting tracts to be surveyed.		Land use -- 18th century| Ellis, Henry			Text	ellishenrypapers-002560946	002560946	seca-33f744a7-06b3-404b-b840-ac5333dfeb43	https://library.duke.edu/rubenstein/findingaids/ellishenrypapers-002560946/	41025043	RL.30819	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	
H. Ellis papers	Ellis, H.	1861	1861/1861	eng	1 item	Letter showing divided sentiment at the outbreak of the Civil War.		Ellis, H.| Palmyra (Mo.)| United States -- History -- Civil War, 1861-1865	Palmyra (Mo.)| United States		Text	ellishpapers-002560945	002560945	seca-bb8624dc-0405-49e2-bef7-9958894a0418	https://library.duke.edu/rubenstein/findingaids/ellishpapers-002560945/	41025055	RL.30835	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Jeremiah B. Ellis papers	Ellis, Jeremiah B., reator	1844-1888	1844/1888	eng	103 items	Business papers of Ellis, of Fulton (Davie Co.), N.C., and other members of the Ellis family, including a ledger from a general store, 1852-1888, and a school records from Shady Grove, N.C., 1844, giving pupils, attendance, and some grades. Distilling from corn is also mentioned.		Distilling industries -- 19th century| General stores -- North Carolina -- Fulton| Schools -- North Carolina -- Shady Grove| Ellis family| Fulton (N.C.) -- Commerce	Fulton (N.C.)		Text	ellisjeremiahbpapers-000893807	000893807	seca-4006b03e-165e-490c-b30f-5ce50108e21e	https://library.duke.edu/rubenstein/findingaids/ellisjeremiahbpapers-000893807/	20736998	RL.30825	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
John R. Ellis papers	Ellis, John R.	1862	1862/1862	eng	2 items	Collection includes one ALS dated 10 December 1862, from Ellis to "Ellen." Also included is a small unidentified diary in Welsh, with daily entries from 13 August 1862 to 12 March 1863. The diary is a detailed and colorful portrait of regimental life. The handwriting is the same for both the letter and the diary, and a type-written translation of the diary (included with the collection) notes that on 10 December 1862, the author "took several pictures. I sent one to Miss Ellen Pritchard." The above letter mentions an enclosed picture, although the photograph no longer accompanies the letter.	Purchase 1977	Railroads -- United States| British Americans -- Wisconsin| Ellis, John R.| Pritchard, Ellen| Racine (Wis.)| United States -- History -- Civil War, 1861-1865	Racine (Wis.)| United States		Text	ellisjohnrpapers-002683951	002683951	seca-e38a1db9-7218-4a02-a12c-1f5f14276694	https://library.duke.edu/rubenstein/findingaids/ellisjohnrpapers-002683951/	43738677	RL.30837	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
John Willis Ellis papers	Ellis, John Willis, 1820-1861	1852-1860	1852/1860	eng	3 items	The collection includes a letter from Ellis, Governor of North Carolina, to John Letcher, Governor of Virginia, concerning a proposal to resurvey the Virginia-North Carolina border and a letter concerning a plan to divert all Southern trade to the port of Baltimore, Maryland.		Marine terminals -- Maryland -- Baltimore| Boundaries, State| Ellis, John Willis, 1820-1861| Letcher, John, 1813-1884| Raleigh (N.C.)	Raleigh (N.C.)		Text	ellisjohnwillispapers-002560948	002560948	seca-19499d66-bbe9-4670-af2a-c9cb671cee65	https://library.duke.edu/rubenstein/findingaids/ellisjohnwillispapers-002560948/	41025052	RL.30831	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Lemuel Ellis papers	Ellis, Lemuel	1852-1889	1852/1889	eng	57 items	Letters and business papers containing correspondence with Ellis' brothers in Fayetteville, N.C., and Darlington, S.C., in the 1850s; ledgers of a general store, 1857-1863; court records, warrants, orders, and case accounts in the 1870s and 1880s.		General stores -- North Carolina -- Chatham County| Justices of the peace -- North Carolina -- Chatham County| Chatham County (N.C.) -- History	Chatham County (N.C.)		Text	ellislemuelpapers-000893850	000893850	seca-619848a2-35c0-4811-98c8-86090f05337b	https://library.duke.edu/rubenstein/findingaids/ellislemuelpapers-000893850/	20737324	RL.30832	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Henry Leavitt Ellsworth papers	Ellsworth, Henry Leavitt, 1791-1858	1843	1843/1843	eng	1 item	A true copy of the patent office record of a patent on cooking stoves.		Patents -- United States| Cooking -- Equipment and supplies| Ellsworth, Henry Leavitt, 1791-1858| Washington (D.C.)	Washington (D.C.)		Text	ellsworthhenryleavittpapers-002563175	002563175	seca-7ff1ce19-4032-447f-a0e9-2111c263174b	https://library.duke.edu/rubenstein/findingaids/ellsworthhenryleavittpapers-002563175/	41084107	RL.30824	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	
Richard Elward papers	Elward, Richard	1845-1860	1845/1860	eng	23 items	Daybook 1845-1847; subscription book, 1848-1852, from Elward's newspaper, the Mississippi Free Trader, including business letters and receipts concerning the newspaper and records relating to Elward's duties as postmaster of Natchez.		American newspapers -- Mississippi -- Natchez| Book industries and trade -- Mississippi -- Natchez| Business records -- Mississippi -- Natchez| Postal service -- Mississippi -- Natchez| Stationery trade -- Mississippi -- Natchez| Natchez (Miss.) -- Commerce	Natchez (Miss.)		Text	elwardrichardpapers-000893855	000893855	seca-c40c894d-f2d1-4005-ba78-f44b6b59cc6e	https://library.duke.edu/rubenstein/findingaids/elwardrichardpapers-000893855/	20737367	RL.30828	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Frederick David Ely papers	Ely, Frederick David, 1838-1921	1857-1887	1857/1887	eng	4 items	Personal and business letters.		Business records| Ely, Frederick David, 1838-1921| Boston (Mass.)	Boston (Mass.)		Text	elyfrederickdavidpapers-002563176	002563176	seca-e5efec44-8906-4fd1-a6da-8c8faeaa30cd	https://library.duke.edu/rubenstein/findingaids/elyfrederickdavidpapers-002563176/	41084113	RL.30834	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
