title	creator	date_expression	date	language	extent	description	provenance	subject	spatial	format	type	ead_id	aleph_id	aspace_id	finding_aid_url	oclc_num	identifier	local_id	display_format	rights	rights_note
William Byrnes diary	Byrnes, William	1863	1863/1863	eng	1 volume	Describes campaigns at Chancellorsville, Gettysburg, and Rappahannock Station, as well as various picket actions and skirmishes. Discusses camp life, casualties, deserters, discipline, foraging, and prisoners, and mentions U.S. generals Joseph J. Bartlett, George G. Meade, John Sedgwick, and Horatio G. Wright.		Chancellorsville, Battle of, Chancellorsville, Va., 1863| Gettysburg Campaign, 1863| Kelly's Ford, Battle of, Va., 1863| Soldiers -- Conduct of life| Bartlett, Joseph Jackson, 1834-1893| Meade, George Gordon, 1815-1872| Sedgwick, John, 1813-1864| Wright, Horatio Gouverneur, 1820-1899| United States. Army. Pennsylvania Infantry Regiment, 95th (1861-1865)| United States -- History -- Civil War, 1861-1865 -- Personal narratives	United States		Text	byrneswilliam-000846354	000846354	seca-f44f632a-d620-46b9-bcc4-2904ae8bf2a6	http://library.duke.edu/rubenstein/findingaids/byrneswilliam-000846354/	19276386	RL.30409	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Eleazar Cable papers	Cable, Eleazar	1866-1872	1866/1872	eng	4 items	Two letters from Timothy Murphy concerning family matters, crops, the building of a road, and the Freehold Railroad; a letter from John Coffing pertaining to a lawsuit against the Housatonic Railroad; and a tax notice.		Cable, Eleazar			Text	cableeleazarpapers-002569411	002569411	seca-32fb9ce5-389f-45e4-a652-c12e447dbedd	http://library.duke.edu/rubenstein/findingaids/cableeleazarpapers-002569411/	41239209	RL.30411	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Charles R. Cadman papers	Cadman, Charles R.	1918	1918/1918	eng	8 items	Collection contains family correspondence of Cadman, describing life at Great Lakes Naval Station, his transfer to Philadelphia, and opinion on the duration of the war.		Great Lakes Naval Training Center (Great Lakes, Ill.) -- History	Great Lakes Naval Training Center (Great Lakes, Ill.)		Text	cadmancharlesrpapers-002278570	002278570	seca-2f86d40c-d1d6-4000-ad16-c654e4164b47	http://library.duke.edu/rubenstein/findingaids/cadmancharlesrpapers-002278570/	36854617	RL.30417	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
John Cadwalader papers	Cadwalader, John, 1742-1786	1771-1785	1771/1785	eng	2 items	Collection consists of the will of General Cadwalader, and a bill for taxes due from the estate.					Text	cadwaladerjohnpapers-002278571	002278571	seca-d7cab753-24bf-4036-bcd8-4fb9542fcb5c	http://library.duke.edu/rubenstein/findingaids/cadwaladerjohnpapers-002278571/	36854572	RL.30396	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
Emma L. Cain papers	Cain, Emma L.	1861-1869	1861/1869	eng	63 items	Collection contains personal letters from Confederate soldiers in camps in Va. and N.C., and from schoolmates.		Soldiers -- Confederate States of America| United States -- History -- Civil War, 1861-1865	United States		Text	cainemmalpapers-002278572	002278572	seca-ab11a3a4-a4eb-4954-9fd0-8c629881a02b	http://library.duke.edu/rubenstein/findingaids/cainemmalpapers-002278572/	36854599	RL.30406	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
John S. Cairns papers	Cairns, John S.	1896	1896/1896	eng	1 item	Collection contains a list of birds observed in western N.C. by Cairns.		Birds -- North Carolina -- Buncombe County -- 19th century			Text	cairnsjohnspapers-002278573	002278573	seca-acbc9d00-9f96-4e4f-820a-cad1f426c87b	http://library.duke.edu/rubenstein/findingaids/cairnsjohnspapers-002278573/	36854614	RL.30413	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
David Franklin Caldwell letters	Caldwell, David Franklin	1848-1897	1848/1897	eng	25 items	Letters from prominent N.C. officials and friends of Caldwell, concerning North Carolina politics, internal affairs, and family matters. One letter of 1864 reports on the trials of deserters and the shortage of rations. Another letter of 1848 mentions the Whigs and the recent presidential election.	Purchase, 1975-1979	Presidents -- United States -- Election -- 1848| Elections -- United States -- 1848| Albright, D. M.| Garrett, James M.| Payne, J. W.| Greensboro (N.C.) -- Politics and government| North Carolina -- Politics and government -- 1775-1865	Greensboro (N.C.)| North Carolina		Text	caldwelldavidfranklinletters-001826852	001826852	seca-eaab0bfd-23cb-4277-ab80-290dd8f75759	http://library.duke.edu/rubenstein/findingaids/caldwelldavidfranklinletters-001826852/	32878742	RL.30402	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Eliza F. Caldwell papers	Caldwell, Eliza F.	1860-1874	1860/1874	eng	20 items	Personal letters from family and friends in Mississippi. Several letters during the Civil War describe prison conditions at Johnson's Island, Ohio. Letters in 1866 discuss social and economic conditions in Mississippi, and continuing secessionist influence as well as the possibility of renewed conflict with Union sympathizers.		Reconstruction -- Mississippi| Johnson Island (Ohio)| Mississippi -- Social conditions| Mississippi -- Economic conditions| Mississippi -- Politics and government -- 1865-1950| United States -- History -- Civil War, 1861-1865 -- Prisoners and prisons	Johnson Island (Ohio)| Mississippi| United States		Text	caldwellelizafpapers-000846360	000846360	seca-3b182021-b7da-4ac6-9c93-bcae833447ad	http://library.duke.edu/rubenstein/findingaids/caldwellelizafpapers-000846360/	19276417	RL.30405	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
John Caldwell papers	Caldwell, John	1857-1870	1857/1870	eng	6 items	Collection contains letters to Caldwell concerning propective students. There are some letters from the Gaddy family in Arkansas and an itinerant minister. Topics include crops, economic conditions, railroad construction, religious activities, and frontier conditions.		Gaddy family			Text	caldwelljohnpapers-002278574	002278574	seca-07ca58c4-1b8c-4111-903e-c856a5169564	http://library.duke.edu/rubenstein/findingaids/caldwelljohnpapers-002278574/	36854593	RL.30404	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
W. S. Caldwell papers	Caldwell, W. S.	1864	1864/1864	eng	2 items	Collection consists of petitions, concerning the revocation of Caldwell's business license by officials of the Federal Army.		Shelby County (Ky.) -- History -- 19th century	Shelby County (Ky.)		Text	caldwellwspapers-002278575	002278575	seca-b478534f-25d8-45a3-8352-45b8c4cccb87	http://library.duke.edu/rubenstein/findingaids/caldwellwspapers-002278575/	36854603	RL.30410	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
