title	creator	date_expression	date	language	extent	description	provenance	subject	spatial	format	type	collection_slug	aleph_id	oclc_num	local_id	display_format	rights	rights_note
A. L. Hayes letters, 1850.	Hayes, A. L. (Alexander L.), 1793-1875		1850/1850	eng	2 items	Letters to his client about usury, jurors, and Judge Ellis Lewis.		Attorney and client -- Pennsylvania| Legal correspondence -- Pennsylvania| Hayes, A. L. (Alexander L.), 1793-1875| Lewis, Ellis			Text	hayesalletters-002566231	002566231	41161287	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
Rutherford B. Hayes letters	Hayes, Rutherford B., 1822-1893	1877-1881	1877/1881	eng	9 items	Letters to Hayes recommending various persons for appointment for office. One letter of the Rev. Dr. James Freeman Clarke, a Unitarian minister of Boston, concerns General H.S. Huidekoper. Other writers are John Tyler Morgan, Benjamin Franklin Perry, John Lee Chapman, and William Wade Dudley. A letter from John Sherman concerns a bill for the relief of William H. Thompson, a collector of interal revenue in North Carolina. There is also on brief note of introduction from Hayes for a friend.		Presidents -- United States| Patronage, Political -- United States| Chapman, John Lee, creator.| Clarke, James Freeman, creator.| Dudley, William Wade, creator.| Hayes, Rutherford B., 1822-1893| Huidekoper, H. S. (Henry Shippen), 1839-| Morgan, John Tyler, creator.| Perry, B. F. (Benjamin Franklin), 1805-1886, creator.| Sherman, John, creator.| Thompson, William H.| United States -- Officials and employees -- Selection and appointment	United States		Text	hayesrutherfordbletters-002566233	002566233	41161290	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Arthur Perronneau Hayne letters	Hayne, Arthur Perronneau, 1790-1867	1838-1859	1838/1859	eng	3 items	One letter from Arthur P. Hayne to Robert J. Walker contains some information on the presidential campaign of 1844; one from Mitchell King, gives the qualifications of a good English grammar; the third, from Hayne to Thomas Aspinwall, U.S. consul in London, 1838, concerns the prospects for fire insurance companies in Charleston.		Presidents -- United States -- Election| English language -- Grammar -- Handbooks, manuals, etc| Fire insurance -- South Carolina -- Charleston| Aspinwall, Thomas| Hayne, Arthur Perronneau, 1790-1867| King Mitchell, creator.| Walker, Robert J.			Text	haynearthurperronneauletters-002566235	002566235	41161284	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Robert Young Hayne letters	Hayne, Robert Young, 1791-1839	1822-1839	1822/1839	eng	4 items	Miscellaneous business and political letters to Hayne.		Lawyers -- Correspondence| Lawyers -- Political activity| Lawyers -- South Carolina| Legislators -- South Carolina| Hayne, Robert Young, 1791-1839| South Carolina -- Politics and government -- 1775-1865	South Carolina		Text	haynerobertyoungletters-002586346	002586346	41571196	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
Frank W. Haynes letters	Haynes, Frank W.	1903-1907	1903/1907	eng	61 items	Letters from clients to Haynes.		Haynes, Frank W.			Text	haynesfrankwletters-002565037	002565037	41109701	[local_id]	image		[rights_note]
John Haywood letters	Haywood, John, 1755-1827	1800-1865	1800/1865	eng	24 items	Correspondence regarding a shortage of state funds charged to John Haywood and the interest of Willis Alston in determining the shortage. The latter part of the collection is composed of official letters of Edmund Burke Haywood, John's son, a Confederate surgeon and director of government hospitals in Raleigh, N.C., and gives much information on medical administration during the Civil War. Among the correspondents are George W. Haywood, Thomas Ruffin, and Edward Warren.		Embezzlement -- North Carolina| Hospitals -- Confederate States of America| Alston, Willis| Haywood, E. Burke (Edmund Burke), 1825-1894| Haywood, E. Burke (Edmund Burke), 1825-1894| Haywood, George W.| Haywood, John, 1755-1827| Ruffin, Thomas, 1787-1870| Warren, Edward| Confederate States of America. Army -- Surgeons| North Carolina -- Officials and employees| North Carolina -- Politics and government -- 1775-1865| Raleigh (N.C.) -- History -- Civil War, 1861-1865| United States -- History -- Civil War, 1861-1865 -- Medical care	North Carolina| Raleigh (N.C.)| United States		Text	haywoodjohnletters-000861233	000861233	19793829	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Clemmence G. Hayworth papers	Hayworth, Clemmence G.	1867-1877	1867/1877	eng	4 items	A letter, 1867, appointing Hayworth an election official in his county; letters from J.E. Hayworth in Hendrix County, Indiana, describing conditions there and remarking on the effect of the railroad strike of 1877; and a tax evaluation list for 1868.		Election officials -- North Carolina| Railroad Strike, U.S., 1877| Hayworth, Clemmence G.| Hayworth, J. E.| Hayworth, J. E.			Text	hayworthclemmencegpapers-002565039	002565039	41109693	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Ebenezer Hazard letter	Hazard, Ebenezer, 1744-1817	1801	1801/1801	eng	1 item	Letter of March 5, 1801, to an unidentified addressee. Hazard refers first to some personal business and to the maintenance of someone (perhaps a relative) in a mental hospital. He then describes briefly the response among Democrats in Philadelphia to the election of Jefferson as president of the U.S. Also mentioned are attitudes toward Governor Thomas McKean (1734-1817) of Pennsylvania and the war in Europe.		Napoleonic Wars, 1800-1815| Public opinion -- United States| Hazard, Ebenezer, 1744-1817| Jefferson, Thomas, 1743-1826| McKean, Thomas, 1734-1817| Democratic Party (Pa.)| United States -- Politics and government -- 1775-1805	United States	Personal correspondence	Text	hazardebenezer-002586402	002586402	41571190	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
Studies in early American history : A notable lawsuit :	Head, Franklin H. (Franklin Harvey), 1832-1914	about 1898	1898/1898	eng	1 item	Typed copy of Head's pamphlet containing a fictional story about a lawsuit over Captain Kidd's fortune between Frederick Law Olmstead and members of the Astor family.		Head, Franklin H. (Franklin Harvey), 1832-1914| Kidd, William, -1701| Olmsted, Frederick Law, 1822-1903| Astor family			Text	headfranklinh-002648556	002648556	43297776	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
Columbus Heard letters	Heard, Columbus	1855-1878	1855/1878	eng	18 items	Letters to Columbus Heard concerning personal and legal matters, and the difficult years of Reconstruction.		Judges -- Georgia| Reconstruction (U.S. history, 1865-1877)| Heard, Columbus			Text	heardcolumbusletters-002565040	002565040	41109691	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Lafcadio Hearn letter	Hearn, Lafcadio, 1850-1904	1890	1890/1890	eng	1 item	Letter from Hearn to New Orleans historian Charles E.A. Gayarré concerning the publication of Gayarré's "Southern Question."		Gayarré, Charles, 1805-1895| Hearn, Lafcadio, 1850-1904			Text	hearnlafcadio-002565041	002565041	41109699	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Hartwell P. Heath papers	Heath, Hartwell P.	1820-1895	1820/1895	eng	42 items	Letters dealing with business of the Heath and Mason law firm; letters of Roscoe B. and J.H. Heath to their uncle, Francis E. Rives; bills and receipts; and an indenture of Francis E. Rives.		Law firms -- Virginia -- Petersburg| Heath, Hartwell P.| Heath, J. H.| Heath, J. H., creator.| Heath, Roscoe B. (Roscoe Briggs)| Heath, Roscoe B. (Roscoe Briggs), creator.| Rives, Francis E.		Indentures	Text	heathhartwellppapers-002565042	002565042	41109687	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
William Heath papers	Heath, William, 1737-1814	1725-1864	1725/1864	eng	18 items	Papers of General Heath, and of Joseph Curtis, a Roxbury landowner, who were related by marriage. Heath's papers include a record of water rights obtained by his father or grandfather, a copy of a letter to him by George Washington discussing U.S. relations with France, a copy of his will, and items relating to property owned by his daughter, Sarah Heath Gardner. Curtis' papers are concerned mainly with the disposition of his estate, including two land indentures and his will.		Executors and administrators -- Massachusetts| Water rights -- Massachusetts| Women -- Legal status, laws, etc -- United States| Curtis, Joseph -- Estate.| Curtis, Joseph, creator.| Gardner, Sarah Heath| Heath, William, 1737-1814| Washington, George, 1732-1799| United States. Continental Army -- Officers| France -- Foreign relations -- United States| United States -- Foreign relations -- France	France| United States		Text	heathwilliampapers-000861235	000861235	19793852	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Charles A. Hedrick papers	Hedrick, Charles A.	1877-1885	1877/1885	eng	48 items	Papers of Charles A. Hedrick consist of personal and business letters and postcards, bills and receipts, and mercantile accounts.		Hedrick, Charles A.| West Virginia -- Economic conditions	West Virginia		Text	hedrickcharlesapapers-002565043	002565043	41109695	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
John Helfenstein letters	Helfenstein, John	1824-1851	1824/1851	eng	7 items	Letters, including: three to Matilda Helfenstein (two concerned with personal and social matters, and one from Benjamin Patton concering his life as a lawyer); one from John B. Hays to John Helfenstein asking his opinion on possible results in Ohio and Pennsylvania and how the vote will be influenced by the native American question; two to Patton; and one concerning democratic party politics in Pennsylvania.	Purchase 1979, 1987	Indians of North America -- Politics and government| Lawyers -- Pennsylvania -- Correspondence| Hays, John B.| Helfenstein, John| Helfenstein, Matilda| Patton, Benjamin| Democratic Party (Pa.)| Ohio -- Politics and government| Pennsylvania -- Politics and government	Ohio| Pennsylvania		Text	helfensteinjohnletters-002508746	002508746	40067210	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Solomon Helsabeck papers	Helsabeck, Solomon	1899-1970	1899/1970	eng	3 items	Circular letter advertising Trinity Park High School, Durham, North Carolina; a form for names of prospective students; and a letter of gift stating the origin of these papers.		Helsabeck, Solomon| Trinity Park School (Durham, N.C.)			Text	helsabecksolomonpapers-002565044	002565044	41109700	[local_id]	image		[rights_note]
