title	creator	date_expression	date	language	extent	description	provenance	subject	spatial	format	type	ead_id	aleph_id	aspace_id	finding_aid_url	oclc_num	identifier	local_id	display_format	rights	rights_note
Joseph A. Drummond papers	Drummond, Joseph A.	1861-1863	1861/1863	eng	linear feet	Letters of a Confederate soldier to his wife Martha, describing military activities around Charleston, S.C., and discussing his family and events at home.		Negotiable instruments -- United States -- 19th century| Soldiers -- Confederate States of America -- Correspondence| Drummond, Martha| Confederate States of America. Army -- Military life| Charleston (S.C.) -- History -- Civil War, 1861-1865| James Island (S.C.)| South Carolina -- History -- Civil War, 1861-1865	Charleston (S.C.)| James Island (S.C.)| South Carolina		Text	drummondjosephapapers-000893776	000893776	seca-2c3c90e1-a786-4f58-a8c3-808a38aefc3c	https://library.duke.edu/rubenstein/findingaids/drummondjosephapapers-000893776/	20736919	RL.30776	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
John H. Duane papers	Duane, John H.	1916-1919	1916/1919	eng	linear feet	Collection consists of four account books from his general store and some miscellaneous letters and accounts found inside the volumes. Some of the miscellaneous letters and accounts concern the collection of bad debts.		Collecting of accounts| General stores -- Virginia -- Dinwiddie County| Merchants -- Virginia -- Dinwiddie County| Duane, John H.| Dinwiddie County (Va.)| Dinwiddie County (Va.) -- History	Dinwiddie County (Va.)		Text	duanejohnhpapers-002683922	002683922	seca-329b5990-0e7c-418c-8118-12bf3952d2f6	https://library.duke.edu/rubenstein/findingaids/duanejohnhpapers-002683922/	43738542	RL.30784	[local_id]	image		[rights_note]	
Joel H. DuBose papers	DuBose, Joel H.	1895-1928	1895/1928	eng	linear feet	Letters to DuBose from Allen Daniel Candler and Hoke Smith.		Land grants -- Georgia| Candler, Allen D. (Allen Daniel), 1834-1910| DuBose, Joel H.| Smith, Hoke, 1855-1931| Atlanta (Ga.)	Atlanta (Ga.)		Text	dubosejoelhpapers-002561234	002561234	seca-8f766062-d3d7-468b-a595-550644fe6102	https://library.duke.edu/rubenstein/findingaids/dubosejoelhpapers-002561234/	41038368	RL.30781	[local_id]	image		[rights_note]	
Edward Bishop Dudley papers	Dudley, Edward Bishop, 1789-1855	1838-1846	1838/1846	eng	linear feet	Papers include a land grant from Dudley to Neill Munn of Montgomery County, North Carolina, and a letter to the sheriff of Pasquotank County, North Carolina, granting a stay of execution, 1838.		Capital punishment -- United States| Land grants -- North Carolina| Dudley, Edward Bishop, 1789-1855| Pasquotank County (N.C.)| Wilmington (N.C.)	Pasquotank County (N.C.)| Wilmington (N.C.)		Text	dudleyedwardbishoppapers-002561236	002561236	seca-32b4d376-9a87-477f-bb30-e1948aa19ef6	https://library.duke.edu/rubenstein/findingaids/dudleyedwardbishoppapers-002561236/	41038352	RL.30768	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Charles Duffy papers	Duffy, Charles	1840-1888	1840/1888	eng	linear feet	Political correspondence of Charles Duffy, one letter of which describes the campaign of the Whig Party in the election of 1840; other letters pertain to the education of Duffy's sons, Charles and Lawrence, who were in a West Point preparatory school in New York City, ca. 1858.		Boarding schools| Military education -- United States -- History -- 19th century| Presidents -- United States -- Election -- 1840| Schools -- New York (State) -- New York| Sedgwick, S.J.| Whig Party (U.S.)| New Bern (N.C.)| United States -- Politics and government -- 1837-1841	New Bern (N.C.)| United States		Text	duffycharlespapers-000893790	000893790	seca-2e9f4bb6-07d7-4b9a-80c3-97578d4a5ee6	https://library.duke.edu/rubenstein/findingaids/duffycharlespapers-000893790/	20736953	RL.30770	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Dugas family papers	Dugas family	1763-1848	1763/1848	fre	linear feet	Papers in this collection include letters, as well as financial and legal documents. The oldest item is a French marriage contract drawn in 1763, in the name of Louis Renee Adrien Dugas. Most of the material in the collection, however, pertains to Leon Frederick E. Dugas, who traveled extensively as a cotton merchant and general factor. Letters to Dugas discuss business and prices, as well as numerous lawsuits and disputes with importers. Several letters to Dugas from his brother-in-law and partner Paul Ronignol, are in French. A letterpress volume from 1845 records much of Dugas's correspondence from that year. Many of these letters are in French, and virtually all deal with matters of finance, cotton sales, or estate settlements. Of interest are documents representing Dugas's attempts to gain control of the Habersham Iron Works; papers relating to the sale of slaves to the family; and an inventory showing that in 1827, the Dugas family purchased most of the land, goods, and slaves of "Good-Rest," the Edgefield, S.C. home of Dr. Beauregard.	Gift 1979	Cotton -- Prices| Cotton trade -- Georgia| French Americans -- Southern States| Slavery -- Georgia| Dugas, Leon Frederick E.| Roningol, Paul| Dugas family| Habersham Iron Works| Edgefield District (S.C.) -- History| Richmond County (Ga.) -- History	Edgefield District (S.C.)| Richmond County (Ga.)		Text	dugasfamilypapers-002683930	002683930	seca-115922c3-294a-47f9-b192-4d553009b6d3	https://library.duke.edu/rubenstein/findingaids/dugasfamilypapers-002683930/	43738552	RL.30766	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	
Frederick A. Dugas papers	Dugas, Frederick A.	1825-1848	1825/1848	eng	linear feet	Deeds, mercantile accounts, and personal letters of a French-American family. Several of the letters are in French. Included also is a record of visits, charges, and payments kept in diary form in 1854 by Louis Alexander Dugas (1806-1884), a prominent physician of Augusta, Ga. Information about the Habersham Iron Works in Habersham County, Georgia is also included.		Iron foundries -- 19th century| French Americans -- Southern States| Medicine -- Practice -- Georgia| Physicians -- Georgia -- Savannah| Dugas, L. A. (Louis Alexander), 1806-1884| Augusta (Ga.) -- History| Habersham County (Ga.)	Augusta (Ga.)| Habersham County (Ga.)		Text	dugasfrederickapapers-000893795	000893795	seca-292dc3c2-6dfd-4312-9ca7-b5916c94a0ad	https://library.duke.edu/rubenstein/findingaids/dugasfrederickapapers-000893795/	20736966	RL.30767	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	
William James Duke papers	Duke, William James, 1803-1883	1856-1896	1858/1896	eng	linear feet	Relates to the business and property of Duke and his family in Orange and Durham Counties, N.C.	Gift 1983	Deeds -- North Carolina -- Durham County -- 19th century| Deeds -- North Carolina -- Orange County -- 19th century| Families -- North Carolina| Durham County (N.C.)| Orange County (N.C.)	Durham County (N.C.)| Orange County (N.C.)	Deeds| Deeds	Text	dukewilliamjamespapers-001098954	001098954	seca-fb99d767-c3eb-4d43-a71a-d8a6c1beb78b	https://library.duke.edu/rubenstein/findingaids/dukewilliamjamespapers-001098954/	28086899	RL.30775	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
A. J. Dula papers	Dula, A. J.	1908	1908/1908	eng	linear feet	Reminiscences of the history of Company A, 22nd Regiment, North Carolina Volunteers, narrated by Private A.J. Dula. He describes various battles, including the Peninsular Campaign, the Seven Days battle, and the capture of Harper's Ferry, the battles of Fredericksburg, Chancellorsville, and Gettysburg, and the defense of Richmond; camp life and the unhealthful conditions; casualties; his injury and recuperation; his capture and parole; and the speech of Governor Vance at Orange Court House, Va. Included is a list, compiled in 1865, of the men in Company A, noting injuries received, discharges, desertions, etc.		Chancellorsville, Battle of, Chancellorsville, Va., 1863| Desertion, Military -- Confederate States of America| Fredericksburg, Battle of, Fredericksburg, Va., 1862| Gettysburg, Battle of, Gettysburg, Pa., 1863| Hospitals -- Confederate States of America| Peninsular Campaign, 1862| Vance, Zebulon Baird, 1830-1894| Confederate States of America. Army -- Military life| Confederate States of America. Army. North Carolina Infantry Regiment, 22nd. Company A.| Confederate States of America. Army -- Sanitary affairs| Caldwell County (N.C.)| Harpers Ferry (W. Va.) -- History -- Civil War, 1861-1865| Richmond (Va.) -- History -- Civil War, 1861-1865| United States -- History -- Civil War, 1861-1865 -- Campaigns| United States -- History -- Civil War, 1861-1865 -- Medical care| United States -- History -- Civil War, 1861-1865 -- Personal narratives, Confederate| United States -- History -- Civil War, 1861-1865 -- Prisoners and prisons| United States -- History -- Civil War, 1861-1865 -- Regimental histories| Virginia -- History -- Civil War, 1861-1865	Caldwell County (N.C.)| Harpers Ferry (W. Va.)| Richmond (Va.)| United States| Virginia		Text	dulaajpapers-000893805	000893805	seca-7097cfb9-ca60-45ca-a47d-90acb8486ddb	https://library.duke.edu/rubenstein/findingaids/dulaajpapers-000893805/	20736993	RL.30783	[local_id]	image		[rights_note]	
Francis Dumaresq papers	Dumaresq, Francis, 1854-	1876-1882	1876/1882	eng	linear feet	European travel diary, 1876, which includes a few lists of travel expenses, and a page of financial information, 1882. Entries often contain reports on activities, mail received, people visited, and information received from others. The diary reflects the typical social life of a wealthy American travelling abroad during the nineteenth century. Dumaresq's travels took him to London and then to Scotland, particularly Melrose and Dryburgh Abbey. In Edinburgh he described the two occasions on which he saw Queen Victoria. In Switzerland Dumaresq visited Velvey, Geneva, Lucerne, Berne, Lausanne, and his stops in France included Rouen, Strasbourg, and Metz. He met a young Englishman who told him about encounters with Empress Eugénie. At the end of his trip, he returned to England, where he visited London, Canterbury, Brighton, Windsor Castle, Oxford, Stratford-on-Avon, Manchester, and Liverpool, where he saw the Duke and Duchess of Westminster.	Purchase 1989	Americans -- Travel -- Europe| Travelers -- Europe -- Diaries| Upper class -- United States| Voyages and travels| England -- Description and travel| France -- Description and travel| Scotland -- Description and travel| Switzerland -- Description and travel	England| France| Scotland| Switzerland		Text	dumaresqfrancispapers-000897759	000897759	seca-cc906d16-4cb9-4a05-b00d-dd8d56be5715	https://library.duke.edu/rubenstein/findingaids/dumaresqfrancispapers-000897759/	20836326	RL.30780	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
