title	creator	date_expression	date	language	extent	description	provenance	subject	spatial	format	type	collection_slug	aleph_id	oclc_num	local_id	display_format	rights	rights_note
Jonathan Harvey correspondence	Harvey, Jonathan	1803-1816	1803/1816	eng	4 items	Contains Harvey's business correspondence with a Philadelphia bank and a New York mercantile house.		Merchants -- Maryland -- Baltimore| Harvey, Jonathan| Baltimore (Md.) -- Commerce	Baltimore (Md.)		Text	harveyjonathan-002566179	002566179	41158654	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
William Clifton Harvey papers	Harvey, William Clifton	1859-1867	1859/1867	eng	5 items	A letter, memorandum book, copybook, and two diaries relating to his military service.		Soldiers -- Confederate States of America -- Diaries| Confederate States of America. Army. Virginia Infantry Regiment, 43rd.| United States -- History -- Civil War, 1861-1865 -- Personal narratives, Confederate	United States		Text	harveywilliamcliftonpapers-000895227	000895227	20770039	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
William J. Harwood agreement	Harwood, William J.	1871	1871/1871	eng	1 item	Copy of an agreement with W. B. Rose concerning transfer of land in Henrico County, Virginia.		Real property -- Registration and transfer -- Virginia| Harwood, William J.| Rose, W. B.| Rose, W. B.| Henrico County (Va.) -- History -- 19th century	Henrico County (Va.)		Text	harwoodwilliamj-002566181	002566181	41158668	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
John W. Haskins family correspondence	Haskins, John W.	1856-1876	1856/1876	eng	17 items	Personal correspondence of the Haskins family, with brief references to agricultural and educational conditions immediately after the Civil War.		Agriculture -- Virginia -- Buckingham County| Education -- Virginia -- Buckingham County| Haskins, John W.| Haskins family| Buckingham County (Va.) -- History	Buckingham County (Va.)	Personal correspondence	Text	haskinsjohnw-002566182	002566182	41158662	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Hasler family letters	Hasler (Family : New York, New York), 19th century :	1861-1865	1861/1865	eng	9 items	Collection contains letters from brothers John, William, and George Hasler, to their parents, while stationed in various camps in Pennsylvania, Virginia, Maryland, and Tennessee. John writes of an expected battle in Richmond, and of the Petersburg campaign. Letter topics include family and money, health, camp life, weather, troop movements, and military pay.		Soldiers -- United States -- Correspondence| Hasler, George, creator.| Hasler, George| Hasler, John| Hasler, William, creator.| Hasler, William| Hassler family| United States. Army -- Military life| United States. Army. Pennsylvania Light Artillery Regiment, 1st.| United States. Army. New York Infantry Regiment, 13th.| Petersburg (Va.) -- History -- Civil War, 1861-1865| Richmond (Va.) -- History -- Civil War, 1861-1865| United States -- History -- Civil War, 1861-1865	Petersburg (Va.)| Richmond (Va.)| United States		Text	haslerfamilyletters-002472288	002472288	39330833	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Eliza Hastings family papers	Hastings, Eliza	1860-1887	1860/1887	eng	33 items	Personal letters of Eliza, James A., and Thomas W. Hastings, including a few Confederate soldier's letters.		Hastings, Eliza| Hastings, James A.| Hastings, James A., creator.| Hastings, Thomas W.| Hastings, Thomas W., creator.		Personal correspondence	Text	hastingselizapapers-002566183	002566183	41158665	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Philo Hatch deeds	Hatch, Philo	1835-1836	1835/1836	eng	2 items	Deeds between Hatch and Joseph Barthalomew.		Barthalomew, Joseph| Hatch, Philo		Deeds	Text	hatchphilo-002566185	002566185	41158658	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Stephen F. Hathaway letters	Hathaway, Stephen F.	1863-1866	1863/1866	eng	28 items	Letters written by Stephen Hathaway to his cousin Gus in Boston. Many of the Civil War letters were written from Fort Duncan, Maryland. Among the topics mentioned are Hooker's army; military activities leading up to the Battle of Gettysburg; Grant's movements; prisoners; Confederate deserters; Confederate fear of Sherman; the death of Abraham Lincoln; and the fate of Jefferson Davis. After the Civil War, Hathaway wrote from Brazos Santiago, Texas, while stationed there with the 36th U.S. Colored Troops, and expressed his enjoyment of the area.	Purchase 1984	Gettysburg Campaign, 1863| Grant, Ulysses S. (Ulysses Simpson), 1822-1885| Hathaway, Stephen F.| Hooker, Joseph, 1814-1879| Lincoln, Abraham, 1809-1865 -- Assassination -- Public opinion.| Confederate States of America. Army -- Desertions| United States. Army -- African American troops| United States. Army. Colored Infantry Regiment, 36th.| United States. Army. Massachusetts Infantry Regiment, 14th. Co. C.| Fort Duncan (Md.)| Texas -- History -- 1846-1950| United States -- History -- Civil War, 1861-1865 -- Prisoners and prisons	Fort Duncan (Md.)| Texas| United States		Text	hathawaystephenfletters-001108581	001108581	28394848	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Thomas D. Hathaway letter	Hathaway, Thomas D.	1842	1842/1842	eng	1 item	Letter of T.A. Jordan, of Gatesville, North Carolina, concerning the reception given Baptist ministers in that town.		Baptists| Hathaway, Thomas D.| Jordan, T. A.| Jordan, T. A., creator.| Gatesville (N.C.) -- History	Gatesville (N.C.)		Text	hathawaythomasd-002566187	002566187	41158660	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
Susan L. Hathorn diary	Hathorn, Susan L.	1855	1855/1855	eng	1 volume	Collection consists of a volume that has 105 pages of diary entries and 16 pages of financial accounts. The diary begins when the ship is in Cuba after starting it's journey in Philadelphia. Hathorn records more information about her domestic life than about her husband, but she presents a clear and detailed description of what daily life was like for the wife of a commercial sailing captain. She also describes how the ship was left in Savannah, Georgia, when she and her husband visited friends in Maine. She remained with her family when the ship was sold and gave birth to a daughter. The remainder of the volume contains a list of expenses.		Women -- Maine -- Diaries| Transatlantic voyages -- History -- 19th century| Women travelers -- History -- 19th century| Hathorn, Susan L. -- Diaries.			Text	hathornsusanl-002474137	002474137	39352962	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
