title	creator	date_expression	date	language	extent	description	provenance	subject	spatial	format	type	collection_slug	aleph_id	oclc_num	local_id	display_format	rights	rights_note
Henry Washington Hilliard correspondence	Hilliard, Henry W. (Henry Washington), 1808-1892	1843-1886	1843/1886	eng	5 items	Miscellaneous correspondence of Hilliard, including a letter, 1860, to Harper and Brothers expressing optimism about Alabama's chances of remaining in the Union; a letter, 1868, to Chief Justice Salmon P. Chase referring to hearings on the proposed trial of Jefferson Davis and mentioning the visit of Kate Chase Sprague and William Sprague, former governor of Rhode Island to Augusta, Ga.; and responses to autograph collectors.		Autographs -- Collectors and collecting -- United States| Governors -- Rhode Island| Secession| Chase, Salmon P. (Salmon Portland), 1808-1873| Davis, Jefferson, 1808-1889| Hilliard, Henry W. (Henry Washington), 1808-1892| Sprague, Kate Chase| Sprague, William, 1830-1915| Harper & Brothers| Alabama -- Politics and government -- To 1865	Alabama		Text	hilliardhenryw-000861249	000861249	19794072	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Oscar P. Hill letters	Hill, Oscar P	1865-1867	1865/1867	eng	7 items	This collection consists of seven letters, all of which are addressed to Hill's partner William Barnes. The four letters of 1865 are from Nashville, Tennesee, and Decatur, Alabama, and concern the sutlery business. In 1867, Hill was in Nashville, his occupation unclear. His letter of Aug. 1 concerns the political and electoral situations there, including disfranchisement.		Sutlers -- United States| Barnes, William| Hill, Oscar P.| United States. Army -- Military life| Nashville (Tenn.) -- Politics and government| United States -- History -- Civil War, 1861-1865	Nashville (Tenn.)| United States		Text	hilloscarpletters-002586461	002586461	41579866	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
Richard Hill letter book	Hill, Richard	1743	1743/1743	eng	1 volume	Letter book (89 p.) kept on a trip to England. Correspondence is with English merchants, ship's captains, bankers, and others connected with the South Carolina trade, concerning the colony of Georgia, the West Indian trade, commodity prices in English markets, and reports of the discovery of a silver mine in the Cherokee country 300 miles from Charleston.		Merchants -- South Carolina -- Charleston| Silver mines and mining -- South Carolina| Hill, Richard| Charleston (S.C.) -- Economic conditions| England -- Commerce -- South Carolina| England -- Economic conditions -- 18th century| Georgia -- History -- Colonial period, ca. 1600-1775| South Carolina -- Commerce -- England| West Indies -- Commerce	Charleston (S.C.)| England| Georgia| South Carolina| West Indies		Text	hillrichard-000894261	000894261	20748552	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
Miss Hilton diary	Hilton, Miss, 1847-	1867 June 14-1868 February 21	1867/1868	eng	1 volume	Manuscript diary of a 20-year-old woman, Christian name unknown, of Uxbridge, England. The author occasionally expressed dissatisfaction with her living situation with her aunt and uncle, but most frequently wrote of her social life and drawing and painting lessons. Many passages have been excised.	Purchase 1991	Orphans -- England| Hilton, Miss, 1847-		Diaries	Text	hilton-001058224	001058224	25912929	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Sarah Catherine Himes letters	Himes, Sarah Catherine	1867-1890	1867/1890	eng	16 items	Collection contains personal letters, chiefly of Sarah Himes, addressed to her Uncle Adam Himes, who lived near Waynesville, N.C. There are references to conditions of crops, prices, Reconstruction, African-Americans in the legislature, and labor conditions. A few of the letters are from Eliza (Himes) Range and Jacob Range concerned with inquiries as to the whereabouts of various Himes family members.		Reconstruction (U.S. history, 1865-1877) -- Alabama| African Americans -- History -- 19th century| African Americans -- Politics and government| Himes, Sarah Catherine| Range, Eliza Himes, creator.| Range, Jacob, creator.| Himes family| Russell County (Ala.) -- History -- 19th century	Russell County (Ala.)		Text	himessarahcatherineletters-002356537	002356537	37869789	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
William Hines correspondence	Hines, William	1781-1836	1781/1836	eng	7 items	Letters to William and Samuel B. Hines of Virginia, pertaining to privateering, relations of the United States with England, the embargo, New England's opposition to the War of 1812, and the election of 1836. Among the correspondents are Richard Blow, Thomas Gholson, Edwin Gray, John Hamilton, and John Young Mason.		Embargo, 1807-1809| Presidents -- United States -- Election -- 1836| Privateering -- United States| Blow, Richard, 1746-1833| Blow, Richard, 1746-1833, creator.| Gholson, Thomas, -1816| Gholson, Thomas, -1816, creator.| Gray, Edwin, 1764-1810| Gray, Edwin, 1764-1810, creator.| Hamilton, John, creator.| Hamilton, John| Hines, Samuel B., addressee.| Hines, Samuel| Hines, William| Mason, John Y. (John Young), 1799-1859| Mason, John Y. (John Young), 1799-1859, creator.| Great Britain -- Foreign relations -- United States| New England -- Politics and government -- 1812-1815| United States -- Foreign relations -- Great Britain| United States -- History -- War of 1812 -- Public opinion	Great Britain| New England| United States		Text	hineswilliam-000894267	000894267	20748584	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
R. F. Hinman letter, Salembridge, Connecticut, to Robert Breckinridge Mcafee	Hinman, R. F.	1832 August 28	1832/1832	eng	2 items	Letter concerns the likelihood of success for the pro-Jackson Democratic forces in Kentucky and Connecticut in the upcoming election.	Purchase 1978	Presidents -- United States -- Election -- 1832| Elections -- Kentucky| Elections -- Connecticut| Hinman, R. F.| McAfee, Robert B. (Robert Breckinridge), 1784-1849| Democratic Party (Conn.)| Democratic Party (Ky.)		Personal correspondence	Text	hinmanrf-000812450	000812450	18182529	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
E. B. Hitt letters	Hitt, E. B.	1863	1863/1863	eng	3 items	Business letters concerning the purchase of property.		Hitt, E. B.| Augusta (Ga.) -- History	Augusta (Ga.)		Text	hittebletters-002567322	002567322	41174890	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Robert Bruce Hoadley letters	Hoadley, Robert Bruce	1861-1866	1861/1866	eng	12 items	Letters of a soldier describing his service at the siege of Vicksburg and with the army of General William T. Sherman in Georgia and South Carolina.		Sherman's March through the Carolinas| Sherman's March to the Sea| Hoadley, Robert Bruce| United States. Army. Iowa Infantry Regiment, 26th (1862-1865)| United States -- History -- Civil War, 1861-1865 -- Campaigns| Vicksburg (Miss.) -- History -- Siege, 1863	United States| Vicksburg (Miss.)		Text	hoadleyrobertbruceletters-000894271	000894271	20748608	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
John T. Hoak papers	Hoak, John T.	1913	1913/1913	eng	2 items	Two eye-witness accounts of the capture and imprisonment of Jefferson Davis.		Davis, Jefferson, 1808-1889 -- Captivity, 1865-1867.| United States -- History -- Civil War, 1861-1865 -- Peace	United States		Text	hoakjohntpapers-000894278	000894278	20748634	[local_id]	image	http://rightsstatements.org/vocab/UND/1.0/	[rights_note]
