title	creator	date_expression	date	language	extent	description	provenance	subject	spatial	format	type	ead_id	aleph_id	aspace_id	finding_aid_url	oclc_num	identifier	local_id	display_format	rights	rights_note
Daniel K. Campbell papers	Campbell, Daniel K.	1858-1865	1858/1865	eng	13 items	Collection contains personal and Civil War letters to Campbell, a soldier stationed at Camp Leventhrop in Halifax Co., N.C; Fredericksburg, Va.; Petersburg, Va.; and Richmond, Va.		Soldiers -- Southern States -- 19th century -- Correspondence| Confederate States of America| United States -- History -- Civil War, 1861-1865	Confederate States of America| United States		Text	campbelldanielkpapers-002274676	002274676	seca-d111ceca-2985-466c-85f2-7231a2a50be6	http://library.duke.edu/rubenstein/findingaids/campbelldanielkpapers-002274676/	36815839	RL.30429	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
David A. Campbell letter	Campbell, David A.	1851 Sept. 4.	1851/1851	eng	1 item	Collection consists of a letter from Campbell to his son, accused of murder in Ala. The father believed that a runaway slave had committed the murder. Campbell then criticized Judge Benjamin Estil for alleged injustice, as well as for alleged personal misconduct and insanity. Estil was judge for the 15th judicial district of Virginia.		Fathers and sons -- 19th century| Trials (Murder) -- Alabama -- 19th century| Fugitive slaves -- Alabama| Estil, Benjamin, 1780-1853			Text	campbelldavida-002274677	002274677	seca-0489be3d-09b8-402a-abbe-02eb2761661a	http://library.duke.edu/rubenstein/findingaids/campbelldavida-002274677/	36815825	RL.30426	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
James M. Campbell letter	Campbell, James M., 1846-1903	1892	1892/1892	eng	1 item	Collection consists of a letter from James MacNabb Campbell to [unknown] Codrington, discussing the Scythian invasions and rule of India in the second to the fifth centuries, A.D.		Scythians -- History| India -- History -- Kings and rulers| India -- History -- 2nd century	India		Text	campbelljamesm-002274680	002274680	seca-a98f04bd-2c85-4a99-83a8-14c31860be22	http://library.duke.edu/rubenstein/findingaids/campbelljamesm-002274680/	36815847	RL.30433	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
John T. Campbell letter, St. Croix, V.I.	Campbell, John (John T.)	1776, May 8	1776/1776	eng	1 item	Contains comments to Campbell's mother in Philadelphia, Pa., about the trading firm of Coxe and Furman owned partly by Tench Coxe, an incursion of maroons (fugitive slaves) on Tobago, damage to the sugar crop on St. Croix, physicians on the island, the danger to commerce from British warships, and friends and relatives in Philadelphia and on Tobago and St. Croix.	Source unknown	Blacks -- Trinidad and Tobago| Maroons -- Trinidad and Tobago| Physicians -- Saint Croix| Sugar growing -- Saint Croix| Coxe, Tench, 1755-1824| Coxe and Furman (Philadelphia, Pa.)| Great Britain -- History, Naval -- 18th century| Philadelphia (Pa.) -- Commerce -- Virgin Islands| Trinidad and Tobago -- History| United States -- History -- Revolution, 1775-1783 -- Naval operations| United States Virgin Islands -- Commerce -- Pennsylvania -- Philadelphia| United States Virgin Islands -- History	Great Britain| Philadelphia (Pa.)| Trinidad and Tobago| United States| United States Virgin Islands		Text	campbelljohn-000897749	000897749	seca-ded5e3d1-6789-498c-9d30-60264c4e9d19	http://library.duke.edu/rubenstein/findingaids/campbelljohn-000897749/	20836279	RL.30418	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	
Mary Louise Campbell diary	Campbell, Mary Louise	1934-1937	1934/1937	eng	1 item	Diary maintained daily as a school assignment from 26 March to 30 May 1936, when Campbell was about 15 years old. Initial entries include grades and occasional teacher comments urging Campbell to include more detail. After completing the assignment, Campbell stopped the diary, picking it up again on her own initiative on 1 Jan. 1937 and continuing entries for a year. Topics include schoolwork, recreational activities (walks, bicycle rides, movies, trips to buy ice cream, reading), and family life. Campbell also included maps of her neighborhood, newspaper clippings, and other ephemera. Two legal-sized pages have been removed from the front of the volume; they hold diary entries Campbell maintained separately for 10-28 July 1934.	Purchase 2002, 2002-0099	Girls| Girls -- Diaries -- 20th century| Girls -- Delaware| Campbell, Mary Louise| Delaware -- Social life and customs -- 20th century| New Castle County (Del.) -- History| Newark (Del.) -- History	Delaware| New Castle County (Del.)| Newark (Del.)	Diary	Text	campbellmarylouise-003133815	003133815	seca-d9b2e507-a727-4abc-94f3-24cf423aef39	http://library.duke.edu/rubenstein/findingaids/campbellmarylouise-003133815/	51301465	RL.30434	[local_id]	image	http://rightsstatements.org/vocab/InC-RUU/1.0/	[rights_note]	
Thomas Campbell papers	Campbell, Thomas	1824-1826	1824/1826	eng	26 items	Collection contains papers principally relating to the indebtedness of the firm of I. and F. Gorin. They concern the collection of debts, the purchase and shipment of supplies (especially tobacco), and a creditor firm (John Gill, Jr., and Co.). There is also a partnership agreement between Campbell, Joseph P. Brown and John M. Shirley, by which Campbell was to furnish the capital and buy the goods for Brown and Shirley, store operators in Russellville, Kentucky.		Debtor and creditor -- Pennsylvania -- Philadelphia -- 19th century| Tobacco -- Pennsylvania -- 19th century| Merchants -- Pennsylvania -- Philadelphia -- 19th century| Gill, John Jr| I. and F. Gorin| John Gill, Jr., and Co.,			Text	campbellthomaspapers-002274681	002274681	seca-45ccd040-fc81-4309-b33b-b5b8a36d911b	http://library.duke.edu/rubenstein/findingaids/campbellthomaspapers-002274681/	36815826	RL.30421	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	
Duncan S. Cannady papers	Cannady, Duncan S.	1845-1865	1845/1865	eng	10 items	Collection contains Cannady's business papers, referring to sales of cotton and purchase of goods for his store. Includes a personal letter from Elias J. Cannady while at school in Madison Co., Tenn. (1850). One volume is an account book, 1845-1865.		Merchants -- North Carolina -- Wake County -- 19th century| Cotton trade -- 19th century			Text	cannadyduncanspapers-002274683	002274683	seca-c791131e-6aae-44f0-b223-20a95534d6e0	http://library.duke.edu/rubenstein/findingaids/cannadyduncanspapers-002274683/	36815836	RL.30423	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
John Cantey papers	Cantey, John	1848-1863	1848/1863	eng	11 items	Personal and business correspondence of John Cantey. An 1848 letter from J. Cantey discusses peace negotiations between the United States and Mexico. There is also an 1854 letter from Cantey to Gov. John Lawrence Manning concerning bank notes and endorsements. Civil War letters describe business conditions in Memphis, Tenn., in 1860, as well as secessionist sentiment in Arkansas, Mississippi, and Tennessee. Cantey's letters to his wife, Camille (written during his army service, 1861-1863), containing references to his experiences in the Confederate army. Topics mentioned inclue Morris Island, conditions in Horry County, supplies, troop movements along with S.C. coast, plantation affairs, runaway slaves, troop movements, procuring and making salt, and the scarcity of food.		Mexican War, 1846-1848| Fugitive slaves -- South Carolina| Plantations -- South Carolina -- Kershaw County| Salt industry and trade -- Confederate States of America| Soldiers -- Confederate States of America -- Correspondence| Manning, John L. (John Lawrence), 1816-1889| Confederate States of America. Army -- Military life| Confederate States of America. Army -- Supplies and stores| Memphis (Tenn.) -- History -- Civil War, 1861-1865	Memphis (Tenn.)		Text	canteyjohnpapers-000890373	000890373	seca-72eeca68-dd3e-4f60-a750-8b7f547dc72b	http://library.duke.edu/rubenstein/findingaids/canteyjohnpapers-000890373/	20649166	RL.30425	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Harriette Caperton autograph album	Caperton, Harriette E.	1856-1865	1856/1865	eng	1 volume.	Autograph album of a student at Virginia Female Institute in Staunton, Va. The album contains notes from classmates and verses of poetry.		Girls -- Education -- 19th century| Autograph albums| Caperton family| Virginia Female Institute (Staunton, Va.) -- Students			Text	capertonharriettee-002274686	002274686	seca-9e79e338-4349-4d96-9f08-f9ef742cae73	http://library.duke.edu/rubenstein/findingaids/capertonharriettee-002274686/	36815804	RL.30428	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Henry Charles Carey papers	Carey, Henry Charles, 1793-1879	1860-1874	1860/1874	eng	4 items	Collection contains an autograph letter from Carey referring to his unpublished tract "The Currency Question" (1865); two letters to Carey from John C. Hamilton of New York City commenting on a circulated pamphlet and speech; one letter from Carey (1860) responding to a query and referring to awaiting "the organization of the House, and consequent receipt of public documents."		Economists -- Correspondence -- 19th century| Hamilton, John C., correspondent.			Text	careyhenrycharlespapers-002274688	002274688	seca-bb9adec4-025e-4723-ada3-ca7ef78d52b6	http://library.duke.edu/rubenstein/findingaids/careyhenrycharlespapers-002274688/	36815840	RL.30431	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
