container_1	creator	title	date_expression	date	language	extent	physical_description	description	provenance	subject	spatial	format	ead_id	aspace_id	finding_aid_url	oclc_num	rl_number	dpc_id
folder 1	Avery, Trueman G.	Trueman Avery papers	1868	1868/1868	eng	6 items		Diary of a trip made by Avery and his wife travelling by steamboat, railroad, and stagecoach from New Orleans to Washington, D.C. He describes the cities of Mobile, Montgomery, Macon, Savannah, Jacksonville (Fla.), Charleston, Wilmington, Richmond, and Washington, among others. Along the way he met Mayor Gustavus Horton of Mobile and Governor Robert M. Patton of Alabama, discussing with them the progress of Reconstruction; and author and diplomat John Bigelow. He also attended services at African American Methodist churches in Mobile and Charleston; and saw freedmen in the Catholic cathedral in Mobile.		Reconstruction (U.S. history, 1865-1877) -- Alabama; African American Methodists -- Alabama -- Mobile; African American Methodists -- South Carolina -- Charleston; African American Catholics -- Alabama -- Mobile; Bigelow, John, 1817-1911; Horton, Gustavus; Patton, Robert M.; Alabama -- Politics and government -- 1865-1950; Charleston (S.C.) -- Description and travel; Jacksonville (Fla.) -- Description and travel; Macon (Ga.) -- Description and travel; Mobile (Ala.) -- Description and travel; Montgomery (Ala.) -- Description and travel; Richmond (Va.) -- Description and travel; Savannah (Ga.) -- Description and travel; Southern States -- Description and travel; Washington (D.C.) -- Description and travel; Wilmington (N.C.) -- Description and travel	Alabama; Charleston (S.C.); Jacksonville (Fla.); Macon (Ga.); Mobile (Ala.); Montgomery (Ala.); Richmond (Va.); Savannah (Ga.); Southern States; Washington (D.C.); Wilmington (N.C.)		averytruemangpapers-000844091	seca-7a254de5-2502-4df1-8f07-285f2880b1d6	http://library.duke.edu/rubenstein/findingaids/averytruemangpapers-000844091/	19210927	RL.30116	dpc_id
folder 1	Axline, John D., approximately 1842-	John D. Axline diary	1862, Nov. 6-1863, June 15	1862/1863	eng	1 item		Civil War diary (ca. 110 pp.) of Axline, a sergeant in Co. A, 9th Ohio Cavalry Regiment at the time of writing, including service in Ohio (Camp Chase, Zanesville, and Camp Dennison) and in Kentucky (Lexington, Richmond, London, Manchester, Barbourville, Williamsburg, Pine Mountain, and Cumberland River). There are descriptions of military action against small Confederate unites and guerillas in southeastern Kentucky, and of camp life.	Purchase 1984	United States. Army. Ohio Cavalry Regt., 9th (1863-1865); Camp Chase (Ohio); Camp Dennison (Ohio); Kentucky -- History -- Civil War, 1861-1865; Ohio -- History -- Civil War, 1861-1865	Camp Chase (Ohio); Camp Dennison (Ohio); Kentucky; Ohio	Diaries	axlinejohnd-000753019	seca-52020834-49c7-4b76-884c-04db17da7adb	http://library.duke.edu/rubenstein/findingaids/axlinejohnd-000753019/	16016557	RL.30113	dpc_id
folder 1	Aylett, Patrick Henry	Patrick Henry Aylett papers	1851-1914	1851/1914	eng	22 items		Legal papers, letters and manuscript articles, primarily built around the lives and careers of Aylett, a resident of Richmond, Virginia, and his son-in-law, William Lawrence Royall, and focusing on the Civil War. Several items concern the capture of Royall by Union troops in March 1865.		Royall, William Lawrence, 1844-1911; Royall, William Lawrence, 1844-1911, correspondent.; United States -- History -- Civil War, 1861-1865 -- Correspondence; United States -- History -- Civil War, 1861-1865 -- Prisoners and prisons; Virginia -- History	United States; Virginia		aylettpatrickhenrypapers-002048085	seca-bcac1c69-4ab7-4321-b5a1-51f9c441183d	http://library.duke.edu/rubenstein/findingaids/aylettpatrickhenrypapers-002048085/	34065629	RL.30108	dpc_id
folder 1	Ayres, Romeyn Beck	Romeyn Beck Ayres papers	1864-1912	1864/1912	eng	4 items		Miscellaneous letters, one from Ayres to General George Gordon Meade acknowledging his appointment as a major general and three to Mrs. Ayres (Juliet Opie Hopkins Butcher) from John M. Schofield and Daniel E. Sickles.		Ayres, Juliet Opie Hopkins Butcher, correspondent.; Meade, George Gordon, 1815-1872, correspondent.; Schofield, John McAllister, 1831-1906, correspondent.; Sickles, Daniel Edgar, 1825-1914; United States. Army -- Appointments and retirements; United States. Army -- Officers; United States -- History -- Civil War, 1861-1865	United States		ayresromeynbeckpapers-002048086	seca-b527ae2e-4981-44c0-b602-25315527e82c	http://library.duke.edu/rubenstein/findingaids/ayresromeynbeckpapers-002048086/	34070082	RL.30115	dpc_id
folder 1	Babb, Thomas W.	Thomas W. Babb papers	1890	1890/1890	eng	14 items		Accusations and evidence against Babb charging him with misconduct and misappropriation of funds. Mentioned in the correspondence are Columbus Durham, D.E. Riddick Jr., and R.T. Vann.		Baptists -- Clergy; Baptists -- North Carolina -- Washington County; Clergy -- Conduct of life; Clergy -- Malpractice -- North Carolina; Durham, Columbus; Riddick, D. E.; Vann, R. T.			babbthomaswpapers-000887831	seca-ef950e89-b7f3-4a7e-90a3-afebcb78108d	http://library.duke.edu/rubenstein/findingaids/babbthomaswpapers-000887831/	20574300	RL.30122	dpc_id
folder 1	Babcock, Orville Elias	Orville Elias Babcock letters	1871	1871/1871	eng	2 items		Letter from Babcock to H.A. Spaulding concerning personal business matters. Letter from Joseph Hayne Rainey to Babcock concerning a list of men attending a convention in South Carolina.		Grant, Ulysses S. (Ulysses Simpson), 1822-1885; Rainey, Joseph Hayne, correspondent.; Spaulding, H. A., correspondent.; United States. Army -- Officers -- Correspondence			babcockorvilleeliasletters-002048088	seca-3e332c89-c546-44a7-a6dc-4079539258ad	http://library.duke.edu/rubenstein/findingaids/babcockorvilleeliasletters-002048088/	34070088	RL.30118	dpc_id
folder 1	Backus, Electus	Electus Backus letter	1860	1860/1860	eng	1 item		Letter recording the activities of Electus Backus, Sr. in the War of 1812.		Backus, Electus, Sr; United States -- History -- War of 1812	United States		backuselectus-002048090	seca-3f968e75-1719-451e-a655-0d3d6382077c	http://library.duke.edu/rubenstein/findingaids/backuselectus-002048090/	34070075	RL.30109	dpc_id
folder 1	Bacon, Augustus Octavius, 1839-1914	Augustus Octavious Bacon papers	1886-1914	1886/1914	eng	5 items		One letter deals with Georgia politics in 1886. There is printed material on the funeral service for Bacon in 1914 in the U.S. Senate Chamber.		Funeral rites and ceremonies -- United States; Georgia -- Politics and government; United States -- Congresses -- Senate	Georgia; United States		baconaugustusoctaviuspapers-002048098	seca-8e80b728-36d7-4b35-887e-cde62d85d834	http://library.duke.edu/rubenstein/findingaids/baconaugustusoctaviuspapers-002048098/	34070091	RL.30121	dpc_id
folder 1	Bacon family	Bacon family papers	1863-1866	1863/1866	eng	10 items		Chiefly letters from Philip Bacon to his family in Hartford Co., Connecticut. The letters concern cotton farming; freedmen as laborers; emancipation of slaves; war news; and local reaction to Union occupation. Correspondence from 1866 is from E.H. Bissell, Northern businessman; one letter contains a copy of letter from ex-Confederate relative who chastizes his Northern kin. Subjects in these letters include the Charlotte, N.C. mint and condition of N.C. economy.	Gift, 1983	Cotton growing -- Louisiana -- History; Freedmen -- Louisiana; Slaves -- Emancipation; Mints -- North Carolina -- Charlotte; Bacon, Philip, correspondent.; Bissell, E. H., correspondent.; Hartford (Conn.) -- History -- 19th century; Louisiana -- History -- 19th century; North Carolina -- Economic conditions; Thibodaux (La.) -- History -- Civil War, 1861-1865; United States -- History -- Civil War, 1861-1865	Hartford (Conn.); Louisiana; North Carolina; Thibodaux (La.); United States		baconfamilypapers-001776980	seca-ff2dd9b7-e622-40a5-9df5-b09d1b2a955e	http://library.duke.edu/rubenstein/findingaids/baconfamilypapers-001776980/	32604594	RL.30114	dpc_id
folder 1	Bacon, Herbert T.	Herbert T. Bacon papers	1820-1859 (bulk 1824-1846).	1820/1859	eng	10 items		Correspondence of Herbert T. Bacon, of his family, and of the Gregory family, concerning amusements and courtships. One letter, May 14, 1846, analyzes the progress of the Mexican War.		Courtship -- Virginia -- 19th century; Mexican War, 1846-1848 -- Public opinion; Bacon family, correspondent.; Gregory family, correspondent.; Virginia -- Social life and customs	Virginia		baconherberttpapers-002048097	seca-7b85a979-d6ab-48e1-aea0-3ebc192932c5	http://library.duke.edu/rubenstein/findingaids/baconherberttpapers-002048097/	34065614	RL.30106	dpc_id
