container_1	creator	title	date_expression	date	language	extent	physical_description	description	provenance	subject	spatial	format	ead_id	aspace_id	finding_aid_url	oclc_num	rl_number	dpc_id
folder 1		Amnesty oaths of Ex-Confederates collection	1862-1867	1862/1867	eng	18 items		Amnesty oaths of ex-Confederates.		Oaths -- Southern States; Southern States -- 19th century	Southern States		amnestyoathsofexconfederatescollection-002494255	seca-d2804d22-b8bf-4ab9-ab23-23896df7f42a	http://library.duke.edu/rubenstein/findingaids/amnestyoathsofexconfederatescollection-002494255/	39670150	RL.30076	dpc_id
folder 1	Amos family	Amos family letters	1850-1893	1850/1893	eng	108 items		Correspondence between Richard Amos and other members of the Amos family. Many letters were written in Shelby County, Indiana, where one of the Amos brothers had settled.		Migration, Internal -- United States; Amos, Richard,correspondent.; Amos family -- Correspondence.; Indiana -- Emigration and immigration; North Carolina -- Emigration and immigration	Indiana; North Carolina		amosfamilyletters-001597247	seca-603546ff-72ae-4452-b19b-158064a0f250	http://library.duke.edu/rubenstein/findingaids/amosfamilyletters-001597247/	31311586	RL.30069	dpc_id
folder 1	Andersen, Joachim, 1847-1909	Joachim Anderson papers	1882-1899	1882/1909	eng	46 items		Letters to Andersen by other European flute-players, conductors, and professors of music. Correspondents include Johann Heinrich Wilhelm Barge, Albert Fransella, Moritz Fürstenau, Oskar Köhler, Wilhelm Popp, and Claude Paul Taffanel.	Purchase 1971	Flute players -- Denmark; Musicians -- Correspondence; Music -- Denmark; Barge, Wilhelm, 1836-1925,correspondent.; Fransella, Albert,correspondent.; Fürstenau, Moritz, 1824-1889,correspondent.; Köhler, Oskar,correspondent.; Popp, Wilhelm,correspondent.; Taffanel, Claude Paul, 1844-1908,correspondent.			andersenjoachimpapers-000842379	seca-ac46be9d-b2de-458e-8ca3-87cfd1c23659	http://library.duke.edu/rubenstein/findingaids/andersenjoachimpapers-000842379/	19105663	RL.30080	dpc_id
folder 1	Anderson, Aden	Aden Anderson deeds	1842-1854	1842/1854	eng	5 items		Deeds transferring land to Anderson.		Deeds -- Maryland			andersonaden-001586487	seca-8827fd59-d919-49fa-bb1a-8f091480b871	http://library.duke.edu/rubenstein/findingaids/andersonaden-001586487/	31215121	RL.30066	dpc_id
folder 1	Anderson, Albert	Albert Anderson letters	1909	1909/1909	eng	6 items		Business letters to James M. Templeton, Jr.		Business records -- North Carolina; Templeton, James M., Jr			andersonalbertletters-001597248	seca-daff7354-82b6-45fa-8e54-dbc9c5925254	http://library.duke.edu/rubenstein/findingaids/andersonalbertletters-001597248/	31311590	RL.30081	dpc_id
folder 1	Anderson, Charles M.	Charles M. Anderson papers	1852-1893 ;	1852/1893	eng	2 items		Volume is an account book kept by a tailor, with entries from 1852 to 1873. Most records date from 1852 to 1858. Collection also contains a receipt dated 1893.		Business records -- Virginia -- Augusta County; Tailors -- Records; Tailors -- Virginia -- Augusta County; Augusta County (Va.) -- Economic conditions; Mount Solon (Va.) -- Commerce; Virginia -- Economic conditions	Augusta County (Va.); Mount Solon (Va.); Virginia		andersoncharlesmpapers-000887804	seca-73618ce8-e13a-417a-80c2-cd7fad19d1b6	http://library.duke.edu/rubenstein/findingaids/andersoncharlesmpapers-000887804/	20574058	RL.30070	dpc_id
folder 1	Anderson, Edward Clifford, 1815-1883	Edward Clifford Anderson papers	1861-1863	1861/1863	eng	7 items		Two letters of Anderson to his wife and son in Savannah. These were written while he was in France and England on a mission for the Confederacy. He complains that all parties want to make money out of the negotiations, states that Republicans had purchased abroad 30,000 almost worthless weapons, and expresses confidence that England and France will come to the aid of the Confederacy. The other letters in the collection were also written during the Civil War. One is by a Northerner in Savannah in 1862, seeking to return to the North. He references the blockade, and quotes the price of flour and salt.		Confederate States of America -- Economic conditions; Confederate States of America -- Foreign relations; Georgia -- History -- Civil War, 1861-1865; Savannah (Ga.) -- Economic conditions; United States -- History -- Civil War, 1861-1865 -- Equipment and supplies	Confederate States of America; Georgia; Savannah (Ga.); United States		andersonedwardcliffordpapers-001597249	seca-1cf42bfa-b05d-4e85-9843-7ebdc4991b66	http://library.duke.edu/rubenstein/findingaids/andersonedwardcliffordpapers-001597249/	31311675	RL.30073	dpc_id
folder 1	Anderson, Florence	Florence Anderson letter	1865 May 20	1865/1865	eng	1 item		Letter by Florence to her friend Margaretta mourning the demise of the Confederacy; recommending Confederates take the oath of allegiance to the U.S.; expressing concern over the fate of Jefferson Davis; relaying the bitter feelings of Southerners about Davis' administration and skepticism over outcome of the investigation into President Lincoln's assassination. The letter gives no indication as to where either lady was located.		Allegiance -- United States; Women -- Southern States -- Correspondence; Davis, Jefferson, 1808-1889; Davis, Jefferson, 1808-1889 -- Public opinion.; Lincoln, Abraham, 1809-1865 -- Assassination -- Public opinion.; United States -- History -- Civil War, 1861-1865 -- Peace; United States -- History -- Civil War, 1861-1865 -- Women	United States		andersonflorence-001616495	seca-234ce62c-e3e7-4053-adf2-47b7054b15b8	http://library.duke.edu/rubenstein/findingaids/andersonflorence-001616495/	31427855	RL.30078	dpc_id
folder 1	Anderson, Lawrence	Lawrence Anderson letter	1844 Apr. 13	1844/1844	eng	1 item		Letter from Anderson (Rose Grove, Va.) to Samuel C. Flowers. Concerns various matters in Virginia such as economic conditions, agricultural and slave prices, the presidential election of 1844, and Henry Clay, as well as news of family and friends.	Purchase 1980	Presidents -- United States -- Election -- 1844; Elections -- Virginia -- 1844; Clay, Henry, 1777-1852; Virginia -- Economic conditions -- 19th century	Virginia		andersonlawrence-000752368	seca-92aee3fb-8a89-49fd-9806-a01551d73d13	http://library.duke.edu/rubenstein/findingaids/andersonlawrence-000752368/	15997598	RL.30067	dpc_id
folder 1	Anderson, Richard Heron	Richard Anderson manuscript	1864	1864/1864	eng	1 item		Manuscript extract from Anderson's account of the operations of the I Corps of the Army of Northern Virginia after Longstreet was disabled until Spotsylvania Court House.		Spotsylvania Court House, Battle of, Va., 1864; Confederate States of America. Army of Northern Virginia. I Corps; United States -- History -- Civil War, 1861-1865	United States		andersonrichardheron-001616483	seca-c29b86c0-f6f6-4e13-831e-1bd830587764	http://library.duke.edu/rubenstein/findingaids/andersonrichardheron-001616483/	31421784	RL.30077	dpc_id
