title	creator	date_expression	date	language	extent	description	provenance	subject	spatial	format	type	collection_slug	aleph_id	oclc_num	local_id	display_format	rights	rights_note
John Forster letters	Forster, John, 1812-1876	1866-1873	1866/1873	eng	6 items	Collection comprises letters from Forster to Frederick Chapman, head of the London publishing firm Chapman & Hall, regarding the company's publication of Thomas Carlyle's works.	Gift 2004	Carlyle, Thomas, 1795-1881| Forster, John, 1812-1876| Chapman and Hall			Text	forsterjohnletters-003833662	003833662	82703302	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
John A. Forsyth papers	Forsyth, John A.	1818-1864	1818/1864	eng	44 items	Collection includes letters and accounts of merchants John A. and Henderson Forsyth. There are accounts of Charleston wholesalers; a letter (1837) from Thomas Reid, who describes Aberdeen, Scotland, and comments on the Reform Bill of 1832; letters of R.S. Gracy on slave trading; and letters of R.H. Carson on medical practice in Demopolis, Alabama. Many letters relate to the buying and selling of slaves.		Business records -- North Carolina -- Iredell County| Business records -- South Carolina -- Charleston County| Merchants -- North Carolina -- Iredell County| Merchants -- South Carolina -- Charleston| Slave trade -- Southern States| Slave trade -- North Carolina| Medicine -- Practice -- Alabama| Physicians -- Alabama -- Selma| Carson, R. H.| Carson, R. H.| Forsyth, Henderson| Forsyth, John A.| Gracy, R. S.| Gracy, R. S.| Reid, Thomas| Reid, Thomas| Great Britain. Parliament -- Reform| Aberdeen (Scotland) -- Description and travel| Charleston (S.C.)| Demopolis (Ala.)| Great Britain -- Politics and government -- 1830-1837| Statesville (N.C.)	Aberdeen (Scotland)| Charleston (S.C.)| Demopolis (Ala.)| Great Britain| Statesville (N.C.)		Text	forsythjohnapapers-003035459	003035459	48633462	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
John Forsyth papers	Forsyth, John, 1780-1841	1790-1840	1790/1840	eng	12 items	Collection includes correspondence relating to Forsyth's service as governor of Georgia, minister to Spain, and Secretary of State. Also includes papers regarding a lawsuit of Caldcleugh, Boyd and Reid vs. John Forsyth, and letter from James Petigru.		Governors -- Georgia| Politicians -- Correspondence| Politicians -- United States| Statesmen -- United States| Caldcleugh, Alexander, -1858| Petigru, James Louis, 1789-1863| Augusta (Ga.)| Georgia -- Politics and government -- 1775-1865| Spain -- Foreign relations -- United States| United States -- Diplomatic and consular corps -- Spain| United States -- Foreign relations -- Spain	Augusta (Ga.)| Georgia| Spain| United States		Text	forsythjohnpapers-000857090	000857090	19647118	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
David Fort papers	Fort, David	1864	1864/1864	eng	3 items	Personal letters to his family written while Fort was stationed near Orange Court House, Va.		Soldiers -- Confederate States of America -- Correspondence| Confederate States of America. Army -- Military life| Orange Court House (Va.) -- History -- Civil War, 1861-1865| Virginia -- History -- Civil War, 1861-1865| Wake County (N.C.)	Orange Court House (Va.)| Virginia| Wake County (N.C.)		Text	fortdavidpapers-000895238	000895238	20770093	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Washington Fosdick papers	Fosdick, Washington	1865	1865/1865	eng	1 item	Collection consists of a letter, Aug. 8, 1865, to Taber & Co. discussing whaling expeditions, cartographic errors, and encounters with the C.S.S. Shenandoah.		Whaling -- History -- 19th century| Cartography -- History -- 19th century| Fosdick, Washington| Shenandoah (Cruiser)			Text	fosdickwashingtonpapers-002448924	002448924	39100426	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Charles George Foster papers	Foster, Charles George, 1858-1941	1879-1972	1879/1972	eng	5 items	Journal (15 p.), photograph, and biographical information about Foster's brother, Richard Witty Foster, a politician and government official in South Australia. The typescript journal (Aug. 1-Nov. 1, 1879) describes a voyage from England to New Zealand by Charles Foster as a young man seeking agricultural employment at his destination. After sightseeing in London, he boarded the steamship AFGHAN, taking a route to Plymouth, St. Vincent, Cape Town, the Kangaroo Islands, Melbourne and Hobart in Australia, and on to New Zealand. Foster took a train to Adelaide, South Australia, in an unsuccessful attempt to visit his brother. One entry mentions the end of the Zulu War, the Zulu king as prisoner, and returning regiments. The photograph is of Charles Foster and his second wife Margaret in the early 1930s.	Gift 1972-1973	Ocean travel| Zulu War, 1879| Foster, Richard Witty, 1856-1932| Afghan (Ship)| Cape Town (South Africa) -- Description and travel| New Zealand -- Description and travel| Saint Vincent -- Description and travel	Cape Town (South Africa)| New Zealand| Saint Vincent	Diaries	Text	fostercharlesgeorgepapers-001018436	001018436	24349295	[local_id]	image		[rights_note]
Ellen and Susan Foster papers	Foster, Ellen	1843	1843/1843	eng	3 items	Collection includes letters referencing a benefit party for the sufferers of Fall River; and, a comic opera, "La Fille du Regiment".		Opera			Text	fosterellenpapers-003869991	003869991	1088385638	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
Kate D. Foster	Foster, Kate D.	1863-1872	1863/1872	eng	1 item	The majority of the entries date to the latter half of 1863 and concern the Civil War and Miss Foster's opinions about the righteousness of the Southern cause and the effect of the war on her home and on the local slaves. Postwar entries concern personal matters. The diary's inside covers are pasted with clippings of pro-Southern patriotic poetry. There is also a typescript of the entire text.		Fugitive slaves| Plantations -- Louisiana -- Madison Parish| Women -- Confederate States of America| Women -- Diaries| Adams County (Miss.)| Louisiana -- History -- Civil War, 1861-1865| United States -- History -- Civil War, 1861-1865 -- African Americans| United States -- History -- Civil War, 1861-1865 -- Literature and the war| United States -- History -- Civil War, 1861-1865 -- Personal narratives, Confederate| United States -- History -- Civil War, 1861-1865 -- Women	Adams County (Miss.)| Louisiana| United States		Text	fosterkated-000857088	000857088	19647107	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Lafayette Sabine Foster papers	Foster, Lafayette S. (Lafayette Sabine), 1806-1880	1860-1869	1860/1869	eng	20 items	Letters from Foster to his niece, Mrs. William L. Gaylord, of Fitzwilliam, N.H., and his sister, Mrs. F.W. Hyde of Norwich, Conn. The letters are personal in nature, describing a visit of the Japanese embassy in 1860, the confusion after the first battle of Bull Run, and the behavior of the Congress while counting the electoral vote of 1869.		Bull Run, 1st Battle of, Va., 1861| Legislators -- Correspondence| Legislators -- United States| Presidents -- United States -- Election -- 1868-| Gaylord, William L., Mrs.| Hyde, F. W., Mrs.| United States. Congress| Japan -- Foreign relations -- United States| United States -- Foreign relations -- Japan| United States -- History -- Civil War, 1861-1865 -- Campaigns| Washington (D.C.) -- History -- Civil War, 1861-1865	Japan| United States| Washington (D.C.)		Text	fosterlafayettespapers-000857091	000857091	19647127	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Martha Lyman Foster papers	Foster, Martha Lyman	1864	1864/1864	eng	2 items	The collection includes letters to Martha Foster regarding Congressmen sending photographs to admirers during a war.		United States. Congress| United States -- Civil war -- 19th century| Washington (D.C.)	United States| Washington (D.C.)		Text	fostermarthalymanpapers-003869985	003869985	1089139669	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Thomas Gardner Foster papers	Foster, Thomas Gardner	1863	1863/1863	eng	1 item	Collection consists of a personal letter to Thomas Gardner Foster from a cousin in Braxton Bragg's Army of Tenn.		Bragg, Braxton, 1817-1876| Foster, Thomas Gardner| Columbus (Ga.)| United States -- History -- Civil War, 1861-1865	Columbus (Ga.)| United States		Text	fosterthomasgardnerpapers-002613668	002613668	42584198	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Gustavus Vasa Fox papers	Fox, Gustavus Vasa	1863	1863/1863	eng	9999 fake_extent_units	Gustavus Vasa Fox was a resident of Washington, D.C.		Warships| Ericsson, John, 1803-1889| Fox, Gustavus Vasa, 1821-1883| United States. Navy.| Washington (D.C.)	Washington (D.C.)		Text	foxgustavusvasapapers-003869971	003869971	1090353517	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
John Fox, Jr. papers	Fox, John, Jr., 1862-1919	1890-1901	1890/1901	eng	40 items	Collection includes letters from Fox to his publishers, Harper & Brothers, and "The Century." Letters of 1890-1896 are to Richard Watson Gilder and Robert Underwood Johnson of "The Century" and concern the publication of Fox's story, "A Cumberland Vendetta." Letters of 1897 are to Harper & Brothers and concern two of Fox's books, Hell-fer-Sartain and The Kentuckians. A letter of 1901, from Fox to an unidentified person named Ellen, refers to borrowing some of her ideas for his forthcoming book, Bluegrass and Rhododendron.		American literature -- Southern States| Authors, American -- Virginia| Authors, American -- Southern States| Authors and publishers| Gilder, Richard Watson, 1844-1909| Johnson, Robert Underwood, 1853-1937| Harper & Brothers| Big Stone Gap (Va.)| Southern States -- Fiction| Southern States -- Social life and customs	Big Stone Gap (Va.)| Southern States		Text	foxjohnpapers-000895233	000895233	20770068	[local_id]	image		[rights_note]
