title	creator	date_expression	date	language	extent	description	provenance	subject	spatial	format	type	ead_id	aleph_id	aspace_id	finding_aid_url	oclc_num	identifier	local_id	display_format	rights	rights_note
Commission on Interracial Cooperation papers	Commission on Interracial Cooperation	1934-1936	1934/1936	eng	3 items	Collection consists of programs for the conference.		African Americans -- North Carolina| African Americans -- North Carolina -- Social conditions| Race relations -- Societies, etc| Race relations -- Congresses| Commission on Interracial Cooperation| North Carolina -- Race relations	North Carolina		Text	commissiononinterracialcooperationpapers-002421007	002421007	seca-c8de6f6c-9969-4877-93f2-496703d80e2e	https://library.duke.edu/rubenstein/findingaids/commissiononinterracialcooperationpapers-002421007/	38744935	RL.30608	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Communist Party of Los Angeles papers	Communist Party of Los Angeles Ben Franklin Club,	1947	1947/1947	eng	1 item	Collection comprises a mimeographed flyer protesting the arrest of seven Mexican-American boys following a fistfight in a secondary school playground. The youths were held without bail for five days, when a judge set their bail at $1,000 each, in order to provide them with protective custody. The writer condemned the judge's prejudice against this ethnic group and others. The information is provided in English on one side of the paper, in Spanish on the other.		Mexican Americans -- Social conditions| School violence -- United States -- 20th century| Justice| Boys -- California| Minorities -- California -- Los Angeles -- Social conditions| Immigrants -- California -- Los Angeles -- Social conditions| Communism -- United States| Communist Party of Los Angeles. Ben Franklin Club.| Los Angeles (Calif.) -- Ethnic relations| Los Angeles (Calif.) -- History| United States -- Race relations	Los Angeles (Calif.)| United States		Text	communistpartyoflosangelesbenfranklinclubpapers-003462480	003462480	seca-b59e4ec9-d78d-4d28-915f-22da5d3cc972	https://library.duke.edu/rubenstein/findingaids/communistpartyoflosangelesbenfranklinclubpapers-003462480/	61681442	RL.30609	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Anthony Comstock papers	Comstock, Anthony, 1844-1915	1882	1882/1882	eng	1 item	Postcard from H.W.T. to Comstock. The writer reports having won $500.00 in the Louisiana Lottery and suggests that Comstock has a good chance of winning the next one and retiring from his "nefarious callings."	Gift 1882	Lotteries -- Louisiana| Society for the Suppression of Vice		Postcards	Text	comstockanthonypapers-001616551	001616551	seca-93f0351c-af72-4d04-b8c8-60c9ac4d7e81	https://library.duke.edu/rubenstein/findingaids/comstockanthonypapers-001616551/	31421823	RL.30604	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
W.S. Comstock and Co. papers	Comstock, W.S., and Co.	1849-1851	1849/1851	eng	7 items	Letters to P.L. Coley, New England Manufacturer of shoes. These letters contain orders for shoes, complaints about the number of shoes being sent by Coley, a suggestion that he might do well to come to Alabama where he could buy richer lands for six to eight dollars per acre than he could in New England for forty dollars, and a quotation of the price of butter, lard, and flour in Montgomery in November 1851.		Commercial correspondence -- 19th century| Real property -- Prices -- New England| Coley, P.L.| Montgomery (Ala.)	Montgomery (Ala.)		Text	comstockwsandcopapers-003866954	003866954	seca-7645181d-50d0-4044-afcf-5e7dde8e0275	https://library.duke.edu/rubenstein/findingaids/comstockwsandcopapers-003866954/	1049175804	RL.30589	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
Alonzo G. Conant papers	Conant, Alonzo G.	1861	1861/1861	eng	1 item	Letter to Julia L. Cutler written during Conant's boat trip on the Chesapeake and Ohio Canal. The author comments on the countryside; religion; Union camp life and habits; Confederate pride; his personal relationship with Miss Cutler; and a meeting between Confederate Colonel Benjamin Humphries and Union General Charles Pomeroy Stone. Conant also mentions "Union rebels" and their slaves on the Maryland shore.	Purchase 1979	Love-letters -- 19th century| Soldiers -- Religious life -- United States| Soldiers -- Religious life -- Confederate States of America| Soldiers -- United States -- Conduct of life| Soldiers -- Confederate States of America -- Conduct of life| Slaveholders -- Maryland| Humphreys, Benjamin Grubb, 1808-1882| Stone, Chas. P. (Charles Pomeroy), 1824-1887| United States. Army. Quartermaster Corps| United States. Army. Massachusetts Infantry Regiment, 12th.| Chesapeake and Ohio Canal (Md. and Washington, D.C.) -- Description and travel	Chesapeake and Ohio Canal (Md. and Washington, D.C.)		Text	conantalonzogpapers-001530412	001530412	seca-422eb5f9-108a-43f2-a449-b2f2f987f9d0	https://library.duke.edu/rubenstein/findingaids/conantalonzogpapers-001530412/	30789259	RL.30595	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Grace Hazard Conkling papers	Conkling, Grace Hazard, 1878-1958	1917	1917/1917	eng	4 items	Collection includes letters from writer and professor Stark Young to Grace Conkling. Topics concern a poetry reading that Conkling had given at Amherst.		American poetry -- 20th century| Conkling, Grace Hazard, 1878-1958| Young, Stark, 1881-1963| Amherst College| Northampton (Mass.)	Northampton (Mass.)		Text	conklinggracehazardpapers-003866952	003866952	seca-a9834637-e3f1-43af-b1ed-171e019c4e3a	https://library.duke.edu/rubenstein/findingaids/conklinggracehazardpapers-003866952/	1049805434	RL.30605	[local_id]	image	http://rightsstatements.org/vocab/UND/1.0/	[rights_note]
Connecticut abortion case testimony letter		1853 June 5.	1853/1853	eng	1 item	Collection comprises a letter from "C.H.H" to a colleague, regarding an ongoing Conn. trial in an abortion case involving "Mrs. Green," "Gen. Walker," and "Mr. Mitchell." Abortion was legal in Conn. until 1821, when it became the first state to explicitly outlaw the practice. The text includes: "Mrs. Green began to testify on Friday night--but was taken sick & had to be sent home. That she was really sick, there can be no doubt. But whether it was the journey &c. or agitation & excitement as to what she was required to testify--is still a mystery. I want you to send me her history & that of her family ... so as to shape our cross examination.... She is expected to testify that the abortion matter was all gotten up by Genl W--without there being any truth in it--She began by saying that Genl W. called on her at Naugatuck [Conn.].... Then [abbr. "said"?] that Gen Walker had been speaking ill of his daughter & also one of hers. That he Walker had [abbr. "said"?] that he had given medicine to produce abortion....They are going to destroy Genl W's testimony--by all kinds of evidence contradicting him--if they possibly can."	Purchase 2010, 2010-0103	Abortion -- Connecticut -- Cases| Abortion -- Connecticut -- History| Abortion -- Connecticut -- History -- 19th century| Abortion -- United States -- History| Sallie Bingham Center for Women's History and Culture| Connecticut -- Trials, litigation, etc	Connecticut		Text	connecticutabortioncasetestimonyletter-004313360	004313360	seca-d340c24e-ad0f-4b0b-9e37-9fc4e0c6a11b	https://library.duke.edu/rubenstein/findingaids/connecticutabortioncasetestimonyletter-004313360/	637041062	RL.30591	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Phineas Sanborn Conner papers	Conner, Phineas Sanborn, 1839-1909	1865	1865/1865	eng	1 item	Collection consists of a letter to Conner, concerning the effects of a soldier who had died in a hospital, and, on the reverse, a draft of Conner's reply.		Cincinnati (Ohio)| United States -- History -- Civil War, 1861-1865 -- Medical care	Cincinnati (Ohio)| United States		Text	connerphineassanbornpapers-002278569	002278569	seca-e87a3b6a-1ee6-4ecb-99ea-a1f692f0d1b5	https://library.duke.edu/rubenstein/findingaids/connerphineassanbornpapers-002278569/	36854531	RL.30600	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
William Thomas Conn papers	Conn, William Thomas	1861-1862	1861/1862	eng	3 items	Typed copies of letters from Conn concerning the battle of Manassas (Bull Run), 1861, camp life, forced marches, religious opinions, care of the wounded in Richmond, and family matters.		Bull Run, 1st Battle of, Va., 1861| Confederate States of America. Army -- Military life| Confederate States of America. Army -- Officers -- Correspondence| Milledgeville (Ga.)| Richmond (Va.) -- History -- Civil War, 1861-1865| United States -- History -- Civil War, 1861-1865 -- Medical care| United States -- History -- Civil War, 1861-1865 -- Religious aspects	Milledgeville (Ga.)| Richmond (Va.)| United States		Text	connwilliamthomaspapers-000890362	000890362	seca-f8c28c66-6ff8-46b4-be4b-ad11a487cc83	https://library.duke.edu/rubenstein/findingaids/connwilliamthomaspapers-000890362/	20649134	RL.30596	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Charles Magill Conrad papers	Conrad, Charles Magill, 1804-1878	1848-1853	1848/1853	eng	4 items	Letters written by Conrad concerning military matters, pension matters, and his address given at a Whig meeting. Another letter is in reply to an autograph-seeker from Massachusetts.	Purchase, 1976	Fillmore, Millard, 1800-1874| United States. Army -- Appointments and retirements| Whig Party (U.S.)| United States -- Politics and government -- 1783-1865| Washington (D.C.) -- Politics and government	United States| Washington (D.C.)		Text	conradcharlesmagillpapers-001826856	001826856	seca-62c788f8-52b4-49fb-9d94-209b8a2cf607	https://library.duke.edu/rubenstein/findingaids/conradcharlesmagillpapers-001826856/	32878741	RL.30587	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
