container_1	creator	title	date_expression	date	language	extent	physical_description	description	provenance	subject	spatial	format	ead_id	aspace_id	finding_aid_url	oclc_num	rl_number	dpc_id
folder 1	Blalock, Tilmon	Tilmon Blalock papers	1825-1861	1825/1861	eng	33 items		Papers of Tilmon Blalock, a farmer and lieutenant colonel in the 92nd Regiment of the North Carolina militia. Blalock became a captain during the Mexican War, and later served as captain in the North Carolina militia in the Civil War. The papers consist of Mexican War military reports, records of army supplies received, applications for pensions for men killed in his regiment, and Blalock's will.	Gift, 1942	Mexican War, 1846-1848; Military pensions -- United States; Wills -- North Carolina; United States. Army -- Officers; United States. Army -- Supplies and stores; North Carolina -- Militia; Yancey County (N.C.) -- History	North Carolina; Yancey County (N.C.)		blalocktilmonpapers-002050952	seca-73f6b85d-6ba4-4f26-8735-b5e2cdadbed6	http://library.duke.edu/rubenstein/findingaids/blalocktilmonpapers-002050952/	34122442	RL.30245	dpc_id
folder 1	Blanc, Louis, 1811-1882	La situation :	1861	1861/1861	eng	1 item		Manuscript of an article attacking the May Law, a restrictive French election law of 1850 that deprived 3 of the 10 million possible voters of their eligibility. The electoral reform comission was appointed on May 1; a week later the draft measure was introduced in the National Assembly and was revised and passed. The new law went into effect on May 31. Blanc's article, "La Situation," attacked the proposed law. This manuscript is dated May 15, 1850, and was apparently intended for publication in "Le Nouveau Monde," but a note on the article's last page indicates that the printer has refused to print it. The May 15 issue of "Le Nouveau Monde" mentions Blanc's missing article; this manuscript appears to be that deleted article.		Socialist parties -- France; Censorship -- France; Election law -- France; Freedom of the press -- France; France -- Politics and government -- 19th century	France		blanclouis-000844139	seca-289cb80d-d3f2-4e17-8271-79797c47b4b6	http://library.duke.edu/rubenstein/findingaids/blanclouis-000844139/	19212139	RL.30249	dpc_id
folder 1	Bland family	Bland family papers	1879-1890	1870/1890	eng	51 items		Letters written to and from members of the Bland family, mostly between siblings. Edward Bland studied at Hampden-Sydney College in the 1870's, and later taught school in Smith's Grove, Warren Co., Ky., where he also sold insurance. His sister Emma was a student at Clarksville Seminary in Tenn. and later taught school in Wellville and McFarland, Va. Includes some letters to William Bland regarding his legal practice.	Purchase 1992	Women teachers -- Virginia -- Correspondence; Teachers -- Kentucky -- Correspondence; Brothers and sisters -- Correspondence; Insurance agents -- History -- 19th century; Lawyers -- Virginia -- History -- 19th century; Bland, Edward, correspondent.; Bland, Emma, correspondent.; Bland, William; Clarksville Seminary; Hampden-Sydney College -- Students; Nottoway County (Va.) -- History -- 19th century; Warren County (Ky.) -- History -- 19th century	Nottoway County (Va.); Warren County (Ky.)		blandfamilypapers-001099599	seca-d2b7de3b-730d-4671-8cfd-be2b1d2352ed	http://library.duke.edu/rubenstein/findingaids/blandfamilypapers-001099599/	28106082	RL.30253	dpc_id
folder 1	Blanding, William	William Blanding journal	1828	1828/1828	eng	3 items		Journal of a trip to Asheville, N.C., taken in August and September 1828. Journal includes sketches of gold mines in North and South Carolina, notes on his journey, and comments on politics in the U.S. and South Carolina, including figures such as John Quincy Adams, Andrew Jackson, John Stark Ravenscroft, Waddy Thompson, and John MacPherson Berrien. Collection also contains two hand drawn maps of iron works at Catawba Springs, N.C., and Chesterfield, S.C.		Gold mines and mining -- North Carolina; Gold mines and mining -- South Carolina; Iron foundries -- North Carolina -- Catawba Springs; Iron foundries -- South Carolina -- Chesterfield; Voyages and travels -- Diaries; Asheville (N.C.) -- Description and travel; North Carolina -- Description and travel; South Carolina -- Description and travel; South Carolina -- Politics and government -- 1775-1865	Asheville (N.C.); North Carolina; South Carolina		blandingwilliam-000887869	seca-54e5a783-dbf1-4ff0-8577-073af904da3e	http://library.duke.edu/rubenstein/findingaids/blandingwilliam-000887869/	20574531	RL.30246	dpc_id
folder 1	Blauvelt, James L. B.	James Blauvelt papers	1862-1867	1862/1867	eng	5 items		Personal correspondence concerning Civil War activities around Pensacola Bay, Fla., Mobile Bay, Ala., and Vicksburg, Miss. His letters, addressed to his mother, comment on a run up to Vicksburg, bringing out wounded men, and enemy forces near the shores of Mobile Bay. A letter from 1867 indicates he was bound for Vera Cruz and Havana on the U.S.S. De Soto.		Mobile Bay, Battle of, Ala., 1864; United States. Navy -- History -- 19th century; United States. Navy -- Officers; Pensacola (Fla.) -- History -- Civil War, 1861-1865; United States -- History -- Civil War, 1861-1865 -- Naval operations; Vicksburg (Miss.) -- History -- Siege, 1863	Pensacola (Fla.); United States; Vicksburg (Miss.)		blauveltjameslbpapers-000846334	seca-b5f9b204-4136-4854-9dcb-bc85677343b1	http://library.duke.edu/rubenstein/findingaids/blauveltjameslbpapers-000846334/	19276277	RL.30250	dpc_id
folder 1	Bleckley, F. A.	F. A. Bleckley papers	1862-1865	1862/1865	eng	44 items		Personal letters from F.A. Bleckley, a private in the Confederate Army, and from his brother, William L. Bleckley, written to their family. One letter, January 23, 1865, concerns a proposed armistice. The letters give a fairly good picture of army life.		Soldiers -- Confederate States of America -- Correspondence; Bleckley, William L., correspondent.; Confederate States of America. Army -- Military life; United States -- History -- Civil War, 1861-1865 -- Peace	United States		bleckleyfapapers-002050927	seca-0ab210ed-7b64-401a-b94e-946aba0c2560	http://library.duke.edu/rubenstein/findingaids/bleckleyfapapers-002050927/	34122401	RL.30251	dpc_id
folder 1	Bleckley, Sylvester	Sylvester Bleckley letters	1875, 1881	1875/1881	eng	2 items		Personal letters from Sylvester Bleckley, a general merchant of Anderson County, South Carolina, to his uncle, Charles Bleckley, in Catawba County, North Carolina. The two men had never met; the letters give brief accounts of the Bleckley family and discuss a proposed visit.		Merchants -- South Carolina; Bleckley, Charles, correspondent.; Anderson County (S.C.) -- History	Anderson County (S.C.)		bleckleysylvesterletters-002050928	seca-868197da-4a66-4c87-be71-75a05f6285be	http://library.duke.edu/rubenstein/findingaids/bleckleysylvesterletters-002050928/	34122406	RL.30254	dpc_id
folder 1	Blount, H. P.	H. P. Blount papers	1881-1919	1881/1919	eng	42 items		Personal letters from H.P. Blount to his future wife, Loula Blount. Letters including a description (1881) of living conditions and child labor in Atlanta; a favorable recommendation from Judge T. Clarke of Mrs. Blount's singing ability (1884); H.P. Blount's election to the Georgia Historical Society; and a letter regarding the admission of Blount's daughter to the Athens State Normal College (1908).		Courtship -- Georgia -- 19th century; Child labor -- Georgia -- 19th century; Blount, Loula, correspondent.; Athens State Normal College (Athens, Ga.) -- Admission; Georgia Historical Society -- Membership; Atlanta (Ga.) -- Social life and customs -- 19th century; Atlanta (Ga.) -- History	Atlanta (Ga.)		blounthppapers-002211580	seca-2d2f81de-ea0b-493f-ab14-4abdb0689754	http://library.duke.edu/rubenstein/findingaids/blounthppapers-002211580/	36109659	RL.30255	dpc_id
folder 1	Blount, Willie, 1768-1835	Willie Blount papers	1809-1810	1809/1810	eng	2 items		Letters from Willie Blount discussing the removal of Indians from Tennessee during his governorship.		Indian Removal, 1813-1903 -- Correspondence; Indians of North America -- Tennessee -- 19th century; Governors -- Tennessee -- Correspondence; Blount, Willie, 1768-1835			blountwilliepapers-002050929	seca-f1446603-332e-4f39-8e56-dc9a1dd96ef8	http://library.duke.edu/rubenstein/findingaids/blountwilliepapers-002050929/	34122352	RL.30243	dpc_id
folder 1	Blum, Edmund	Edmund Blum papers	1841-1876	1841/1876	eng	15 items		Business correspondence of Blum, a coppersmith employed by John D. Brown of Salisbury, N.C. Included is Blum's report as secretary-treasurer of Shady Mount Sunday School, giving a brief history of the school; a letter of 1838 from John C. Blum; and 2 daybooks, 1844-1852, 1857-1864.		Business records -- North Carolina; Coppersmiths -- North Carolina; Sunday schools -- North Carolina; Blum, John C., correspondent.; Brown, John D.; Shady Mount Sunday School (Salisbury, N.C.) -- History; North Carolina -- Religious life and customs	North Carolina		blumedmundpapers-000887876	seca-f4d9f237-962a-41b0-acd1-332192cb1336	http://library.duke.edu/rubenstein/findingaids/blumedmundpapers-000887876/	20574598	RL.30247	dpc_id
