title	creator	date_expression	date	language	extent	description	provenance	subject	spatial	format	type	ead_id	aleph_id	aspace_id	finding_aid_url	oclc_num	identifier	local_id	display_format	rights	rights_note
Henry M. Crydenwise papers	Crydenwise, Henry M.	1861-1867	1861/1867	eng	linear feet	Letters describing Civil War experiences in Florida and South Carolina with the 90th New York Infantry Regiment, subsequent service in the 96th United States Regiment (Colored) and th Corps D'Afrique, and post-war employment as an overseer on a large plantation near Vicksburg, Miss.		Plantation life -- Southern States -- History -- 19th century| Plantations -- Mississippi| Crydenwise, Oliver| United States. Army -- African American troops| United States. Army. New York Infantry Regiment, 90th (1861-1864)| Florida -- History -- Civil War, 1861-1865| Otsego County (N.Y.)| South Carolina -- History -- Civil War, 1861-1865| United States -- History -- Civil War, 1861-1865	Florida| Otsego County (N.Y.)| South Carolina| United States		Text	crydenwisehenrympapers-000849832	000849832	seca-76dd72e3-138e-4815-b413-17745284fa32	https://library.duke.edu/rubenstein/findingaids/crydenwisehenrympapers-000849832/	19405743	RL.30664	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Curtis family papers	Curtis family	1828-1858	1828/1858	eng	linear feet	Letters to and from members of the Curtis family of Brooklyn, N.Y. and their friends. Many of the letters were written by Samuel Curtis, who was employed as a printer in Mobile, Ala., to his wife Sarah M. Curtis in Brooklyn. These letters describe business, social, political, and religious activity in Mobile. Three of them provide accounts of Henry Clay's visit to that city in 1843. Other subjects include yellow fever and slaves. Topics covered in other letters include religious events in Raleigh, N.C.; the Caldwell Institute in Greensboro, N.C.; Irish neighbors in N.Y.; and Fanny Kemble Butler's reading of Shakespeare. Two letters provide descriptions of Chapel Hill, N.C. and Bogotá, Colombia. Some letters from the Curtis children are included.	Purchase 1980	Religious life -- 19th century| Slaves -- Alabama| Yellow fever -- Alabama| Irish -- New York (State) -- New York| Clay, Henry, 1777-1852| Curtis, Samuel| Curtis, Sarah M.| Kemble, Fanny, 1809-1893| Caldwell Institute (N.C.)| Caldwell Institute| Bogotá (Colombia) -- 19th century| Brooklyn (New York, N.Y.)| Chapel Hill (N.C.) -- 19th century| Mobile (Ala.) -- Social life and customs| Mobile (Ala.) -- Economic conditions| Mobile (Ala.) -- Religion| Mobile (Ala.) -- Politics and government| Raleigh (N.C.)	Bogotá (Colombia)| Brooklyn (New York, N.Y.)| Chapel Hill (N.C.)| Mobile (Ala.)| Raleigh (N.C.)		Text	curtisfamilypapers-001099695	001099695	seca-51219f44-b47c-4f60-811b-e3e80b952295	https://library.duke.edu/rubenstein/findingaids/curtisfamilypapers-001099695/	28106206	RL.30657	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
George William Curtis papers	Curtis, George William, 1824-1892	1884-1888	1884/1888	eng	linear feet	Collection contains letters, one of which concerns an article written by Curtis. In another letter (1885 January 15) Curtis writes briefly to abolitionist and women's rights advocate Parker Pillsbury, and mentions "the old abolitionists."		Journalism -- United States| Abolitionists -- United States -- 19th century| Women's rights -- United States -- 19th century| Editors -- Correspondence| Authors, American -- Correspondence| Curtis, George William, 1824-1892| Pillsbury, Parker, 1809-1898| New York (N.Y.)	New York (N.Y.)		Text	curtisgeorgewilliampapers-002408827	002408827	seca-c3a21f62-9354-4f62-a723-44e2028ccf2a	https://library.duke.edu/rubenstein/findingaids/curtisgeorgewilliampapers-002408827/	38520658	RL.30668	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Moses Ashley Curtis papers	Curtis, M. A. (Moses Ashley), 1808-1872	1840-1869	1840/1869	eng	linear feet	The papers constituting this collection are botanical lists and one letter written from Montreal and accompanied a diploma for Moses as a corresponding member of the Natural History Society of Montreal. The collection includes lists of botanical plants sent to Dr. Alvin Wentworth Chapman; Charles James Sprague; Reverend T. L. Russell; Dr. Ezra Michener; the Philadelphia Academy of Natural Sciences; T. M. Peters; and William M. Canby. A list of fungi received from Charles Horton Peck is also included.		Botany -- 19th century| Mycology -- 19th century| Hillsborough (N.C.)| Orange County (N.C.)| Canby, William Marriott, 1831-1904| Curtis, M. A. (Moses Ashley), 1808-1872| Michener, Ezra, 1794-1887| Sprague, Charles J. (Charles James), 1823-1903| Natural History Society of Montreal			Text	curtismapapers-003867679	003867679	seca-6e02e716-9b79-48c9-91b6-34f7f530a291	https://library.duke.edu/rubenstein/findingaids/curtismapapers-003867679/	1050113496	RL.30659	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Charlotte Cushman papers	Cushman, Charlotte, 1816-1876	n.d.	1800/1899	eng	linear feet	Collection contains a social note from British actress and writer, Frances (Fanny) Anne Kemble.		Actresses -- 19th century| Kemble, Fanny, 1809-1893| Boston (Mass.) -- Social life and customs	Boston (Mass.)		Text	cushmancharlottepapers-002408829	002408829	seca-843e2b18-f23d-42da-9fe4-dbc6ce60d823	https://library.duke.edu/rubenstein/findingaids/cushmancharlottepapers-002408829/	38520654	RL.30655	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Sallie C. Custer papers	Custer, Sallie C.	1855-1876	1855/1876	eng	linear feet	Collection contains personal correspondence.		Women -- Correspondence| Decatur (Ill.) -- History	Decatur (Ill.)		Text	custersalliecpapers-002408830	002408830	seca-1344e282-745e-455b-96dc-98d4eb9297c7	https://library.duke.edu/rubenstein/findingaids/custersalliecpapers-002408830/	38518962	RL.30661	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Seth John Cuthbert papers	Cuthbert, Seth John	1780-1788	1780/1788	eng	linear feet	Correspondence of a major in the commissary division of the Georgia militia concerning supplies in Augusta and the removal of the treasury from Savannah to Augusta.		Georgia. Militia| August (Ga.)| Georgia -- History -- Revolution, 1775-1783| Savannah (Ga.)| United States -- History -- Revolution, 1775-1783 -- Equipment and supplies	August (Ga.)| Georgia| Savannah (Ga.)| United States		Text	cuthbertsethjohnpapers-000890444	000890444	seca-00472206-ba5a-4377-bbfa-67ed8ff9973e	https://library.duke.edu/rubenstein/findingaids/cuthbertsethjohnpapers-000890444/	20649364	RL.30654	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	
Frederick Cutler papers	Cutler, Frederick	1863-1864	1863/1864	eng	linear feet	Civil War letters to Frederick and Sarah Monroe Cutler from their brothers who were soldiers in the 47th Massachusetts Regiment, describing garrison duty in New Orleans, 1863, and commenting on the Negro troops of the 4th Louisiana Regiment (Colored). The massacre of African American troops at Fort Pillow, Tennessee.		Fort Pillow, Battle of, Tenn., 1864| Soldiers -- Correspondence| Cutler, Sarah Monroe| United States. Army -- African American troops| United States. Army. Massachusetts Infantry Regiment, 47th (1862-1863)| Louisiana -- History -- Civil War, 1861-1865| New Orleans (La.) -- History| New Orleans (La.), -- Social life and customs, -- 19th century| United States -- History -- Civil War, 1861-1865	Louisiana| New Orleans (La.)| New Orleans (La.),| United States		Text	cutlerfrederickpapers-000849857	000849857	seca-323b029a-a065-4905-9925-bc01082b3911	https://library.duke.edu/rubenstein/findingaids/cutlerfrederickpapers-000849857/	19405968	RL.30665	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Robert Lewis Dabney papers	Dabney, Robert Lewis, 1820-1898	1838-1847	1838/1847	eng	linear feet	The collection includes a letter from Moses Drury Hoge, Presbyterian minister to Dabney concerning Hoge's education, Randolph-Macon College, President John Tyler, and social customs in North Carolina; and a letter from William Henry Ruffner, also a Presbyterian minister, discussing courses and lectures at Princeton Theological Seminary, the biblical scholarship of Jacob J. Janeway, and the temperance leaders John B. Gough and Lucian Minor.		Louisa County (Va.)| Biblical scholarship in North America, -- 19th century| Presbyterian Church -- Clergy -- Correspondence| Temperance and religion| Dabney, Robert Lewis, 1820-1898| Gough, John B. (John Bartholomew), 1817-1886| Hoge, Moses Drury, 1818-1899| Janeway, J. J. (Jacob Jones), 1774-1858| Minor, Lucian, 1802-1858| Ruffner, William Henry, 1824-1908| Tyler, John, 1790-1862| Princeton Theological Seminary| Randolph-Macon College| North Carolina -- Social life and customs	North Carolina		Text	dabneyrobertlewispapers-002565782	002565782	seca-b2a4a0db-4355-41a8-9634-1328fe9b269e	https://library.duke.edu/rubenstein/findingaids/dabneyrobertlewispapers-002565782/	41150049	RL.30658	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	
Dahlgren, John Adolphus Bernard papers	Dahlgren, John Adolphus Bernard, 1809-1870	1848-1870	1848/1870	eng	linear feet	Professional and family correspondence especially during the 1860s, chiefly relating to naval and military matters during and after the Civil War, but also referring to depredations and hardships suffered by those at home, freedmen in Georgetown, S.C., and to daughter Eva Dahlgren's travels in Europe, especially Italy. Also includes a ground rent deed of 1848-1849 containing the name of Joel Barlow Sutherland a former U.S. Representative from Pennsylvania.	Gift and purchase 1960-1980	Freedmen -- Social conditions| Freedmen -- South Carolina| Dahlgrens, Eva, Correspondent.| United States. Navy -- Officers| Europe -- Description and travel| Georgetown (S.C.)| Italy -- Description and travel| Sutherland, Joel Barlow, 1792-1861| United States -- History -- Civil War, 1861-1865 -- Destruction and pillage| United States -- History -- Civil War, 1861-1865 -- Naval operations	Europe| Georgetown (S.C.)| Italy| Sutherland, Joel Barlow, 1792-1861| United States		Text	dahlgrenjohnadolphusbernardpapers-000851721	000851721	seca-70e80aaf-b40d-4178-9345-8eceb6c077d9	https://library.duke.edu/rubenstein/findingaids/dahlgrenjohnadolphusbernardpapers-000851721/	19491138	RL.30660	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
