title	creator	date_expression	date	language	extent	description	provenance	subject	spatial	format	type	ead_id	aleph_id	aspace_id	finding_aid_url	oclc_num	identifier	local_id	display_format	rights	rights_note
Hider D. Dickens papers	Dickens, Hider D.	1856-1877	1856/1877	eng	linear feet	Letters of a Confederate soldier imprisoned at Elmira, N.Y., and a few family letters, including two from Dickens' niece who was a student at Greensboro Female College (Greensboro, N.C.), 1876-1877.		Soldiers -- Confederate States of America -- Correspondence| Universities and colleges -- North Carolina| Women -- Education -- North Carolina| Greensboro Female College (Greensboro, N.C.) -- Students| Elmira (N.Y.) -- History -- Civil War, 1861-1865| United States -- History -- Civil War, 1861-1865 -- Prisoners and prisons	Elmira (N.Y.)| United States		Text	dickenshiderdpapers-000893766	000893766	seca-eb034bb3-1991-41f0-a48b-366414548c9a	https://library.duke.edu/rubenstein/findingaids/dickenshiderdpapers-000893766/	20736894	RL.30728	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Asbury Dickins papers	Dickins, Asbury, 1780-1861	1832-1855	1832/1855	eng	linear feet	Letters of Asbury Dickens (1780-1861) to Matthew Carey regarding census figures and a circular concerned with the distribution of the works of John Adams. Included also is a personal letter from Archibald Dixon.		Carey, Matthew| Dickins, Asbury, 1780-1861| Dixon, A. (Archibald), 1802-1876| United States. Congress. Senate| Halifax County (N.C.)| United States -- Census data| Washington (D.C.)	Halifax County (N.C.)| United States| Washington (D.C.)		Text	dickinsasburypapers-002570729	002570729	seca-603e1504-5eba-4623-bd3e-e8f0ee17dab9	https://library.duke.edu/rubenstein/findingaids/dickinsasburypapers-002570729/	41247462	RL.30726	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Anna E. Dickinson papers	Dickinson, Anna E. (Anna Elizabeth), 1842-1932	1866-1871	1866/1871	eng	linear feet	The collection includes letters to Thomas Jefferson Durant and J.B. Hayes concerning speaking engagements; and a letter to Thomas J. Prase concerning articles for publication.		Women's rights -- United States| Antislavery movements -- United States -- History -- 19th century| Dickinson, Anna E. (Anna Elizabeth), 1842-1932| Durant, Thomas J. (Thomas Jefferson), 1817-1882			Text	dickinsonannaepapers-002570730	002570730	seca-b6f6d0c7-23d8-4545-b512-1eca3605c9ac	https://library.duke.edu/rubenstein/findingaids/dickinsonannaepapers-002570730/	41247452	RL.30734	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Joseph Dickinson papers	Dickinson, Joseph	1848-1858	1848/1858	eng	linear feet	Correspondence of the slave-trading firm concerning the slave market and prices of slaves.		Slave trade -- Virginia -- Richmond| Slaves -- Prices -- Virginia| Dickinson, Joseph| Dickinson, Hill & Co. (Richmond, Va.)| Richmond (Va.) -- Economic conditions| Richmond (Va.) -- Commerce	Richmond (Va.)		Text	dickinsonjosephpapers-000893779	000893779	seca-36c0b518-c1a6-422c-b034-d76e05adf0a6	https://library.duke.edu/rubenstein/findingaids/dickinsonjosephpapers-000893779/	20736926	RL.30727	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Joseph Dickinson papers	Dickinson, Joseph	1822-1868	1822/1868	eng	linear feet	Letters from Nolen and Griffith Dickinson on travels from Virginia to Missouri. Other letters of the Dickinson family are of John P. and Joseph Wright referring to the hard times and quoting the price of cotton and tobacco. In a letter of 1838, Wm. A. Dickinson suggested to Joseph Wright that they try growing Chinese mulberry trees for sale, saying that a great many people in eastern Virginia and to the north were making silk. A letter written by Hester and Lancaster of Marion, Alabama in 1854 stated that they were selling slaves very slowly since the trade in that state was very dull.		Cotton trade -- United States| Tobacco industry -- United States| Silk industry| Slave trade| Slaves -- Alabama| Dickinson, Joseph| Dickinson, Washington| Dickinson, Washington| Dickinson, Hill & Co| Franklin County (Va.)	Franklin County (Va.)		Text	dickinsonjosephpapers-002570731	002570731	seca-adcc05bf-fa8a-4868-a9f0-b7f57fb62e43	https://library.duke.edu/rubenstein/findingaids/dickinsonjosephpapers-002570731/	41247448	RL.30724	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Matthew Dickinson papers	Dickinson, Matthew	1791-1813	1791/1813	eng	linear feet	Letters and papers of Matthew Dickinson concerning personal affairs. They are mostly accounts and records of money borrowed and loaned. There is a price list from a Raleigh book- dealer, 1806.		Accounting| Dickinson, Matthew| Louisburg College| Louisburg (N.C.)	Louisburg (N.C.)		Text	dickinsonmatthewpapers-002570732	002570732	seca-d7081662-6905-4486-b664-a2822e4755e9	https://library.duke.edu/rubenstein/findingaids/dickinsonmatthewpapers-002570732/	41247445	RL.30720	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	
Samuel Dickinson papers	Dickinson, Samuel	1801	1801/1801	eng	linear feet	Letters concerning marketing of shingles; cost of boat construction at Norfolk, Virginia; lumber for the West Indian market; and payments to the legatees of Robert Smith of Edenton, North Carolina.		Commerce| Black, David| Black, David| Dickinson, Samuel| Edenton (N.C.)| Norfolk (Va.)	Edenton (N.C.)| Norfolk (Va.)		Text	dickinsonsamuelpapers-002570733	002570733	seca-8b9009ba-03c5-4a1e-8359-887d45a76d70	https://library.duke.edu/rubenstein/findingaids/dickinsonsamuelpapers-002570733/	41247446	RL.30722	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	
Jeannie A. Dickson papers	Dickson, Jeannie A.	1857-1905	1857/1905	eng	linear feet	Papers consisting primarily of letters and poems of Paul Hamilton Hayne, George Herbert Sass, and John R. Thompson. Hayne's letters include his opinion of Northern magazines, views on politics, literary production of contemporary Southern writers, and the condition of Georgia after the Civil War. Material connected with Sass is largely poetry, most of which was later published. Thompson's letters include comments on current literary productions and criticisms of Jeannie Dickson's work. One letter is from John Russell. Mentioned in the collection are: Henry Dickson Bruns, John Bruns, [George] Washington Cable, James Wood Davidson, Charles E.A. Gayarré, Gervais Robinson, William Gilmore Simms, Frances C. (Fisher) Tiernan's "Valerie Aylmer," and the works of Richard D. Blackmore, Charles Reade, and Sir Walter Scott.		Postwar reconstruction -- Georgia| Women authors| American literature -- 19th century| Authors, American -- Political and social views| Reconstruction -- Georgia| Blackmore, R. D. (Richard Doddridge), 1825-1900| Bruns, Henry Dickson, 1859-1933| Bruns, John| Cable, George Washington, 1844-1925| Davidson, James Wood, 1829-1905| Gayarré, Charles, 1805-1895| Hayne, Paul Hamilton, 1830-1886| Reade, Charles, 1814-1884| Reid, Christian, 1846-1920| Robinson, Gervais| Russell, John| Sass, George Herbert, 1845-1908| Scott, Walter, 1771-1832| Simms, William Gilmore, 1806-1870| Thompson, John Reuben, 1823-1873| Southern States -- Intellectual life	Southern States		Text	dicksonjeannieapapers-000893787	000893787	seca-89d77998-e73f-46dd-b2fd-8a9a2abb5691	https://library.duke.edu/rubenstein/findingaids/dicksonjeannieapapers-000893787/	20736945	RL.30729	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Digby County, Nova Scotia papers	Digby County, Nova Scotia	1799-1895	1799/1895	eng	linear feet	One section of this volume records the sale of goods salvaged from the wrecked ship CULLODEN. The other section contains the records of the Sissiboo Baptist Church and a note on African-American Baptists in Nova Scotia.		Shipwrecks| African Americans -- Nova Scotia -- History| African Americans -- Colonization -- Nova Scotia| Baptists -- Nova Scotia| Culloden (Frigate)| Culloden (Ship)| Sissiboo Baptist Church| Digby (N.S. : County)	Digby (N.S. : County)	Notebooks	Text	digbycountynovascotiapapers-002613663	002613663	seca-d1fc8612-43f9-48d3-b9da-00a6a655f5b4	https://library.duke.edu/rubenstein/findingaids/digbycountynovascotiapapers-002613663/	42584191	RL.30721	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Anthony Digges papers	Digges, Anthony	1783-1799	1783/1799	eng	linear feet	Pages from the account book of Digges, a sea captain plying the coast of North Carolina; an agreement for the sale of a schooner; and letters to Digges concerning maritime affairs.		Seafaring life -- 18th century| Commerce| Digges, Anthony| Washington (N.C.)	Washington (N.C.)		Text	diggesanthonypapers-002570736	002570736	seca-fcee96ac-7abf-4a99-a0b7-4c33751da85a	https://library.duke.edu/rubenstein/findingaids/diggesanthonypapers-002570736/	41247444	RL.30719	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	
