title	creator	date_expression	date	language	extent	description	provenance	subject	spatial	format	type	collection_slug	aleph_id	oclc_num	local_id	display_format	rights	rights_note
Gaffney family papers	Gaffney family	1862-1866	1862/1866	eng	10 items	Collection consists of Civil War-era letters to the Gaffney family of Columbia, S.C., from friends and relatives. A letter (1862) written by P. Lemmons of the 12th South Carolina infantry (Gregg's Brigade) while he was at Camp Arsenal Green in Charleston, S.C., describes the stealing of a steamship, THE PLANTER, by a party of African Americans. Several letters were written by William W. Gaffney to his parents during the Civil War: one (1862 May 20) from Camp Jackson in Spottsylvania, Va., These describe the events of battles in Virginia and Pennsylvania. Two items deal with financial matters at Furman University.	Gift 1978	Steamboats -- History -- 19th century| African Americans -- South Carolina -- Charleston| Confederate States of America. Army. South Carolina Infantry Regiment, 12th.| Confederate States of America. Army. South Carolina Infantry. Gregg's Brigade| Furman University| Charleston (S.C.) -- History -- Civil War, 1861-1865| Columbia (S.C.) -- History -- 19th century| Pennsylvania -- History -- Civil War, 1861-1865| United States -- History -- Civil War, 1861-1865| United States -- History -- Civil War, 1861-1865 -- African Americans| Virginia -- History -- Civil War, 1861-1865 -- Campaigns	Charleston (S.C.)| Columbia (S.C.)| Pennsylvania| United States| Virginia		Text	gaffneyfamilypapers-002254457	002254457	36635437	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Peter Cordes Gaillard letter to H. M. Haig	Gaillard, Peter Cordes, 1815-1859	1858	1858/1858	eng	1 item	Item is a letter to Dr. H. M. Haig in Paris, France, concerning business matters, rental of a house owned by Haig in Charleston, and a monument to be erected in memory of John C. Calhoun.		Calhoun, John C. (John Caldwell), 1782-1850 -- Monuments.| Haig, H. M., correspondent.| Charleston (S.C.) -- History -- 1775-1865	Charleston (S.C.)		Text	gaillardpetercordes-002474155	002474155	39352898	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Edmund Pendleton Gaines papers	Gaines, Edmund Pendleton, 1777-1849	1815-1857	1815/1857	eng	3 items	Collection contains chiefly a photostatic copy of a report of 1838 from Gaines, concerning national defense, emphasizing the importance of railroads, and criticizing reliance on defense works and fortifications. Included is a discussion of the systems he proposed in his CANALS AND TURNPIKE ROADS (1826), and the constitutional justification for his plan. Other items are a letter regarding the jewelry and estate of his wife, Myra Clark Gaines (1857), and a letter from Gaines to George Bomford regarding a requisition for supplies (1815).		Administration of estates -- Jewelry -- 19th century| Military planning -- United States -- History -- 19th century| Railroads -- United States -- History -- 19th century| Military readiness -- 19th century| Gaines, Edmund Pendleton, 1777-1849| Gaines, Edmund Pendleton, 1777-1849| Gaines, Myra Clark			Text	gainesedmundpendletonpapers-002474156	002474156	39352945	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
James S. Gaines correspondence	Gaines, James S.	1823-1876	1823/1876	eng	12 items	Letters to Gaines and his wife, Letitia, of Sullivan County, Tenn., from family and business associates, with comments on the sale of an enslaved person in 1845, on a camp meeting, and on a yellow fever epidemic in Alabama in 1854.		Slavery -- Tennessee -- 19th century| Camp meetings| Slave trade -- United States| Yellow fever -- Alabama| Gaines, Letitia correspondent.| Gaines family			Text	gainesjamess-000895164	000895164	20769540	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Ora B. Gaines letters	Gaines, Ora B.	1862	1862/1862	eng	2 items	Collection contains two letters from Gaines while stationed near New Bern, N.C. during the winter of 1862. He complains that the weather is disagreeable, the food is bad, and that army life is dull.		Gaines, Ora B.| United States. Army. Massachusetts Infantry Regiment, 46th.| United States. Army -- Military life -- History -- 19th century| New Bern (N.C.) -- History -- Civil War, 1861-1865| United States -- History -- Civil War, 1861-1865	New Bern (N.C.)| United States		Text	gainesorabletters-002477961	002477961	39390414	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Ella Gaither papers	Gaither, Ella	1881-1891	1881/1891	eng	24 items	Collection consists of personal and family letters directed to Miss Ella Gaither from a cousin, friend, and suitor.		Courtship -- North Carolina -- 19th century| Young women -- Correspondence -- 19th century| Gaither, Ella| Gaither family| Mocksville (N.C.) -- History -- 19th century	Mocksville (N.C.)		Text	gaitherellapapers-002477962	002477962	39390416	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Charles Gallagher papers	Gallagher, Charles	1885-1888	1885/1888	eng	11 items	Collection contains Gallagher's papers, including a letter of application for appointment as special agent in the Internal Revenue Service, 1885, discussing his Civil War service with Butler and Baker; also contains statements, Congressional bills, and other papers relating to Gallagher's claims for relief for the loss of his schooner NIMROD, destroyed by Confederates on Dec. 5, 1864.		Gallagher, Charles| Nimrod (Schooner)| United States. Internal Revenue Service -- Employees -- 19th century| United States. Army -- History -- Civil War, 1861-1865| United States -- History -- Civil War, 1861-1865| United States -- Politics and government -- 19th century	United States		Text	gallaghercharlespapers-002477963	002477963	39390471	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
William A. Gallup account and commonplace book	Gallup, William A.	1857-1859	1857/1859	eng	1 item	Collection comprises an account and commonplace book maintained by Gallup between 1857 and 1859. Gallup began using the item as an account book for "expenses while in the employ of Henry Bill, Norwich, Conn." during a trip to Chicago from 7 Apr 1857 to 20 Jan 1858 (p. 3-6). Expenses noted included fares for travel, board, washing, omnibuses, etc. He also maintained records of his personal account with Bill (p. 26-27) which he marked as settled on 27 Jan 1857. Despite these accounts, the nature of his employment is unclear. Gallup also used the item as a commonplace book, where he recorded such information as his weight, state and road taxes, the amounts of his shares held in whaling and other ventures (p. 39), lists of sundry expenses (p. 42-43), instructions for calculating weights and measures, as well as his church attendance (Presbyterian, Methodist, and Baptist), notes from a lecture on anatomy and physiology by Dr. Weiting at Metropolitan Hall in Chicago (19 Apr 1857), and lists of letters written. The final entry in the piece is noted on the inside back cover, for cash in funds, [bills?], and change, on 2 Jan 1859.	Purchase 2008, 2008-0318, 1 lin ft	Business travel -- United States -- 19th century| Anatomy -- Study and teaching -- 19th century| Taxation -- United States| Whaling -- Economic aspects -- United States| Whaling -- United States -- History -- 19th century| Weights and measures -- United States -- History| Bill, Henry| Gallup, William A.| John W. Hartman Center for Sales, Advertising & Marketing History| Chicago (Ill.) -- Commerce	Chicago (Ill.)	Account books| Commonplace books	Text	gallupwilliama-004068184	004068184	520988198	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Gandy family papers	Gandy family	1848-1868	1848/1868	eng	18 items	Collection consists of fragmentary family correspondence Darius, Harriet, and Daniel Gandy. Collection includes an account sheet showing the expenses of Harriet Gandy at the Salem Female Academy, Salem, N.C., 1862; a printed circular (1863) enumerating regulations for the handling and distribution of Confederate Army supplies in Georgia; and a letter (1865) concerning details of executing the law to impress slaves for labor on Confederate fortifications.		Slavery -- Confederate States of America| Slaveholders -- South Carolina -- 19th century| Plantations -- South Carolina -- Darlington County| Universities and colleges -- North Carolina| Women -- Education -- North Carolina| Gandy, Daniel, correspondent.| Gandy, Darius, correspondent.| Gandy, Harriet, correspondent.| Confederate States of America. Army -- Equipment and supplies| Salem Academy and College (Winston-Salem, N.C.) -- Students| United States -- History -- Civil War, 1861-1865	United States		Text	gandyfamilypapers-000895173	000895173	20769587	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
James R. Garber papers	Garber, James R., -1915	1861-1864	1861/1864	eng	3 items	Collection consists of two letters and an address by James Garber. The first letter concerns the purchase of land by a member of the Garber family; the second was written by Garber while he was a Confederate soldier, about the treatment of his horses while he was absent from the regiment. The address, "The Doctor and His Office," was delivered by Garber to the Birmingham Baptist Hospital. It is a philosophical treatment of the role and responsibilities of physicians to society.		Soldiers -- Confederate States of America -- Correspondence| Physicians -- Alabama -- 19th century| Horses -- Treatment -- 19th century| Garber, James R.| Birmingham Baptist Hospitals -- 19th century| Birmingham (Ala.) -- History -- 19th century| Confederate States of America -- History	Birmingham (Ala.)| Confederate States of America		Text	garberjamesrpapers-003870056	003870056	1090257618	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
