title	creator	date_expression	date	language	extent	description	provenance	subject	spatial	format	type	collection_slug	aleph_id	oclc_num	local_id	display_format	rights	rights_note
Gee family letters	Gee family	1816-1850	1816/1850	eng	38 items	Collection comprises business and legal correspondence of Sterling, Nevill, Charles, and Joseph Gee, although Nevill Gee has greatest prominence. Joseph Gee was extensively engaged in cotton planting. Nevill also owned one or more plantations in Alabama, which Joseph supervised. In November 1824, Joseph Gee died suddenly, leaving a large estate (including 47 slaves) intestate. Nevill's son, Sterling, immediately went to Alabama to supervise his father's plantations and administer his uncle's estate. The early letters refer to the business devolving from these circumstances. Sterling apparently remained in Alabama for an indefinite period, looking after his family's interests, and engaging in his own land speculation. Sterling's brother Charles also resided in Alabama, where at one time he worked as a school teacher. The latter letters deal almost entirely with business matters and law suits. Other topics include early settlement in Alabama; prices for slaves, land, cotton, crops; and the local economic structure.		Executors and administrators| Plantation life -- Alabama| Speculation| Slavery -- Alabama| Gee family| Alabama -- Social life and customs| Alabama -- Economic conditions| Wilcox County (Ala.) -- History	Alabama| Wilcox County (Ala.)		Text	geefamilyletters-000895193	000895193	20769727	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
James T. Gee papers	Gee, James T.	1837-1864	1837/1864	eng	10 items	Collection includes family and Civil War letters of James T. Gee, along with Gee's father's letters containing comments on the panic of 1837 and the elections of 1840 and 1844.		Physicians -- Alabama -- Selma| Physicians -- Correspondence| Presidents -- United States -- Election -- 1840| Presidents -- United States -- Election -- 1844| Confederate States of America. Army -- Surgeons| Selma (Ala.)| United States -- Economic conditions -- To 1865| United States -- History -- 1815-1861| United States -- History -- Civil War, 1861-1865 -- Medical care	Selma (Ala.)| United States		Text	geejamestpapers-000857063	000857063	19646997	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Allen Gentry papers	Gentry, Allen	1838-1921	1838/1921	eng	41 items	Business, financial, and personal correspondence of a North Carolina family, primarily reflecting the affairs of Allen and Richard C. Gentry. These papers include material concerning land dealings, tobacco planting, local politics and the Know-Nothing party (1857), and the Civil War. Among four soldiers' letters is a letter from Levi C. Gentry, written while he was a prisoner of war at Johnson's Island, Ohio.	Gift 1983	Tobacco -- North Carolina| Gentry, Levi C.| Gentry family| American Party| Johnson Island Prison| North Carolina -- Politics and government| United States -- History -- Civil War, 1861-1865| United States -- History -- Civil War, 1861-1865 -- Prisoners and prisons	North Carolina| United States		Text	gentryallenpapers-002505331	002505331	39920221	[local_id]	image		[rights_note]
John Joseph Gentry papers	Gentry, John Joseph	1816-1908	1816/1908	eng	14 items	Collection contains land deeds and agreements contracted by the Gentry and Camp families of Spartanburg and Laurens Counties, S.C.		Land titles| Camp family| Gentry family| Laurens County (S.C.) -- History| Spartanburg (S.C.) -- History -- 19th century	Laurens County (S.C.)| Spartanburg (S.C.)		Text	gentryjohnjosephpapers-002434428	002434428	38929440	[local_id]	image		[rights_note]
George family papers	George, Furniaful	1861-1877	1861/1877	eng	41 items	Family letters of five brothers, Asa, David, Furniaful, George, and John, Confederate soliders, telling of living conditions in the army and of military activities in Georgia and Mississippi. Included also is a bit of folk poetry.		Folk poetry, American -- Georgia| Soldiers -- Confederate States of America -- Correspondence| George family| Confederate States of America. Army -- Military life| Georgia -- History -- Civil War, 1861-1865| Mississippi -- History -- Civil War, 1861-1865	Georgia| Mississippi		Text	georgefurniafulpapers-000895196	000895196	20769751	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Georgia Air-Line Railroad Company account book	Georgia Air-Line Railroad Company	1858-1864	1858/1864	eng	1 volume	Account book of the Georgia Airline Railroad Company, showing the stockes and stockholders, 1858, and salt prices in the Confederate States of America, 1864.		Railroads -- Confederate States of America| Railroads -- Georgia| Railroads -- Records and correspondence| Salt industry and trade -- Confederate States of America			Text	georgiaairlinerailroadcompany-000895198	000895198	20769772	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Georgia and South Carolina travel diary		1820	1820/1820	eng	3 linear feet			Georgia -- Description and travel -- 19th century| South Carolina -- Description and travel -- 19th century	Georgia| South Carolina	Diaries	Text	georgiaandsouthcarolinatraveldiary-003986109	003986109	1090287188	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
Georgia Historical Society papers	Georgia Historical Society.	1808-1889	1808/1889	eng	15 items	Letters concerning business transactions of the society, including a letter from Charles C. Jones, Jr., accepting an invitation to speak and a resolution of thanks to him; a letter relative to the formation of a Ladies Literary and Art Society; a memorial to the Georgia legislature containing a brief history of the society; a letter by Governor Henry D. McDaniel on the fiftieth anniversary of the society; and clippings giving accounts of the society's activities.		Georgia Historical Society			Text	georgiahistoricalsocietypapers-002566149	002566149	41157873	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
William Gerhardt papers	Gerhardt, William	1832-1909	1832/1909	eng	35 items	Papers of William Gerhardt, teacher and clergyman, include several teaching contracts, programs for Examination Day exercises and a schedule for classes at Western Carolina Male Academy, 1855-1857, a list of contributors to a German church in the United States, some genealogical information, and several letters in German.		Teachers -- North Carolina -- 19th century| Gerhardt, William			Text	gerhardtwilliampapers-002566151	002566151	41157988	[local_id]	image		[rights_note]
German-American Mutual Loan and Building Association scrapbook	German-American Mutual Loan and Building Association	1886-1893	1886/1893	eng	23 items	Cancelled stock certificates in the German-American Loan Building Association.		German-American Mutual Loan and Building Association| Savannah (Ga.) -- History -- 19th century	Savannah (Ga.)		Text	germanamericanmutualloanandbuildingassociation-002566153	002566153	41158038	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
