title	creator	date_expression	date	language	extent	description	provenance	subject	spatial	format	type	collection_slug	aleph_id	oclc_num	local_id	display_format	rights	rights_note
Rebecca J. Fleetwood papers	Fleetwood, Rebecca J.	1864-1871	1864/1871	eng	13 items	Personal letters, two of which were written from Chowan Female College, Murfreesboro, North Carolina.		Women college students -- North Carolina -- 19th century| Fleetwood, Rebecca J.| Hertford (N.C.)	Hertford (N.C.)		Text	fleetwoodrebeccajpapers-002566302	002566302	41161300	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Anna Fleming papers	Fleming, Anna	1859	1859/1859	eng	3 items	Report cards of a student at Charlotte Female Institute, Charlotte, North Carolina.		Women -- Education -- Southern States| Fleming, Anna| Queens University (Charlotte, N.C.) -- History -- 19th century| Charlotte (N.C.)	Charlotte (N.C.)		Text	flemingannapapers-002566303	002566303	41161299	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
George Fleming papers	Fleming, George	1866-1870	1866/1870	eng	5 items	Deeds and indentures relating to the transfer of land and the payment of debts.		Land titles -- Registration and transfer -- United States| Fleming, George| Hanover County (Va.)	Hanover County (Va.)		Text	fleminggeorgepapers-002566304	002566304	41161302	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
James L. Fleming papers	Fleming, James L.	1891	1891/1891	eng	8 items	Letters to James Fleming, corresponding secretary for the Confederate Survivors' Association, accepting or declining invitations to a reunion of this group. Included are letters from John Bratton, Joseph Brent, Winfield S. Featherston, Johnson Hagwood, James Henry Law, A. L. Long, N. Miller, Thomas Taylor Munford, and F. A. Sharp.		Munford, Thomas Taylor,| Bratton, John, 1831-1898| Featherston, Winfield Scott, 1819-1891| Fleming, James L.| Confederate Survivors Association			Text	flemingjameslpapers-002566305	002566305	41161303	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
M.B. Fleming papers	Fleming, M. B.	1848-1862	1848/1862	eng	27 items	Correspondence of the Fleming family of Dutchville (Granville Co.), N.C., including comments on a smallpox epidemic, 1848; Whig politics in North Carolina, 1850; and the military situation after the first battle of Manassas (Bull Run), 1861.		Bull Run, 1st Battle of, Va., 1861| Epidemics -- North Carolina| Smallpox -- North Carolina| Fleming family| Whig Party (N.C.)| Granville County (N.C.) -- History| North Carolina -- Politics and government -- 1775-1865	Granville County (N.C.)| North Carolina		Text	flemingmbpapers-000895223	000895223	20770011	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
W.H. Flinn papers	Flinn, W. H.	1862-1863	1862/1863	eng	7 items	Letters to Flinn concerning the wholesale purchase of goods, including one letter bearing on the scarcity of textile goods for private consumption produced by the "Augusta Factory" after the factory was restricted to the manufacture of "shirting and sheeting" for the Confederate government.		Textile industry -- Confederate States of America| Confederate States of America. Army -- Supplies and stores| Confederate States of America -- Economic conditions| Georgia -- Economic conditions| United States -- History -- Civil War, 1861-1865 -- Economic aspects	Confederate States of America| Georgia| United States		Text	flinnwhpapers-000895224	000895224	20770021	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Edward Flood papers	Flood, Edward	1864-1889	1864/1889	eng	24 items	Correspondence and military papers of Captain Flood relating to the rebuilding of bridges around Lexington and Staunton, Va., 1864-1865, and his application for Superintendent of Improvements for New Orleans, 1888.		Beauregard, G. T. (Gustave Toutant), 1818-1893| Smith, Wm. P. (William Proctor)| Confederate States of America. Army of Northern Virginia| Confederate States of America. Army -- Officers -- Correspondence| Lexington (Va.) -- History -- Civil War, 1861-1865| Staunton (Va.) -- History -- Civil War, 1861-1865| United States -- History -- Civil War, 1861-1865 -- Engineering and construction| Virginia -- History -- Civil War, 1861-1865	Lexington (Va.)| Staunton (Va.)| United States| Virginia		Text	floodedwardpapers-000895228	000895228	20770040	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
John Floyd papers	Floyd, John B. (John Buchanan), 1806-1863	1807-1863	1807/1863	eng	263 items	Papers include correspondence regarding of John Floyd's military campaigns and matters regarding troop movements, requests for supplies and army activities.		Floyd, John B. (John Buchanan), 1806-1863| United States. War Department| Abingdon (Va.)| Confederate States of America -- Military life| Virginia -- History -- Civil War, 1861-1865	Abingdon (Va.)| Confederate States of America| Virginia		Text	floydjohnbpapers-002566308	002566308	41161294	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
Edward Follett papers	Follett, Edward	1864-1865	1864/1865	eng	1 item	Includes records of Edward Follett's service with the 28th Michigan Volunteer Infantry, Nov., 1864-May, 1865, in Kentucky, Tennessee, Ohio, Virginia, and Washington, D.C.; in a hospital in Virginia or Washington, D.C.; at Fortress Monroe; and in North Carolina. A note at the end of the diary explains that Follett became ill and died on May 18, 1865.		Soldiers -- United States -- Diaries| United States. Army. Michigan Infantry Regiment, 28th (1864-1866)| Fort Monroe (Va.) -- History -- Civil War, 1861-1865| Kentucky -- History -- Civil War, 1861-1865| North Carolina -- History -- Civil War, 1861-1865| Ohio -- History -- Civil War, 1861-1865| Tennessee -- History -- Civil War, 1861-1865| United States -- History -- Civil War, 1861-1865 -- Hospitals| United States -- History -- Civil War, 1861-1865 -- Personal narratives| Virginia -- History -- Civil War, 1861-1865| Washington (D.C.) -- History -- Civil War, 1861-1865	Fort Monroe (Va.)| Kentucky| North Carolina| Ohio| Tennessee| United States| Virginia| Washington (D.C.)		Text	follettedwardpapers-000895232	000895232	20770066	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Henry Stuart Foote papers	Foote, Henry Stuart	1876	1876/1876	eng	1 item	Collection is a letter from Henry Stuart Foote to Rev. C.K. Marshall.		Marshall, C. K.			Text	footehenrystuartpapers-003869999	003869999	1088305478	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
