title	creator	date_expression	date	language	extent	description	provenance	subject	spatial	format	type	ead_id	aleph_id	aspace_id	finding_aid_url	oclc_num	identifier	local_id	display_format	rights	rights_note
John B. Durfee correspondence	Durfee, John B.	1861-1865	1861/1865	eng	115 items	Civil War letters of the four Durfee brothers, John B. and Benjamin of the 9th Regiment, Rhode Island Volunteers, a ninety-day organization; A.Y., stationed off Pensacola, Fla., aboard the Mississippi; and William H., Jr., of the 5th Regiment, Rhode Island Volunteers, and a prisoner at the military prison at Charleston, S.C.		Soldiers -- United States -- Correspondence| Durfee, A. Y.| Durfee, Benjamin| Durfee, William H., Jr| United States. Army. Rhode Island Heavy Artillery Regiment, 5th (1861-1865)| United States. Army -- Military life| United States. Navy -- Sea life| United States -- History -- Civil War, 1861-1865 -- Prisoners and prisons	United States		Text	durfeejohnb-000893824	000893824	seca-6fde2a9b-ab75-4086-a937-8a723137f59b	https://library.duke.edu/rubenstein/findingaids/durfeejohnb-000893824/	20737061	RL.30796	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
W. J. Hugh Durham letter	Durham, W. J. Hugh	1859	1859/1859	eng	1 item	Personal letter from W. J. H. Durham, a student at Jefferson Medical College in Philadelphia, to his brother concerning family matters.		Jefferson Medical College -- Students -- 19th century			Text	durhamwjhugh-002561245	002561245	seca-e3b63db5-1e21-4378-b9b0-e8a6798e566e	https://library.duke.edu/rubenstein/findingaids/durhamwjhugh-002561245/	41038359	RL.30795	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Zachary Taylor Durham papers	Durham, Zachary Taylor	1869-1876	1869/1876	eng	11 items	Personal correspondence of Z.T. Durham, with Brantley A. Denmark and Arthur Howell of Savannah, Ga., reflecting the difficulties of Reconstruction, and including a letter describing Southern feelings about the Fourth of July. A letter, 1872, by Durham, describes Texas, and a letter, 1874, from John Snyder in San Francisco, describes that city and other parts of the West.		Fourth of July| Reconstruction -- Georgia| Denmark, Brantley A.| Howell, Arthur| Snyder, John| San Francisco (Calif.) -- Description and travel| Southern States -- Social conditions| Texas -- Description and travel| West (U.S.) -- Description and travel	San Francisco (Calif.)| Southern States| Texas| West (U.S.)		Text	durhamzacharytaylorpapers-000893827	000893827	seca-c421ae31-3fd6-48bb-b623-1a804ef232b0	https://library.duke.edu/rubenstein/findingaids/durhamzacharytaylorpapers-000893827/	20737080	RL.30799	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Richard M. Dwyer correspondence	Dwyer, Richard M.	1881-1906	1881/1906	eng	66 items	Personal letters concerning crops, sickness, and family matters in Ohio and Virginia.	Purchase 1954	Agriculture -- Ohio| Agriculture -- Virginia| Farm life -- Ohio| Farm life -- Virginia| Migration, Internal -- United States			Text	dwyerrichardm-000853470	000853470	seca-9f44cd18-6460-47a8-8485-40e72f5b7621	https://library.duke.edu/rubenstein/findingaids/dwyerrichardm-000853470/	19536394	RL.30801	[local_id]	image		[rights_note]	
William T. Dyer letter	Dyer, William T.	1840	1840/1840	eng	1 item	Letter of recommendation for Colonel Birch of Missouri for a governmental post in Washington by William T. Dyer, chairman of the Tippecanoe Club of Howard County.		Dyer, William T.			Text	dyerwilliamt-002563215	002563215	seca-f749d00d-1ff8-4b33-b70e-814da2a6fd76	https://library.duke.edu/rubenstein/findingaids/dyerwilliamt-002563215/	41091043	RL.30791	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	
Edward Earle letter	Earle, Edward	1840	1840/1840	eng	1 item	Letter of Earle trying to identify Michel Ney, Marshal of France, as one Michael Rudolph, Revolutionary War veteran of Elkton, Maryland.		Earle, Edward			Text	earleedward-002563216	002563216	seca-fc207222-1be8-470f-96ed-a67a6d259bf1	https://library.duke.edu/rubenstein/findingaids/earleedward-002563216/	41091042	RL.30792	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	
Ralph E. W. Earl papers	Earl, Ralph Eleaser Whiteside, approximately 1785-1838	1833	1833/1833	eng	7 items	Collection includes miscellaneous notes to Earl, a portraitist, concerning Washington society during the Jackson administration and a printed pen-and-ink sketch (self-portrait?) of Earl.		Portrait painters -- 19th century| Earl, Ralph Eleaser Whiteside, approximately 1785-1838| Jackson, Andrew, 1767-1845			Text	earlralpheleaserwhitesidepapers-002563217	002563217	seca-75e73f42-297f-4648-81fa-e622db1108b0	https://library.duke.edu/rubenstein/findingaids/earlralpheleaserwhitesidepapers-002563217/	41091041	RL.30789	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	
Jubal Anderson Early papers	Early, Jubal Anderson, 1816-1894	1846-1889	1846/1889	eng	20 items	Miscellaneous letters and papers including a few items of routine military correspondence from the Civil War; comments on Reconstruction; mention of the problems confronting the Southern Historical Society; items dealing with railroad building; and Early's criticism of biographical sketches of himself.		Railroads -- Southern States| Reconstruction (U.S. history, 1865-1877)| Confederate States of America. Army -- Officers| Southern Historical Society -- History| United States. Army -- Officers| United States -- History -- Civil War, 1861-1865	United States		Text	earlyjubalandersonpapers-000849879	000849879	seca-5e326496-5f3f-4875-bf90-081402463094	https://library.duke.edu/rubenstein/findingaids/earlyjubalandersonpapers-000849879/	19406285	RL.30793	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Peter C. Earnhardt diary	Earnhardt, Peter C.	1862-1863	1862/1863	eng	1 volume	Diary recording daily activities and camp life during the Civil War.		Soldiers -- Diaries| United States. Army. Wisconsin Infantry Regiment, 3rd (1861-1865)| United States -- History -- Civil War, 1861-1865 -- Personal narratives	United States		Text	earnhardtpeterc-000849865	000849865	seca-2c62763e-638f-4ecb-afff-d7f24b4e17c1	https://library.duke.edu/rubenstein/findingaids/earnhardtpeterc-000849865/	19406091	RL.30798	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Pryant Easley papers	Easley, Pyrant	1816-1824	1816/1824	eng	7 items	Items dealing with the disposition of enslaved persons belonging to the estate of Pryant Easley.		Slavery -- Virginia -- 19th century| Slave records| Easley, Pyrant			Text	easleypyrantpapers-002545965	002545965	seca-bd74b75f-dd69-4f13-b3af-fcf0434e3cb4	https://library.duke.edu/rubenstein/findingaids/easleypyrantpapers-002545965/	40761591	RL.30786	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	
