title	creator	date_expression	date	language	extent	description	provenance	subject	spatial	format	type	ead_id	aleph_id	aspace_id	finding_aid_url	oclc_num	identifier	local_id	display_format	rights	rights_note
Lady Elizabeth Brown Coffin-Greenly papers	Coffin-Greenly, Elizabeth Brown, Lady, -1839	1792-1823	1792/1823	eng	1 item	Entries convey the author's responses to current events and her daily life. She frequently related anecdotes about dignitaries and celebrities, including the Empress Josephine, King George III, Marie Antoinette, Mary Wollstonecraft, Hannah More, Charlotte Turner Smith, Sarah Siddons, Reverend Rowland Hill, Dr. Thomas Beddoes, and Abbe Augustin Barruel. Lady Coffin-Greenly commented on customs and conditions in countries to which her friends traveled, including Turkey, Ireland, and France. She also wrote of new discoveries in medicine, including vaccination and nitrous oxide; of the merchant ships known as Indiamen; of the excavation of the Roman villa in Woodchester, Gloucestershire; and of the living condition of the emigres in England. Some of the later entries were written in retrospect. In addition to diary entries, she appears to have copied letters she received from family and friends. In 1811, the author married Sir Isaac Coffin, who added her family name to his, but later relinquished it. In 1811, the author married Sir Isaac Coffin, who added her family name to his, but later relinquished it.		Women -- Diaries| Women travelers -- History| Indiamen| Vaccination -- History -- 19th century| Women -- England -- History -- 19th century| Anesthesia -- History -- 19th century| Marriage -- England -- History -- 19th century| Women -- England -- Diaries| Excavations (Archaeology) -- England -- Woodchester (Gloucestershire)| Barruel, (Augustin), abbé 1741-1820| Beddoes, Thomas, 1760-1808| Hill, Rowland, 1744-1833| More, Hannah, 1745-1833| Siddons, Sarah, 1755-1831| Smith, Charlotte, 1749-1806| Wollstonecraft, Mary, 1759-1797| France -- Social life and customs| France -- History -- Revolution, 1789-1799 -- Refugees| France -- Social conditions -- 19th century| Ireland -- Social life and customs| Ireland -- Social conditions -- 19th century| Turkey -- Social life and customs	France| Ireland| Turkey		Text	coffingreenlyelizabethbrownpapers-001024991	001024991	seca-e3764c33-ea30-4f2d-af92-11765c53c028	https://library.duke.edu/rubenstein/findingaids/coffingreenlyelizabethbrownpapers-001024991/	24560973	RL.30562	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	
Daniel Coffman letters	Coffman, Daniel	1846-1853	1846/1853	eng	5 items	Letters to Daniel Coffman of Greenbrier Co., Va. from family members living in Augusta, Rockingham, and Fayette counties. Letters chiefly contain news of friends and family members (births, marriages, deaths, and illnesses) and reflect strong religious beliefs.	Purchase, Purchase, 1978	Kauffman family, correspondents.| Augusta County (Va.) -- History| Fayette County (W. Va.) -- History| Rockingham County (Va.) -- History| Virginia -- Religious life and customs	Augusta County (Va.)| Fayette County (W. Va.)| Rockingham County (Va.)| Virginia		Text	coffmandanielletters-001616550	001616550	seca-e926042b-34b7-41de-9bc7-8113cc4e13ef	https://library.duke.edu/rubenstein/findingaids/coffmandanielletters-001616550/	31421742	RL.30568	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
James O. Coghill papers	Coghill, James O.	1843-1894	1843/1894	eng	88 items	Principally the Civil War letters of the four sons of Captain James O. Coghill, all members of the 23rd North Carolina Infantry Regiment, C.S.A., describing military activities in Virginia, Maryland and Pennsylvania; sickness in the army; and aid to the soldiers of the 23rd Regiment from their families in North Carolina. Included are frequent references to other members of the 23rd Regiment.		Soldiers -- Correspondence| Confederate States of America. Army -- Military life| Confederate States of America. Army. North Carolina Infantry Regiment, 23rd.| Henderson (N.C.)| Maryland -- History -- Civil War, 1861-1865| Pennsylvania -- History -- Civil War, 1861-1865| United States -- History -- Civil War, 1861-1865| Virginia -- History -- Civil War, 1861-1865	Henderson (N.C.)| Maryland| Pennsylvania| United States| Virginia		Text	coghilljamesopapers-000848202	000848202	seca-0eac0911-96c6-445a-9e95-4f3f58e6413c	https://library.duke.edu/rubenstein/findingaids/coghilljamesopapers-000848202/	19347804	RL.30566	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Alonzo B. Cohen letters	Cohen, Alonzo B.	1860-1865	1860/1865	eng	32 items	Civil War letters addressed to Cohen's wife and sister, describing camp life and the battles of first and second Manassas (Bull Run).		Bull Run, 1st Battle of, Va., 1861| Bull Run, 2nd Battle of, Va., 1862| Soldiers -- Confederate States of America -- Correspondence| Confederate States of America. Army -- Military life| United States -- History -- Civil War, 1861-1865 -- Campaigns| Virginia -- History -- Civil War, 1861-1865	United States| Virginia		Text	cohenalonzobletters-000890415	000890415	seca-d5a99b45-b676-4f39-9920-4b776e1ed3f2	https://library.duke.edu/rubenstein/findingaids/cohenalonzobletters-000890415/	20649278	RL.30572	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Solomon Cohen papers	Cohen, Solomon, 1802-1875	1863-1865	1863/1865	eng	13 items	Official letters to Cohen from the Confederate Post-Office Department in Richmond, discussing routine matters such as appointments, routes, and delays in delivery.		Postal service -- Virginia -- Richmond -- Civil War, 1861-1865| Postal service -- Confederate States of America| Postal service -- Georgia -- Savannah| Confederate States of America. Post-Office Department| Savannah (Ga.) -- History -- Civil War, 1861-1865	Savannah (Ga.)		Text	cohensolomonpapers-000890420	000890420	seca-8dcfe131-382e-4b58-8972-dc8d04c07b23	https://library.duke.edu/rubenstein/findingaids/cohensolomonpapers-000890420/	20649295	RL.30573	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Webster J. Colburn letter	Colburn, Webster J.	1889	1889/1889	eng	1 item	Collection consists of a letter to Colburn, from Montgomery Cunningham Meigs declining to attend the twentieth annual reunion of the Army of the Cumberland.		Reunions| Meigs, Montgomery C. (Montgomery Cunningham), 1816-1892, correspondent.| United States. Army -- History| United States. Army of the Cumberland			Text	colburnwebsterj-002434415	002434415	seca-d532740c-7878-4cd4-8b94-786151bc0228	https://library.duke.edu/rubenstein/findingaids/colburnwebsterj-002434415/	38929419	RL.30576	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Robert Colby papers	Colby, Robert	1856-1899	1856/1899	eng	11 items	Collection contains bills and receipts of Colby, and also a copy of "The Christian Arbitrator and Peace Record" of February, 1889.		Colby, Robert| New York (State) -- History	New York (State)		Text	colbyrobertpapers-002472279	002472279	seca-92368ad7-f35c-4458-9af8-b215d66bca19	https://library.duke.edu/rubenstein/findingaids/colbyrobertpapers-002472279/	39330826	RL.30571	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Laurence Vail Coleman letter	Coleman, Laurence Vail, 1893-1982	1927	1927/1927	eng	1 item	Collection consists of a letter to Coleman from zoologist, Roy Chapman Andrews, leader of the Central Asiatic Expeditions of the American Museum of Natural History. Andrews, in China, wrote about the destruction of Chinese antiquities, the "robber generals," and the embargo on the exportation of museum specimens.		Excavations (Archaeology) -- China -- 20th century| Andrews, Roy Chapman, 1884-1960, correspondent.| China -- Antiquities| China -- History -- 20th century	China		Text	colemanlaurencevail-002278559	002278559	seca-682d2892-1d2d-442e-a8af-58e3a06f5728	https://library.duke.edu/rubenstein/findingaids/colemanlaurencevail-002278559/	36854532	RL.30577	[local_id]	image	http://rightsstatements.org/page/InC/1.0/?language=en	[rights_note]	
Lindsey Coleman papers	Coleman, Lindsey	1845-1871 ;	1845/1871	eng	29 items	Letters Capt. Lindsey Coleman and his family, principally concerning the sale of agricultural products to the Confederate government during the Civil War.		Agriculture -- Virginia -- Amherst County| Coleman family, correspondent.| Coleman family| Confederate States of America. Army -- Supplies and stores| Amherst County (Va.) -- History -- Civil War, 1861-1865| United States -- History -- Civil War, 1861-1865 -- Economic aspects	Amherst County (Va.)| United States		Text	colemanlindseypapers-000890432	000890432	seca-f9d07242-b93f-4af8-8c23-b4fa22474199	https://library.duke.edu/rubenstein/findingaids/colemanlindseypapers-000890432/	20649330	RL.30567	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Emilie S. Coles papers	Coles, Emilie S.	1880-1923	1880/1923	eng	54 items	Collection consists of correspondence directed to Emilie Coles largely from editors concerning her writings, which were published in newspapers and magazines. Also included are personal letters from Mary J. Porter (a "pen" friend) and others, including Helen E. Brown, Glenn Frank, Sam H. Hall, Edward D.G. and Samuel I. Prime, Charles A. Stoddard, and John H. Vincent.		Editors -- Correspondence| Newspapers -- Sections, columns, etc| Authors, American -- New Jersey| Authors and publishers -- United States| Women authors, American -- New Jersey| Porter, Mary J., correspondent.			Text	colesemiliespapers-000890436	000890436	seca-5f1696bb-3b33-467d-9e6a-4b7a870f1f78	https://library.duke.edu/rubenstein/findingaids/colesemiliespapers-000890436/	20649339	RL.30575	[local_id]	image	http://rightsstatements.org/vocab/UND/1.0/	[rights_note]	
