title	creator	date_expression	date	language	extent	description	provenance	subject	spatial	format	type	ead_id	aleph_id	aspace_id	finding_aid_url	oclc_num	identifier	local_id	display_format	rights	rights_note
Dorothea Dix papers	Dix, Dorothea Lynde, 1802-1887	1865-1887	1865/1887	eng	5 items	Miscellaneous letters. Letters discuss Dix's advocacy work on behalf of the mentally ill and other routine matters.		Dix, Dorothea Lynde, 1802-1887			Text	dixdorothealyndepapers-002561107	002561107	seca-9746239e-a416-4371-8079-a30bc3a5152e	https://library.duke.edu/rubenstein/findingaids/dixdorothealyndepapers-002561107/	41027264	RL.30747	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
John A. Dix papers	Dix, John A. (John Adams), 1798-1879	1820-1865	1820/1865	eng	8 items	Letters to Dix from his brother, Roger Sherman Dix, describing the battle of Buena Vista. Letters written by John Adams Dix include an account of the activities of General Jacob Brown, commander of the Northern Division of the United States Army, 1820, and a letter from the period when Dix was secretary of state in New York.		Buena Vista, Battle of, Mexico, 1847| Brown, Jacob, 1775-1828| Dix, Roger Sherman| United States. Army -- Officers -- Biography| United States -- History -- War with Mexico, 1845-1848 -- Campaigns	United States		Text	dixjohnapapers-000893845	000893845	seca-e490affb-9e84-4b8e-a543-4b2e03ff1bb3	https://library.duke.edu/rubenstein/findingaids/dixjohnapapers-000893845/	20737244	RL.30738	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Morgan Dix letter of introduction from Samuel F. B. Morse	Dix, Morgan, 1827-1908	1868 October 27	1868/1868	eng	1 item	Letter of introduction from Samuel F. B. Morse to Morgan Dix on behalf of Mrs. E. A. Cramer, whom Morse asks Dix to aid in her present troubles.		Dix, Morgan, 1827-1908| Morse, Samuel Finley Breese, 1791-1872			Text	dixmorgan-002561108	002561108	seca-d6fc4bb4-8de7-4e57-bb00-37c49e5e7326	https://library.duke.edu/rubenstein/findingaids/dixmorgan-002561108/	41027266	RL.30748	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Dixon-Faircloth family papers	Dixon family	1852-1917 and undated	1852/1917	eng	23 items	Letters between members of the Dixon and Faircloth families of Greenville, Holliday Hill, and Kinston N.C. as well as other locations. Subjects include enslaved persons; the Civil War and disillusionment in the North after Bull Run; plans to build a house with slave labor; conversion to Christianity; revivals; and Dixon and Holliday family genealogy.	Purchase, 1993	Slaves -- North Carolina| Revivals -- North Carolina| Bull Run, 1st Battle of, Va., 1861| Conversion| Dixon family| Faircloth family| Holliday family| Lenoir County (N.C.) -- History| North Carolina -- Religious life and customs| Pitt County (N.C.) -- History| United States -- History -- Civil War, 1861-1865 -- Public opinion	Lenoir County (N.C.)| North Carolina| Pitt County (N.C.)| United States		Text	dixonfamilypapers-001288922	001288922	seca-6bf4c5e4-9adf-4a43-9623-fe1b1bf773dd	https://library.duke.edu/rubenstein/findingaids/dixonfamilypapers-001288922/	30098525	RL.30742	[local_id]	image	http://rightsstatements.org/vocab/UND/1.0/	[rights_note]	
Henry Turner Dixon letter	Dixon, Henry Turner	1862	1862/1862	eng	1 item	Letter to the Paymaster General of the United States Army from Dixon demanding a court of inquiry to investigate an accusation that had been brought against him.		Dixon, Henry Turner			Text	dixonhenryturner-002561111	002561111	seca-0f9e366c-a078-444a-84fa-3b5651f1ce8d	https://library.duke.edu/rubenstein/findingaids/dixonhenryturner-002561111/	41027261	RL.30745	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Stephen Duvall Doar correspondence	Doar, Stephen Duvall, 1805-1872	1848-1865	1848/1865	eng	8 items	Correspondence concerning the hiring of slaves, erecting irrigation machinery, shipping rice during the Civil War, and the evacuation of Charleston in 1865.		Plantations -- South Carolina| Rice -- Irrigation| Rice trade -- Confederate States of America| Slavery -- South Carolina| Charleston (S.C.) -- History -- Civil War, 1861-1865| Confederate States of America -- Commerce	Charleston (S.C.)| Confederate States of America		Text	doarstephenduvall-000893815	000893815	seca-8f92e9c8-3157-4f78-b2f2-056dd73ef9ce	https://library.duke.edu/rubenstein/findingaids/doarstephenduvall-000893815/	20737031	RL.30741	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
James C. Dobbin papers	Dobbin, James C. (James Cochran), 1814-1857	1821-1857	1821/1857	eng	18 items	Papers and letters including a power of attorney from John Moore Dobbin to John R. Buie to act in a slave sale; a legal comment on inheritance laws; letters from David Lowry Swain and Peter Force concerning the collection of documents on the history of North Carolina; and routine correspondence from Dobbin's term as Secretary of the Navy. Also included is one of the circulars that U. P. Levy, late captain of the U. S. Navy, sent to Dr. Joshua Cohen of Baltimore.		Inheritance and succession -- North Carolina| Buie, John R.| Dobbin, James C. (James Cochran), 1814-1857| Dobbin, John Moore| Force, Peter, 1790-1868| Levy, Uriah Phillips, 1792-1862| Swain, David L. (David Lowry), 1801-1868| United States. Navy -- Management| North Carolina -- History -- Sources	North Carolina		Text	dobbinjamescpapers-000893818	000893818	seca-93fd417f-860d-42b3-9214-df2a45b7b803	https://library.duke.edu/rubenstein/findingaids/dobbinjamescpapers-000893818/	20737045	RL.30739	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Oliver Hart Dockery papers	Dockery, Oliver H. (Oliver Hart), 1830-1906	1868-1869	1868/1869	eng	2 items	Routine correspondence related to Dockery's service as a United States congressman, including a letter, 1868, containing biographical information on Dockery.		Dockery, Oliver H. (Oliver Hart), 1830-1906			Text	dockeryoliverhpapers-002561113	002561113	seca-48e930e7-4818-43b0-9302-beb6858fffee	https://library.duke.edu/rubenstein/findingaids/dockeryoliverhpapers-002561113/	41027265	RL.30749	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Mary Mapes Dodge note	Dodge, Mary Mapes, 1830-1905	undated	1800/1899	eng	1 item	Note from Mary Mapes Dodge referring to a caricature of William E. Gladstone in PUNCH, and other subjects.		Dodge, Mary Mapes, 1830-1905| Gladstone, W. E. (William Ewart), 1809-1898			Text	dodgemarymapes-002648569	002648569	seca-1ab3e29e-f3ee-444d-be0f-fa05447bdbef	https://library.duke.edu/rubenstein/findingaids/dodgemarymapes-002648569/	43297789	RL.30735	[local_id]	image	http://rightsstatements.org/vocab/UND/1.0/	[rights_note]	
Sarah Ann Rice Dogan papers	Dogan, Sarah Ann Rice.	1821-1835	1821/1835	eng	5 items	Personal letters to Sarah Ann Dogan from her husband, Joseph H. Dogan, and a friend.		Dogan, Sarah Ann Rice| Richland County (S.C.) -- History -- 19th century	Richland County (S.C.)		Text	dogansarahannricepapers-002586347	002586347	seca-d1faf069-ef71-46f0-b158-b8f245e5a5e8	https://library.duke.edu/rubenstein/findingaids/dogansarahannricepapers-002586347/	41571195	RL.30740	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	
Jonathan P. Dolliver papers.	Dolliver, Jonathan P. (Jonathan Prentiss), 1858-1910	1909	1909/1909	eng	2 items	Correspondence referring to a contemplated commencement address at Trinity College, Durham, North Carolina, and Dolliver's cancellation of the engagement.		Dolliver, Jonathan P. (Jonathan Prentiss), 1858-1910			Text	dolliverjonathanppapers-002561114	002561114	seca-a1c66b7e-a069-496d-abaa-ba8e0f60312b	https://library.duke.edu/rubenstein/findingaids/dolliverjonathanppapers-002561114/	41027279	RL.30751	[local_id]	image	http://rightsstatements.org/vocab/UND/1.0/	[rights_note]	
William Donald papers	Donald, William, 1824-	1807-1912	1807/1912	eng	8 items	The diary and other papers, kept by William Donald between October 14, 1857 and June 9, 1859, describe a voyage to India via Egypt and Aden and sieges and engagements in the Sepoy Rebellion. Accounting notes, 1851-1865, on verso pages at end. Includes an illustrated newspaper article about Donald's military career as well as papers regarding his pension and discharge from the Royal Engineers. Also contains contract of indenture between an earlier William Donald and Robert William Duff, who agreed to train him in gardening.	Purchase 1978	Great Britain. Army. Royal Engineers| Great Britain. Army -- History -- 19th century| Great Britain. Army -- Sea life| Egypt -- Description and travel| India -- Description and travel| India -- History -- Sepoy Rebellion, 1857-1858| Yemen, South -- Description and travel	Egypt| India| Yemen, South		Text	donaldwilliampapers-001024978	001024978	seca-d99565a0-e6df-4dd8-88eb-5a167b963414	https://library.duke.edu/rubenstein/findingaids/donaldwilliampapers-001024978/	24560911	RL.30736	[local_id]	image		[rights_note]	
James Dorn letter	Dorn, James	1855 Aug. 6.	1855/1855	eng	1 item	Letter (1855 Aug. 6) from Dorn to Joseph Slocum of New York concerning gold mining in S.C. Dorn describes problems in separating the gold after it is mined.	Purchase 1978	Mines and mining resources -- South Carolina| Gold mines and mining -- South Carolina| Gold miners -- South Carolina| Slocum, Joseph| Edgefield County (S.C.) -- History -- 19th century	Edgefield County (S.C.)		Text	dornjames-001105578	001105578	seca-d5b894d5-e170-4635-bbab-f04659ec2426	https://library.duke.edu/rubenstein/findingaids/dornjames-001105578/	28308704	RL.30743	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Clement Dorsey letter	Dorsey, Clement, 1778-1846	[1814?]	1814/1814	eng	1 item	Letter to the governor of Maryland from Dorsey regarding the arming of state soldiers.		Dorsey, Clement, 1778-1846			Text	dorseyclement-002561019	002561019	seca-0f191bd9-fd1b-471a-a69e-3a789ce6f852	https://library.duke.edu/rubenstein/findingaids/dorseyclement-002561019/	41027294	RL.30737	[local_id]	image		[rights_note]	
Ulysses Doubleday letter	Doubleday, Ulysses, 1824-1893	1862 March 14-15	1862/1862	eng	1 letter (4 pages)	Collection consists of a single 4 page letter from Doubleday to F. W. Ballard, an abolitionist. Doubleday expresses frustration that the army is in a state of confusion due to inadequate leadership, but that it is fortunate that President Lincoln has taken command of it. He note his reassurance at the President's increasing responsiveness to emancipationist influence.		Slaves -- Emancipation -- United States| Doubleday, Ulysses, 1824-1893| United States -- History -- Civil War, 1861-1865	United States		Text	doubledayulysses-003859842	003859842	seca-20ba4716-e6ee-4a5a-9a14-c339fca68ee1	https://library.duke.edu/rubenstein/findingaids/doubledayulysses-003859842/	1049988588	RL.30746	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Henry Kyd Douglas papers	Douglas, Henry Kyd, 1838-1903	1861-1949 ;	1861/1949	eng	32 items	Civil War letters from Henry Kyd Douglas to Helen Macomb Boteler describing in detail military movements and camp life, including the battles of Cross Keys, 1862; Port Republic, 1862; and Fredericksburg, 1862, all in Virginia. Several of the letters were written from the Union military prison on Johnson's Island, near Sandusky, Ohio.		Fredericksburg, Battle of, Fredericksburg, Va., 1862| Shenandoah Valley Campaign, 1862| Soldiers -- Confederate States of America -- Correspondence| Boteler, Helen Macomb| Confederate States of America. Army -- Military life| Johnson Island Prison| Cross Keys (Va.) -- History -- Civil War, 1861-1865| Port Republic (Va.) -- History -- Civil War, 1861-1865| United States -- History -- Civil War, 1861-1865 -- Campaigns| United States -- History -- Civil War, 1861-1865 -- Prisoners and prisons| Virginia -- History -- Civil War, 1861-1865	Cross Keys (Va.)| Port Republic (Va.)| United States| Virginia		Text	douglashenrykydpapers-000893749	000893749	seca-72cd52bb-c012-4db4-aa2c-2963e524a3c9	https://library.duke.edu/rubenstein/findingaids/douglashenrykydpapers-000893749/	20736856	RL.30744	[local_id]	image	http://rightsstatements.org/page/NKC/1.0/?language=en	[rights_note]	
Frederick Douglass letter and autograph	Douglass, Frederick, 1818-1895	1875-1880	1875/1880	eng	2 items	A Douglass autograph and a letter from Douglass to Pinckney Benton Stewart Pinchback, 1875 July 16, mentioning a meeting to be held as a preliminary to the Republican National Convention of 1876. Douglass writes, "With the immense political power now in our hands, if wisely exercised, the colored people of this country need not fail to have all their rights respected nor fail to secure a respectable and proportionate representation both in the states and in the nation."		Douglass, Frederick, 1818-1895			Text	douglassfrederick-002561021	002561021	seca-3ccf43ac-be66-4a6b-b04b-2d2d459fb5ea	https://library.duke.edu/rubenstein/findingaids/douglassfrederick-002561021/	41027291	RL.30750	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
