container_1	creator	title	date_expression	date	language	extent	physical_description	description	provenance	subject	spatial	format	ead_id	aspace_id	finding_aid_url	oclc_num	rl_number	dpc_id
folder 1	Bruce, Charles Key	Charles Key Bruce papers	1839-1847	1839/1847	eng	22 items		Correspondence regarding Bruce's work with the Baltimore and Ohio Railroad on construction of the railroad between Harper's Ferry, W. Va., and Cumberland, Md.		Railroads -- Maryland; Railroads -- West Virginia; Railroad engineers -- United States; Railroads -- Design and construction; Civil engineers -- United States; Baltimore and Ohio Railroad Company; Cumberland (Md.) -- History; Harpers Ferry (W. Va.) -- History	Cumberland (Md.); Harpers Ferry (W. Va.)		brucecharleskeypapers-000846385	seca-65d6b64e-e851-452f-b97d-70db368cf059	http://library.duke.edu/rubenstein/findingaids/brucecharleskeypapers-000846385/	19276741	RL.30358	dpc_id
folder 1	Bryant, William Cullen, 1794-1878	William Cullen Bryant papers	1839-1895	1839/1895	eng	35 items		Miscellaneous letters by Bryant, largely concerning literary matters, travel, and personal affairs; signed and dated copies of several of his poems; and a letter from Johannes Adam Oertel regarding illustrations to accompany one poem. Includes a lock of Bryant's hair that his daughter sent to R. H. Stoddard in 1879.		American poetry -- 19th century; Poets, American -- 19th century; Hair; Bryant, William Cullen, 1794-1878; Oertel, Johannes Adam Simon, 1823-1909; New York (N.Y.)	New York (N.Y.)		bryantwilliamcullenpapers-000846386	seca-d03c9959-9135-44a2-8158-6bcae73f48b6	http://library.duke.edu/rubenstein/findingaids/bryantwilliamcullenpapers-000846386/	19276756	RL.30359	dpc_id
folder 1	Bryan, William Jennings, 1860-1925	William Jennings Bryan letter to Susan L. Avery	1903	1903/1903	eng	9999 fake_extent_units		Letter to Susan L. Avery thanking her for some articles she had sent The Commoner.					bryanwilliamjennings-003864054	seca-a2f58484-84db-41ef-bd96-f46c64a4948a	http://library.duke.edu/rubenstein/findingaids/bryanwilliamjennings-003864054/	1002076310	RL.30369	dpc_id
folder 1	Brydges, Archie	Archie Brydges letters	1894-1906, bulk 1894-1900	1894/1906	eng	18 items		Nine letters written by Bridges to Annie describing his life in South Africa. Primary topics include lifestyle and culture; his financial difficulties, especially because of gambling and business loss; news from home; his recommendations for improving Annie's health; the weather; religion; and marriage. In addition, several letters discuss the buildup to and outbreak of the Anglo-Boer War. Earlier letters (1894-1897) predict war and mention some of the political circumstances that led to tension between the English and the Boers/Afrikaners. A later letter (1900) describes the outbreak of war and his own involvement in it, including being forced to leave Johannesburg and then volunteering for the British army ambulance corps. Includes 9 envelopes.	Purchase, 2002	South African War, 1899-1902; South African War, 1899-1902 -- Participation, Irish; South African War, 1899-1902 -- Personal narratives; Brydges, Archie; Great Britain. Army -- Irish regiments -- History -- 20th century; South Africa -- Politics and government -- 1836-1909; South Africa -- Commerce; South Africa -- Description and travel; South Africa -- Social life and customs	South Africa		brydgesarchieletters-003086931	seca-9afe0d08-2815-4b30-bc82-80dd736b0cd9	http://library.duke.edu/rubenstein/findingaids/brydgesarchieletters-003086931/	50145007	RL.30368	dpc_id
folder 1	Buchanan, John, reator	John Buchanan papers	1826-1827	1826/1827	eng	3 items		Report of John's son Thomas, a student at Dickinson College, Carlisle, Pa., and an estimate of a year's expense at the college; notification that Dickinson College would confer on John an honorary degree of Doctor of Laws; and a letter concerning Thomas's transfer to a school in Georgetown.		Education -- Pennsylvania; College costs -- Pennsylvania; Buchanan, Thomas; Dickinson College			buchananjohnpapers-000846390	seca-805a0791-f821-4370-abf5-a7a2cebf8f1c	http://library.duke.edu/rubenstein/findingaids/buchananjohnpapers-000846390/	19276809	RL.30356	dpc_id
folder 1	Buchanan, (Hugh), Mr. 1823-1890	Hugh Buchanan papers	1835-1861	1835/1861	eng	24 items		Business papers, usually letters requesting assistance collecting debts, and an invitation to join the Board of Trustees of Oglethorpe Medical College, Savannah, Ga.		Lawyers -- Correspondence; Medical education -- Georgia; Debtor and creditor -- Georgia; Oglethorpe Medical College, Savannah, Ga			buchananpapers-000846389	seca-6b335a3a-95ca-4c7b-be05-7d6d8ebb6ab1	http://library.duke.edu/rubenstein/findingaids/buchananpapers-000846389/	19276796	RL.30357	dpc_id
folder 1	Buckmaster, George	George Buckmaster account	1769 July 16	1769/1769	eng	1 item		Records sales and disbursements for a trading vessel mostly in Georgia during February and May, 1869, and at Mole St. Nicholas, Haiti, in April. Itemizes goods, customers, prices, and purchases of goods and services. Customers mentioned include Gov. James Wright of Georgia.	Purchase 1978	Governors -- Georgia; Wright, James, Sir, 1716-1785; Cicero (Ship); Georgia -- Commerce; Haiti -- Commerce; Rhode Island -- Commerce	Georgia; Haiti; Rhode Island		buckmastergeorge-000851089	seca-0f0d9c68-3da5-45b2-a8a7-dfdbc6a48595	http://library.duke.edu/rubenstein/findingaids/buckmastergeorge-000851089/	19464984	RL.30349	dpc_id
folder 1	Buckminster, J. S. (Joseph Stevens), 1784-1812	J. S. Buckminster papers	1782 and undated.	1782/1799	eng	2 items							buckminsterjspapers-003864024	seca-f24bc00b-a10c-4f87-a034-b66de7ff73bc	http://library.duke.edu/rubenstein/findingaids/buckminsterjspapers-003864024/	1002075356	RL.30352	dpc_id
folder 1	Buckner, John A..	John A Buckner accounts of Melbourne Plantation (Arkansas)	1867-1884	1867/1884	eng	2 items		Accounts of the Melbourne Plantation, in Arkansas, written for Buckner stating annual expenses and proceeds from crops. Includes records pertaining to crops, animals, labor salaries, and equipment repairs. Buckner served as a captain in the 8th Kentucky Regiment, CSA.	Purchase 1986	Plantations -- Arkansas -- History -- 19th century; Plantations -- Arkansas -- Records and correspondence; Agricultural laborers -- Arkansas; Agricultural wages -- Arkansas; Confederate States of America. Army. Kentucky Infantry Regiment, 8th.; Melbourne Plantation (Ark.)			bucknerjohna-001530387	seca-c49ca7fd-3460-4481-a025-59203d6e7e5b	http://library.duke.edu/rubenstein/findingaids/bucknerjohna-001530387/	30789086	RL.30366	dpc_id
folder 1	Buckner, Simon Bolivar, 1823-1914	Simon Bolivar Buckner papers	1863-1914	1863/1914	eng	9 items		Collection contains miscellaneous letters of Buckner, chiefly personal. One item, 1863, deals with intelligence of Union troop movements in Kentucky. Two letters are from Gen. Buckner to Gen. Grant, both dated Feb. 16, 1862, relative to the surrender by Buckner at Fort Donelson. Grant demanded unconditional surrender, which Buckner criticized. These two Buckner letters may be drafts and the letter from Grant a first copy.		Fort Donelson, Battle of, Tenn., 1862; Buckner, Simon Bolivar, 1823-1914; Grant, Ulysses S. (Ulysses Simpson), 1822-1885; Grant, Ulysses S. (Ulysses Simpson), 1822-1885; Confederate States of America. Army -- Officers -- Correspondence; Confederate States of America. Army.; Confederate States of America -- History, Military; United States -- History -- Civil War, 1861-1865; United States -- Politics and government -- 19th century; United States -- History -- Civil War, 1861-1865 -- Campaigns; Virginia -- History -- Civil War, 1861-1865	Confederate States of America; United States; Virginia		bucknersimonbolivarpapers-002385537	seca-98234836-ee25-4b56-a1e5-c456b7bd4e1e	http://library.duke.edu/rubenstein/findingaids/bucknersimonbolivarpapers-002385537/	38196558	RL.30364	dpc_id
