title	creator	date_expression	date	language	extent	description	provenance	subject	spatial	format	type	ead_id	aleph_id	aspace_id	finding_aid_url	oclc_num	identifier	local_id	display_format	rights	rights_note
Henry Edmondson papers	Edmondson, Henry	1822-1849	1822/1849	eng	12 items	Family and business correspondence of a Virginia justice of the peace.		Judges -- Virginia -- 19th century -- Correspondence| Edmondson, Henry| Montgomery County (Va.) -- History	Montgomery County (Va.)		Text	edmondsonhenrypapers-002563226	002563226	seca-dc773af7-14cd-43db-9314-0032e558f77f	https://library.duke.edu/rubenstein/findingaids/edmondsonhenrypapers-002563226/	41091038	RL.30809	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
Thomas and Isaac Edmondson papers	Edmondson, Thomas	1783-1874 ;	1783/1874	eng	68 items	Business papers of Thomas Edmondson and Isaac Edmondson, merchants dealing in woolen and cotton cloth, some of which was imported from England and some of which were sold in Winchester, Va. One letter includes discussion of the 1812 Embargo Act. Also includes the business transactions of Dr. Thomas Edmondson in the 1840s and a few family letters.		Merchants -- Maryland -- Baltimore| Merchants -- Records| Textile industry -- England| Textile industry -- Virginia| Edmondson, Isaac, correspondent.| Edmondson, Thomas, Dr.| Edmondson, Thomas, Dr., correspondent.| Edmondson family| Baltimore (Md.) -- Commerce| Maryland -- Economic conditions	Baltimore (Md.)| Maryland		Text	edmondsonthomaspapers-000887878	000887878	seca-42e007c5-83ac-4fe3-b08a-42adcc42f748	https://library.duke.edu/rubenstein/findingaids/edmondsonthomaspapers-000887878/	20574618	RL.30803	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Ninian Edmonston family papers	Edmonston, Ninian	1835-1864	1835/1864	eng	12 items	Assorted family letters of the Edmonstons, writing with family news (including family deaths) from Dubois County, Ind., and Vandalia, Ill. Also includes Civil War letters of Benjamin and Basil B. Edmonston, sons of Ninian Edmonston, who had remained in North Carolina and joined the Confederate forces. The two soldiers participated in the defending of Petersburg in July 1864; Benjamin was wounded and died in August 1864.		Migration, Internal -- United States| Soldiers -- Confederate States of America -- Correspondence| Edmonston, Basil B., correspondent.| Edmonston, Benjamin, correspondent.| Edmondson family, correspondent.| Edmondson family| Confederate States of America. Army.| Dubois County (Ind.) -- History| Haywood County (N.C.) -- History| Illinois -- Emigration and immigration| Indiana -- Emigration and immigration| North Carolina -- Emigration and immigration| United States -- History -- Civil War, 1861-1865| Vandalia (Ill.) -- History	Dubois County (Ind.)| Haywood County (N.C.)| Illinois| Indiana| North Carolina| United States| Vandalia (Ill.)		Text	edmonstonninianpapers-000893756	000893756	seca-838cccd2-efc5-4939-9b7e-4046f68bbaf9	https://library.duke.edu/rubenstein/findingaids/edmonstonninianpapers-000893756/	20736872	RL.30811	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Augustus F. Edwards papers	Edwards, Augustus F.	1846-1860	1846/1860	eng	4 items	Scattered letters of Augustus Edwards discussing personal and family matters. Includes one 1854 letter from his sister, Angie Edwards, a student at the Misses Bates' School in Charleston, South Carolina.		Lawyers -- South Carolina -- Correspondence| Women -- Education -- South Carolina -- 19th century| Edwards, Angie, correspondent.| Darlington (S.C.) -- History| South Carolina -- History -- 19th century	Darlington (S.C.)| South Carolina		Text	edwardsaugustusfpapers-002563228	002563228	seca-7ebb0ee8-b490-4a1f-9928-2034dcad97b6	https://library.duke.edu/rubenstein/findingaids/edwardsaugustusfpapers-002563228/	41091044	RL.30813	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Charity Edwards papers	Edwards, Charity	1816-1879 ;	1816/1879	eng	11 items	Personal letters from Salem, N.C., where Charity Edwards was in school, and from Columbus, Miss., where she later lived once married.		Schools -- North Carolina -- Salem| Women -- Education -- North Carolina| Women -- Southern States -- Correspondence| Columbus (Miss.) -- Social life and customs| Winston-Salem (N.C.) -- History	Columbus (Miss.)| Winston-Salem (N.C.)		Text	edwardscharitypapers-000893759	000893759	seca-82834378-0588-455f-ac84-eb39f1be9017	https://library.duke.edu/rubenstein/findingaids/edwardscharitypapers-000893759/	20736878	RL.30808	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Anonymous letter to George T. Edwards	Edwards, George T.	1852	1852/1852	eng	1 item	Letter from a Kentuckian (sender's name illegible) to Edwards in which the writer discusses his debts and poverty, his expectations for obtaining a government position, and the illness of Henry Clay.		Clay, Henry| Edwards, George T.| Kentucky -- History -- 19th century	Kentucky		Text	edwardsgeorget-002560937	002560937	seca-961d101b-c833-49a4-8545-a5d29d5eac62	https://library.duke.edu/rubenstein/findingaids/edwardsgeorget-002560937/	41025053	RL.30815	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
John Edwards Sr. papers	Edwards, John, Sr.,	1811-1877	1811/1877	eng	8 items	Collection consists principally of deeds and indentures for land in North Carolina; one 1850 letter from John Edwards, Jr., describes the advantages of Missouri.		Land titles -- North Carolina| Edwards, John, Sr.| Missouri -- Description and travel -- 19th century	Missouri		Text	edwardsjohnpapers-002560938	002560938	seca-90b04273-0aa1-4d5b-b8cc-650a498b8093	https://library.duke.edu/rubenstein/findingaids/edwardsjohnpapers-002560938/	41025045	RL.30807	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Levi Edwards papers	Edwards, Levi	1830-1889	1830/1889	eng	53 items	Chiefly family correspondence, including letters from Confederate soldiers. Also includes loyalty oaths issued following the Civil War.		Soldiers -- Confederate States of America -- Correspondence| Loyalty oaths -- United States| Edwards, Levi| North Carolina -- History -- 19th century| United States -- History -- Civil War, 1861-1865	North Carolina| United States		Text	edwardslevipapers-002578666	002578666	seca-e32fcf97-c054-4000-96e2-be85743c4721	https://library.duke.edu/rubenstein/findingaids/edwardslevipapers-002578666/	41395606	RL.30810	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Weldon Nathaniel Edwards papers	Edwards, Weldon N. (Weldon Nathaniel), 1788-1873	1800-1870	1800/1870	eng	21 items	Scattered correspondence and papers of Edwards. Topics include his entrance into politics; his thoughts on Thomas Ruffin, North Carolina's role in the Civil War, Reconstruction, and the Democratic Party; and some legal documents with Robert Park, settling the estate of George W. Long in the 1820s.		Secession| Park, Robert, correspondent.| Ruffin, Thomas, 1787-1870| Democratic Party (U.S.)| North Carolina -- Politics and government -- 1775-1865| United States -- History -- Civil War, 1861-1865| United States -- Politics and government -- 1815-1861| United States -- Politics and government -- 1865-1877| Warren County (N.C.) -- History	North Carolina| United States| Warren County (N.C.)		Text	edwardsweldonnpapers-000893767	000893767	seca-882b8747-5c90-49c4-9cd9-078068837591	https://library.duke.edu/rubenstein/findingaids/edwardsweldonnpapers-000893767/	20736896	RL.30805	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Edwin and Laura : a poem in two cantos,		approximately 1800-1850	1800/1850	eng	4 v	Four small volumes containing a manuscript entitled "Edwin and Laura: A Poem in Two Cantos." The original poem fills two of these volumes, while the remaining two contain a revised version of the original. All of the volumes probably date from the first half of the 19th century. The author of the poem is unknown, and names of people and places mentioned in the volumes have been intentionally obscured.		American poetry -- 19th century			Text	edwinandlaura-002683977	002683977	seca-8e2c9d76-f8f3-4e4e-8051-91f8e6712432	https://library.duke.edu/rubenstein/findingaids/edwinandlaura-002683977/	43738786	RL.30806	[local_id]	image		[rights_note]
James Adams Ekin papers	Ekin, James Adams	1862-1883	1862/1883	eng	52 items	Letters concerning Ekin's service in the Quartermaster Corps during the Civil War; scattered items relating to a bill before the United States Senate in 1882 requiring Army officers to retire at age sixty-two; and telegrams concerning the shooting of President Garfield. Also contains pamphlets, including a list of officers and students at Harvard in 1870. Correspondents include: H. T. Crosby, Henry G. Davis, Benjamin Harrison, Robert Todd Lincoln, William B. Rochester, Caleb B. Tillinghast, and Charles Thomas.		Garfield, James A. (James Abram), 1831-1881 -- Assassination.| United States. Army -- Appointments and retirements| United States. Army. Quartermaster Corps| Pittsburgh (Pa.) -- History -- 19th century| United States -- History -- Civil War, 1861-1865 -- Equipment and supplies	Pittsburgh (Pa.)| United States		Text	ekinjamesadamspapers-000849869	000849869	seca-9b69b1cb-0298-40a7-ba69-0ef7cf89ee5b	https://library.duke.edu/rubenstein/findingaids/ekinjamesadamspapers-000849869/	19406123	RL.30816	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Augustus Elholm papers	Elholm, Augustus Christian George	1793-1794	1793/1794	eng	11 items	Letters from Elholm to Governor Telfair and George Mathews, written from various forts and trading posts in Washington, Wilkes Co., Saint Mary, and Augusta. Correspondence advises the governor of conditions among settlers, Indians, and military; topics include rations, arms, and the problems of frontier defense.	Purchase, Purchase, 1935	Telfair, Edward, approximately 1735-1807| Georgia. Militia| Georgia -- 18th century| Georgia -- History -- 1775-1865| United States -- Boundaries| Wilkes County (Ga.) -- History	Georgia| United States| Wilkes County (Ga.)		Text	elholmaugustuschristiangeorgepapers-000893788	000893788	seca-d16abdaf-66fa-43f8-a135-1ddc0a90904d	https://library.duke.edu/rubenstein/findingaids/elholmaugustuschristiangeorgepapers-000893788/	20736948	RL.30804	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
Charles William Eliot papers	Eliot, Charles William, 1834-1926	1884-1910	1884/1910	eng	3 items	Miscellaneous correspondence regarding appointments and invitations. Includes a letter from Eliot to Dr. Sereno Watson, accepting his resignation as instructor of phytography (botany); a letter regarding a speaking engagement by Eliot at the University Club; and a letter declining to participate in a medal ceremony for Boston citizens' extraordinary service.		Eliot, Charles William, 1834-1926| Harvard University -- History| Boston (Mass.) -- History -- 19th century| Cambridge (Mass.) -- History -- 19th century	Boston (Mass.)| Cambridge (Mass.)		Text	eliotcharleswilliampapers-002560940	002560940	seca-ae2997b4-daa4-4531-91dc-522bd51b0659	https://library.duke.edu/rubenstein/findingaids/eliotcharleswilliampapers-002560940/	41025056	RL.30818	[local_id]	image		[rights_note]
L. S. Ellington papers	Ellington, L. S.	1866-1868	1866/1868	eng	2 items	Letters from a Radical Republican during Reconstruction in Georgia. Describes activities of the Ku Klux Klan.		Reconstruction (U.S. history, 1865-1877) -- Social conditions| Racism -- Georgia -- 19th century| Reconstruction -- Georgia| Ku Klux Klan (19th century)| Republican Party (Ga.)| Georgia -- Politics and government -- 1865-1950| Georgia -- Social conditions	Georgia		Text	ellingtonlspapers-000893781	000893781	seca-d23b3b2b-b114-44e2-b4bf-f92a4c344ccd	https://library.duke.edu/rubenstein/findingaids/ellingtonlspapers-000893781/	20736930	RL.30817	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
N. Dane Ellingwood papers	Ellingwood, N. Dane	1838-1843	1838/1843	eng	14 items	Routine business items.		Ellingwood, N. Dane| New York (N.Y.) -- History -- 19th century	New York (N.Y.)		Text	ellingwoodndanepapers-002560942	002560942	seca-c3fe9dbc-777c-4bcd-b1cc-e4a5ca3c210d	https://library.duke.edu/rubenstein/findingaids/ellingwoodndanepapers-002560942/	41025049	RL.30812	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
George Augustus Elliott papers	Elliott, George Augustus	1849-1856 and undated.	1849/1856	eng	6 items	Collection consists of a diary of Elliott and loose items. Brief diary entries give an account of Elliott's voyage in 1849 from England to India and his service there. Entries beginning in 1852 describe the Second Burmese War: the taking of Martaban and Prome and the pursuit of the Burmese. Entries beginning in 1854 chiefly detail conditions in the Crimea at the end of the Crimean War. In 1856 Elliott recounted his travels in the Crimea with a party of British officers before embarking for England on June 20. Included are the names and regiment of those with whom he came into contact and those who were killed or wounded, but there are gaps in entries. Loose items, and a few diary pages, pertain to ciphers and codes. Included is a 1852 pencil drawing of the Shouey Dagon Pagoda.	Purchase 1987	Anglo-Burmese War, 2nd, 1852 -- Personal narratives| Ciphers| Crimean War, 1853-1856 -- Personal narratives| Pagodas -- Burma -- Pictorial works| Great Britain. Army -- Officers -- Diaries| Great Britain. Army. Royal Irish Regiment, 18th.| India -- Colonization -- 19th century| India -- History -- British occupation, 1765-1947 -- Diaries	India		Text	elliottgeorgeaugustuspapers-000897761	000897761	seca-a4c9c1ba-3203-45cd-b4a1-447af8eb3673	https://library.duke.edu/rubenstein/findingaids/elliottgeorgeaugustuspapers-000897761/	20836333	RL.30814	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
