title	creator	date_expression	date	language	extent	description	provenance	subject	spatial	format	type	ead_id	aleph_id	aspace_id	finding_aid_url	oclc_num	identifier	local_id	display_format	rights	rights_note
Augusta Burnham papers	"Burnham, Augusta A."	1841-1854	1841/1854	eng	34 items	"Family correspondence of Augusta A. and Elethine Burnham, containing information of Lowell Institute, the textile mills, and rural life in New Hampshire."		"Country life -- New Hampshire| Textile industry -- Massachusetts -- 19th century| Women -- New England -- Correspondence| Burham, Elethine,correspondent.| Burnham family| Lowell Institute| New Hampshire -- Social life and customs"	New Hampshire		Text	burnhamaugustaapapers-000890387	890387	seca-208c3a31-609d-4188-8b76-1cd17a38585e	http://library.duke.edu/rubenstein/findingaids/burnhamaugustaapapers-000890387/	20649199	RL.30378	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Robert Burns letter to William Dunbar	"Burns, Robert, 1759-1796"	1787 April 30	1787/1787	eng	2 items	Letter from Burns to William Dunbar (d. 1807) in Edinburgh thanking him for the gift of a set of the writings of Edmund Spenser. Burns closed the letter with a stanza of poetry. Transcription of the letter is included. Part of the Harry L. and Mary K. Dalton Collection.	Gift 1983	"Burns, Robert, 1759-1796 -- Poetry.| Burns, Robert, 1759-1796| Dunbar, William, d. 1807| Spenser, Edmund, 1552?-1599"			Text	burnsrobert-002494265	2494265	seca-5a03ca95-87ec-4a9b-abd9-76a00df3714f	http://library.duke.edu/rubenstein/findingaids/burnsrobert-002494265/	39670296	RL.30372	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
Benjamin Burroughs papers	"Burroughs, Benjamin"	1809-1847	1809/1847	eng	9 items	"Letters and papers of Benjamin Burroughs and his overseer, John George, concerning the sale of horses, furniture, tools, livestock, and enslaved people as well as improvements at Cold Spring Plantation. Included also is a letter, 1847, from Theodore S. Fay in Berlin, commenting on his travels in Europe."		"Slavery -- Georgia -- 19th century| Farm management -- Georgia| Plantations -- Georgia| Fay, Theodore S. (Theodore Sedgwick), 1807-1898| George, John, -- Correspondence.| Europe -- Description and travel| Savannah (Ga.) -- Agriculture -- 19th century"	Europe| Savannah (Ga.)		Text	burroughsbenjaminpapers-000890397	890397	seca-abb50497-b96e-4ab2-a890-5d0ca59e13de	http://library.duke.edu/rubenstein/findingaids/burroughsbenjaminpapers-000890397/	20649225	RL.30375	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
David Burroughs papers	"Burroughs, David"	1814-1818	1814/1818	eng	5 items	"Collection contains business papers of David Burroughs concerning bonds for debt, apprenticeship papers, and a land deed from the town of Phelps, N.Y."		"Apprentices -- 19th century| Burroughs, David| Phelps (N.Y.) -- 19th century"	Phelps (N.Y.)		Text	burroughsdavidpapers-003863958	3863958	seca-6acda75c-9f72-45a6-9836-624d862ded05	http://library.duke.edu/rubenstein/findingaids/burroughsdavidpapers-003863958/	1008592153	RL.30376	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
John Burroughs papers	"Burroughs, John, 1837-1921"	1855-1885 and undated.	1855/1885	eng	1 volume 6 manuscript items	"Collection consists of an autograph copy, signed in pencil, of notes for ""The Friendly Rocks,"" as well as a letter, poem, photograph, and volume. Burroughs wrote the letter to Mary Hoyt Freligh (year unknown) concerning his friend, William Vanamee. The poem is titled ""Waiting,"" and was printed in Knickerbocker's magazine in 1863. The photograph is a portrait of Burroughs. The volume is a Guardian and Administration book kept in Jefferson Co., Arkansas, which has accounts of six people for which Burroughs was apparently an administrator."		"Burroughs, John, 1837-1921 -- Photographs.| Burroughs, John, 1837-1921 -- Poetry.| Freligh, Mary Hoyt| Jefferson County (Ark.) -- History"	Jefferson County (Ark.)		Text	burroughsjohnpapers-003863933	3863933	seca-848a7924-b9a6-4c97-bba5-178408600f7b	http://library.duke.edu/rubenstein/findingaids/burroughsjohnpapers-003863933/	1008596915	RL.30383	[local_id]	image	http://rightsstatements.org/vocab/UND/1.0/	[rights_note]
Burrow family papers	Burrow family	1842-1928 and undated.	1842/1928	eng	0.10 linear feet	"Miscellaneous family papers, including letters, Henry Burrow's will, as well as various deeds and financial papers regarding Elizabeth Burrow's management of her husband Henry's estate. Henry Burrow served in the Civil War and died in a Richmond hospital around 1863 as a result of his injuries. Included are three letters he posted to his wife from the hospital and a fragment of the letter sent to Elizabeth informing her of his death. The collection also contains an advertising booklet published by Ford Motor Company (1912); undated obituaries for several Thomasville citizens; a copy of a Thomasville Chair Company newsletter, THE CHAIRMAKER (June 1924); and miscellaneous and financial papers for the Ragan family."		"Hospitals -- Confederate States of America| Military hospitals -- Confederate States of America| Executors and administrators -- North Carolina| Decedents' estates -- North Carolina -- Davidson County| Burrow, Elizabeth,correspondent.| Burrow, Henry,correspondent.| Burrows family| Regan family| Ford Motor Company| Thomasville Chair Company| North Carolina -- History -- 1865-| Thomasville (N.C.) -- History"	North Carolina| Thomasville (N.C.)	Will| Deeds	Text	burrowfamilypapers-003140715	3140715	seca-f02ef873-3802-46ea-8544-f2b3997875ac	http://library.duke.edu/rubenstein/findingaids/burrowfamilypapers-003140715/	51548996	RL.30379	[local_id]	image	http://rightsstatements.org/vocab/UND/1.0/	[rights_note]
James A. Burrows papers	"Burrows, James A."	1861-1869	1861/1869	eng	40 items	"Collection consists of letters between Burrows and his brother, Frank Burrows."		"Soldiers -- Confederate States of America -- Correspondence| Burrows, Frank,correspondent.| Burrows, James A.| United States -- History -- Civil War, 1861-1865"	United States		Text	burrowsjamesapapers-003863585	3863585	seca-721cf14b-57b5-431a-8a98-bf697d1a5900	http://library.duke.edu/rubenstein/findingaids/burrowsjamesapapers-003863585/	1008596114	RL.30384	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
William Henry Burr letters	"Burr, William Henry, 1819-1908"	"1883, 1897"	1883/1897	eng	0.1 linear feet	"Collection comprises two letters by William Henry Burr. Topics in the 1883 letter include a scam involving ""that fellow 'Kellogg'"" and rumored presidential scandals involving Chester Arthur and James Garfield. The 1897 letter involves Burr's making a copy of a letter by Thomas Paine regarding Paine's service as an editor for the Pennsylvania Magazine."	"Purchase 2016, 2016-0083"	"Arthur, Chester Alan, 1829-1886| Burr, William Henry, 1819-1908| Garfield, James A. (James Abram), 1831-1881| Paine, Thomas, 1737-1809"			Text	burrwilliamhenryletters-003863962	3863962	seca-a0d09bd6-d19a-417e-ba91-c7e87bac6f54	http://library.duke.edu/rubenstein/findingaids/burrwilliamhenryletters-003863962/	954495894	RL.30393	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Columbia Y. Burton papers	"Burton, Columbia Y."	1864-1865	1864/1865	eng	6 items	"Collection consists of letters to Burton's cousin, James T. Bland, who was a prisoner of war in Elmira, N.Y."		"Prisoners of war -- New York (State) -- Elmira -- 19th century| Bland, James T.| Elmira Prison (Elmira, N.Y.) -- 19th century| United States -- History -- Civil War, 1861-1865"	United States		Text	burtoncolumbiaypapers-003863576	3863576	seca-9488bad5-aceb-438f-b750-fc78bfce124d	http://library.duke.edu/rubenstein/findingaids/burtoncolumbiaypapers-003863576/	1008596169	RL.30388	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
James H. Burton papers	"Burton, James H."	1872-1894	1872/1894	eng	7 items	"Letterpress book and letters dealing with business matters. Much of the early correspondence concerns Burton's efforts to secure remuneration from either the British or American governments, or from private manufacturers in both countries, for their use of his process of manufacturing steel gun barrels. Included are references to labor conditions in England and the business affairs of various English and American armament companies. The bulk of the material after 1873, when Burton emigrated to America, concerns the management of his farm, including orders for supplies, receipts, sales of stock and produce, and sales and purchases of land in Virginia, West Virginia, and Georgia."		Firearms -- Design and construction| Firearms designers -- England| Firearms industry and trade -- Great Britain| Firearms industry and trade -- United States| Farm management -- Virginia -- Loudoun County| Labor movement -- Great Britain			Text	burtonjameshpapers-000846410	846410	seca-cb48266b-3f37-4b30-a7e1-78313c7cd88e	http://library.duke.edu/rubenstein/findingaids/burtonjameshpapers-000846410/	19277236	RL.30392	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Oswald Robert Burton papers	"Burton, Oswald Robert, 1811-1891"	1861-1864	1861/1864	eng	9 items	"Letters to Rev. R.O. Burton relating to church affairs, business matters, the Civil War, and the education of his son, Andrew Joyner Burton (b. 1848), at Belmont, N.C., and at the University of North Carolina, Chapel Hill. Included is an itemized account of Andrew's expenses at the University, 1863."		"Education -- North Carolina| Methodist Church -- Clergy| Methodist Church -- North Carolina -- Halifax County| Burton, Andrew Joyner, b. 1848| University of North Carolina at Chapel Hill -- Students -- 19th century| North Carolina -- History -- Civil War, 1861-1865"	North Carolina		Text	burtonoswaldrobertpapers-000890407	890407	seca-1bfd76a8-038d-4b75-a564-c6696a53ac04	http://library.duke.edu/rubenstein/findingaids/burtonoswaldrobertpapers-000890407/	20649257	RL.30385	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Joshua Burtz papers	"Burtz, Joshua"	1844-1866	1844/1866	eng	3 items	"Three business papers from Burtz, including an 1866 agreement with freedman William Parks for land and supplies furnished to Parks as a tenant farmer in return for half of the crop. Includes details on mules, wagons, fencing, and the ""patch"" of the freedman."		"Agriculture -- Georgia -- Cherokee County| Freedmen -- Georgia -- Cherokee County| Sharecropping -- Georgia -- Cherokee County| Parks, William"			Text	burtzjoshuapapers-000890411	890411	seca-cbb83ac8-542b-4ad0-bf74-99aac311f931	http://library.duke.edu/rubenstein/findingaids/burtzjoshuapapers-000890411/	20649267	RL.30380	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Burwell family papers	"Burwell, Lewis"	1802-1891	1802/1891	eng	8 items	"Various family letters and statements of accounts, including an estate account (1802) that lists sales of land and slaves, as well as an order placed for household goods (7 November 1879). Topics of interest in the letters include tobacco trade and prices, Presbyterian camp meetings, and the health of family members. Also, there is a letter from Luke L. Burwell to his brother Lewis (11 September 1849), in which Luke counters charges of plantation mismanagement made by his overseer."		"Distribution of decedents' estates -- Southern States| Presbyterian Church -- History -- 19th century| Tobacco industry -- United States -- History -- 19th century| Families -- Health and hygiene| Sick -- Family relationships| Slavery -- Alabama| Farm management -- Southern States -- History| Plantation life -- Alabama -- History -- 19th century| Plantation owners -- Alabama| Plantations -- Alabama| Burwell, Lewis| Burwell, Luke L.| Burwell, Luke L.,correspondent.| Burwell family"		Estate inventory	Text	burwelllewispapers-002963996	2963996	seca-81bc469e-8944-4e58-a7f9-b60ed3ac397a	http://library.duke.edu/rubenstein/findingaids/burwelllewispapers-002963996/	46719299	RL.30374	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
William M. Burwell papers	"Burwell, William M."	1864	1864/1864	eng	2 items	Two brief and nearly illegible notes concerned with a knitting machine.		"Knitting -- Virginia -- 19th century| Burwell, William M."			Text	burwellwilliammpapers-003864088	3864088	seca-762a9949-4b6a-4542-9b10-ee81de8fb605	http://library.duke.edu/rubenstein/findingaids/burwellwilliammpapers-003864088/	1008595857	RL.30389	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
William H. Busbey papers	"Busbey, William H."	1861-1864	1861/1864	eng	15 items	"Personal letters of Busbey concerning politics in Ohio; letters express opinions on Copperheads, other Democrats, Republicans, and the unsuccessful gubernatorial race of Clement Vallandigham against Republican John Brough in 1863. Letters also mention the Freemasons; crime in Ohio; the life of a soldier; and CSA attacks on Union boats near Palmyra, Tennessee, and the burning of that town by the Union troops."		"Freemasonry -- Ohio| Governors -- Ohio -- Election -- 1863| Soldiers -- United States -- Correspondence| Brough, John, 1811-1865| Vallandigham, Clement L. (Clement Laird), 1820-1871| United States. Army. Kentucky Infantry Regiment, 1st (18611864)| United States. Army -- Military life| Ohio -- Politics and government -- 1861-1865| Ohio -- Social conditions| Tennessee -- History -- Civil War, 1861-1865"	Ohio| Tennessee		Text	busbeywilliamhpapers-000890416	890416	seca-8e4857ed-6504-4ab6-8d24-055b80ed5733	http://library.duke.edu/rubenstein/findingaids/busbeywilliamhpapers-000890416/	20649280	RL.30386	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Benjamin F. Butler papers	"Butler, Benjamin F. (Benjamin Franklin), 1818-1893"	1864-1893	1864/1893	eng	14 items	"Primarily letters, mostly in the 1880s to O.D. Barrett (Washington, D.C.) regarding financial matters. The collection also includes letters referencing organized labor and the eight-hour law (1886), and Butler's protective attitude toward former enslaved people (1864?)."	Acquired 1936-1977	Paternalism -- African Americans -- 19th century| Labor unions -- Massachusetts -- 19th century| Eight-hour movement| United States -- Race relations	United States		Text	butlerbenjaminfpapers-002582807	2582807	seca-bec50d30-3f81-44ac-b20b-a482052f49a9	http://library.duke.edu/rubenstein/findingaids/butlerbenjaminfpapers-002582807/	41546391	RL.30390	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Charles Butler papers	"Butler, Charles"	1767-1885	1767/1885	eng	81 items	"Tax receipts, indentures, and land grants from the Butler family."	Acquired Acquired 1951	Butler family| Craven County (N.C.) -- History -- 19th century	Craven County (N.C.)		Text	butlercharlespapers-003864087	3864087	seca-62019aa6-52dc-42f1-a29d-33a7528dfdcb	http://library.duke.edu/rubenstein/findingaids/butlercharlespapers-003864087/	1008588403	RL.30371	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Louisa Butler papers	"Butler, Louisa"	1847-1874 ;	1847/1874	eng	32 items	"Collection consists largely of letters to Louisa Butler from her brothers, Dr. R. S. Butler, Altamount T. Butler, and Thomas C. Butler; dates chiefly from the Civil War period. All brothers served in the Confederate Army. Thomas C. died in the hospital of Camp Winder in Richmond on May 7, 1862. Altamount R. and R. S. both survived the war, although it appears R. S. died in 1874 of complicates from wartime injuries or exposure. R. S. Butler was a physician from Palatka, Florida. Louisa, her sister Clarinda, and their mother lived in Lawrenceville, Ga., and moved to Atlanta following the Civil War. The letters reveal conditions in army and civilian life during the Civil War, as well as document the family's poverty. The sisters and their mother depended on money sent by their brothers. R. S. Butler's letters also reflect conditions in the vicinity of Palatka, Florida, both before and after the war."		"Reconstruction (U.S. history, 1865-1877) -- Florida| Soldiers -- Confederate States of America -- Correspondence| Butler family, correspondent.| Confederate States of America -- Social conditions| Palatka (Fla.) -- History -- 19th century| Stone Mountain (Ga.) -- Social conditions -- 19th century"	Confederate States of America| Palatka (Fla.)| Stone Mountain (Ga.)		Text	butlerlouisapapers-000890421	890421	seca-9dc04ec9-ff87-4ba2-ae5a-4942961ddee3	http://library.duke.edu/rubenstein/findingaids/butlerlouisapapers-000890421/	20649297	RL.30381	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Marvin Benjamin Butler papers	"Butler, Marvin Benjamin"	1861-1864	1861/1864	eng	21 items	"Civil War letters between Butler and his future wife, Harriet M. Fuller, concerning camp life; military activities, especially the battle of Stones River (a.k.a. Murfreesboro), Buell's pursuit of Bragg in 1862, and the Vicksburg campaign; his illness and subsequent discharge; and life on the home front."		"Stones River, Battle of, Murfreesboro, Tenn., 1862-1863| Bragg, Braxton, 1817-1876| Buell, Don Carlos, 1818-1898| Butler, Harriet M. Fuller,correspondent.| United States. Army. Indiana Infantry Regiment, 44th (1861-1865)| Steuben County (Ind.) -- History| United States -- History -- Civil War, 1861-1865 -- Campaigns| Vicksburg (Miss.) -- History -- Siege, 1863"	Steuben County (Ind.)| United States| Vicksburg (Miss.)		Text	butlermarvinbenjaminpapers-000846398	846398	seca-24614931-689a-4847-a952-0497ea6a3139	http://library.duke.edu/rubenstein/findingaids/butlermarvinbenjaminpapers-000846398/	19276892	RL.30387	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Nicholas Murray Butler letter	"Butler, Nicholas Murray, 1862-1947"	1905	1905/1905	eng	1 item	"Letter from Butler to Sadler (possibly Sir Michael Ernest Sadler) from Cassel, Germany, where Butler recounted his conversations with Kaiser Wilhelm II."					Text	butlernicholasmurray-003863567	3863567	seca-d9e13cba-279b-4bcf-9f09-bd5f2fba01b7	http://library.duke.edu/rubenstein/findingaids/butlernicholasmurray-003863567/	1008596742	RL.30394	[local_id]	image	http://rightsstatements.org/vocab/UND/1.0/	[rights_note]
Pierce Butler papers	"Butler, Pierce"	1791-1814	1791/1814	eng	4 items	Papers discuss legal and financial matters. One is concerned with paying off a mortgage; one is a bill of exchange signed over to Butler in 1791.		"Butler, Pierce| Prince William's Parish (S.C.)| South Carolina -- 18th century"	South Carolina		Text	butlerpiercepapers-003863564	3863564	seca-655ad6d3-fc9b-4dc1-8edc-8db0877142d8	http://library.duke.edu/rubenstein/findingaids/butlerpiercepapers-003863564/	1008570717	RL.30373	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
Albert I. Butner papers	"Butner, Albert I."	1820-1907 ;	1820/1907	eng	66 items	"Personal and business papers of Butner, consisting of personal letters, including one of 1855 describing a balloon ascension at Salem, N.C.; correspondence relating to education in North Carolina and school affairs in Forsyth County; rough minutes of the Forsyth County Board of Education, 1890-1895; and a temporary school register for Bethania Public School, 1904-1905. Correspondents include John Franklin Heitman and J.W. Giles."		"Balloons -- North Carolina -- Winston-Salem -- 19th century| Education -- North Carolina -- 19th century| Schools -- North Carolina -- Forsyth County| Giles, J. W.,correspondent.| Heitman, John F.,correspondent.| Forsyth County (N.C.). Board of Education| Forsyth County (N.C.) -- History"	Forsyth County (N.C.)		Text	butneralbertipapers-000890425	890425	seca-be201274-8379-4fff-950f-8093723cb0bc	http://library.duke.edu/rubenstein/findingaids/butneralbertipapers-000890425/	20649308	RL.30377	[local_id]	image	http://rightsstatements.org/vocab/UND/1.0/	[rights_note]
Maria Buttner letter	"Buttner, Maria"	1852 Sept. 13	1852/1852	eng	0.10 linear feet	"Letter to her brother, Albert T.J. Buttner in Whiteville, N.C. Topics include agriculture, family news, a Jewish wedding, and an election of 1852. Buttner made particularly interesting comments comparing the repression of women and slaves: ""I always take it for granted that people who have such 'glass cupboard['] reasons are great advocates for slavery, either of women or negroes; for it seems as though we were considered in the same light, by some great souled people ..."" (02-165)."	Purchase 2002	"Agriculture -- North Carolina| Agriculture -- North Carolina -- 19th century| Women -- History -- 19th century| Jews -- North Carolina| Jews -- North Carolina -- Social life and customs| Slavery -- United States -- History -- 19th century| Racism -- United States -- History -- 19th century| Slavery -- History -- 19th century| Elections -- United States -- 1852| Buttner, Albert T. J.,correspondent.| Buttner, Maria| Buttner family| Bethania (N.C.) -- History| Forsyth County (N.C.) -- History| North Carolina -- Social life and customs| North Carolina -- Politics and government -- 1775-1865| Southern States -- History -- 1775-1865"	Bethania (N.C.)| Forsyth County (N.C.)| North Carolina| Southern States		Text	buttnermaria-003133810	3133810	seca-5d793fb2-7b4b-4c51-9555-83ad402613e2	http://library.duke.edu/rubenstein/findingaids/buttnermaria-003133810/	51301460	RL.30382	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
