title	creator	date_expression	date	language	extent	description	provenance	subject	spatial	format	type	ead_id	aleph_id	aspace_id	finding_aid_url	oclc_num	identifier	local_id	display_format	rights	rights_note
Douglas and Brothers records	Douglas and Brothers	1849	1849/1849	eng	7 items	Business correspondence, including specifications and orders.		Shipbuilding -- Connecticut| Douglas and Brothers			Text	douglasandbrothers-002561022	002561022	seca-3356a69d-1bba-4783-81c3-e95dbb80cb7f	https://library.duke.edu/rubenstein/findingaids/douglasandbrothers-002561022/	41027286	RL.30757	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Eleanor Hall Douglas papers	Douglas, Eleanor Hall	1798-1845	1798/1845	eng	25 items	Correspondence reflecting social and economic conditions and referring specifically to the purchase of farmland, weaving and spinning, the birth and growth of the children, and other personal and family matters. An 1825 letter from Thomas Johnson to Isaac Hall (Eleanor's son) contains medical field advancements from the University of Pennsylvania lectures of Dr. Nathaniel Chapman and Dr. Samuel Jackson.		Medicine -- Study and teaching -- 19th century| Agriculture -- Virginia| Spinning| Weaving| Women -- Virginia -- Social conditions| Staunton (Va.) -- History| Virginia -- Economic conditions| Virginia -- Social life and customs	Staunton (Va.)| Virginia		Text	douglaseleanorhallpapers-000893837	000893837	seca-3e055034-8706-4235-9bfd-6dbbd0f465e6	https://library.duke.edu/rubenstein/findingaids/douglaseleanorhallpapers-000893837/	20737177	RL.30753	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	
Stephen A. Douglas papers	Douglas, Stephen A. (Stephen Arnold), 1813-1861	1848-1861	1848/1861	eng	4 items	Miscellaneous items from Brander, Williams, and Co. (New Orleans) to Douglas, regarding the marketing of cotton. The collection also includes a letter from Douglas to William Alexander Richardson, an Illinois delegate to the Democratic Party conventions at Charleston, S.C., and Baltimore, Md., 1860. Douglas writes that he has "no hope for the preservation of the Union, except by a faithful and rigid adherence to the doctrine of non Intervention by Congress with Slavery in the Territories," and offers to withdraw his name if the delegates could unite behind another non-intervention, Union-loving Democrat.		Cotton -- Marketing -- 19th century| Secession| Richardson, William Alexander, correspondent.| Democratic Party (U.S.) -- 19th century| Southern States -- Politics and government -- 1775-1865| United States -- Politics and government -- 1857-1861	Southern States| United States		Text	douglasstephenapapers-000893753	000893753	seca-352fcde2-80a7-4b68-aec6-bde1e95a800b	https://library.duke.edu/rubenstein/findingaids/douglasstephenapapers-000893753/	20736864	RL.30756	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Stephen Douthit daybook	Douthit, Stephen	1851-1854	1851/1854	eng	1 v	Daybook of a Salem (Forsyth Co.), Va., blacksmith's shop.		Blacksmithing -- Accounting| Blacksmiths -- Virginia -- Salem| Business records -- Virginia -- Salem| Salem (Va.) -- Commerce	Salem (Va.)		Text	douthitstephen-000893757	000893757	seca-439c07bc-d3ab-4cd2-a792-0ae9a5a31728	https://library.duke.edu/rubenstein/findingaids/douthitstephen-000893757/	20736873	RL.30758	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
A. Dowd papers	Dowd, A. J.	1864-1865	1864/1865	eng	5 items	Dowd's letters home to his family, written while serving in the Confederate Army. Topics concern family affairs and his future prospects.		Dowd, A. J.| Confederate States of America. Army -- Correspondence| North Carolina -- History -- 19th century| United States -- History -- Civil War, 1861-1865	North Carolina| United States		Text	dowdajpapers-002561025	002561025	seca-73956418-ece8-42c9-b5a0-c4ee9501ef9f	https://library.duke.edu/rubenstein/findingaids/dowdajpapers-002561025/	41027288	RL.30762	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Neal Dow letter	Dow, Neal	1896	1896/1896	eng	1 item	Collection consists of a letter concerning the "Maine Law" and temperance reform.		Temperance -- Maine| Portland (Me.) -- History	Portland (Me.)		Text	downeal-002448929	002448929	seca-ea01f4cd-2566-4b7f-a3ca-b307e36cbc28	https://library.duke.edu/rubenstein/findingaids/downeal-002448929/	39100430	RL.30765	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Down family papers	Down family	1797-1803	1797/1803	eng	7 items	Chiefly letters to Captain Down in England, from a few men in Charleston, S.C., who were evidently employed to assist in settling a dispute involving W.J. Somers's estate. Somers was Down's father-in-law and lived in the Charleston area. There is also information relating to Down's brother, who was living in South Carolina, and a letter from one of Down's nieces to her aunt in England.	Purchase 1981	Real property -- South Carolina -- Charleston| Inheritance and succession -- South Carolina -- Charleston| British -- South Carolina| Down, Edward, correspondent.| Somers, W. J. -- Will.			Text	downfamilypapers-001098616	001098616	seca-a66a8964-8194-4343-a77d-527247d6560f	https://library.duke.edu/rubenstein/findingaids/downfamilypapers-001098616/	28081359	RL.30752	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	
D. W. Dowtin papers	Dowtin, D. W.	1862-1865	1862/1865	eng	11 items	Collection contains letters of a Confederate soldier to his mother and sister, largely describing camp life.		Soldiers -- Confederate States of America -- Correspondence| Dowtin, D. W.| Confederate States of America. Army -- Military life| United States -- History -- Civil War, 1861-1865	United States		Text	dowtindwpapers-002487281	002487281	seca-a689bd16-2f79-4cac-b8d7-1bca73229038	https://library.duke.edu/rubenstein/findingaids/dowtindwpapers-002487281/	39537428	RL.30760	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Mamie Draper midwife journal	Draper, Mamie	1894-1912	1894/1912	eng	1 item	Collection consists of a midwife's journal of deliveries. Included is each infant's name, date of birth (and sometimes death), birth weight, parent's name, name of delivering doctor and in most cases a lock of the baby's hair.	Gift 1996	Registers of births, etc| Infants| Midwifery			Text	drapermamie-002269722	002269722	seca-5d920259-4311-4a0e-9cd7-4ea7330adadc	https://library.duke.edu/rubenstein/findingaids/drapermamie-002269722/	36752584	RL.30764	[local_id]	image	http://rightsstatements.org/vocab/UND/1.0/	[rights_note]	
William Drayton papers	Drayton, William, 1776-1846	1815-1833	1815/1833	eng	13 items	Collection contains Drayton's routine political correspondence, chiefly concerning appointments and the estate of John Drayton (probably a great uncle).		Politicians -- South Carolina -- Charleston -- Correspondence| Charleston (S.C.) -- History| United States -- Politics and government -- 19th century	Charleston (S.C.)| United States		Text	draytonwilliampapers-002388102	002388102	seca-aa5b49ee-5ad4-45de-bb6e-081efb9662b1	https://library.duke.edu/rubenstein/findingaids/draytonwilliampapers-002388102/	38247261	RL.30754	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	
John C. Hamilton letter to Ferdinand J. Dreer	Dreer, Ferdinand J. (Ferdinand Julius), 1812-1902	1867	1867/1867	eng	1 item	Letter to Dreer from John C. Hamilton asking to see his collection of papers of prominent Americans.		Dreer, Ferdinand J. (Ferdinand Julius), 1812-1902| Hamilton, John C., correspondent.			Text	dreerferdinandj-002561229	002561229	seca-2c080127-1209-41a4-b85e-11a099959c21	https://library.duke.edu/rubenstein/findingaids/dreerferdinandj-002561229/	41038363	RL.30763	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Drenan family papers	Drenan family	1862-1865	1862/1865	eng	59 items	Letters from Union soldiers from Vermont who were stationed in Washington, D.C., Virginia, and Maryland during the Civil War. Correspondence concerns camp life, United States Army hospitals, particularly the general hospitals at Harpers Ferry and Fort Schuyler, and the battle of Culpeper Court House, 1862.		Soldiers -- United States -- Correspondence| United States. Army -- Military life| Culpeper (Va.) -- History -- Civil War, 1861-1865| Fort Schuyler (N.Y.) -- History -- Civil War, 1861-1865| Harpers Ferry (W. Va.) -- History -- Civil War, 1861-1865| Maryland -- History -- Civil War, 1861-1865| United States -- History -- Civil War, 1861-1865 -- Hospitals| Virginia -- History -- Civil War, 1861-1865| Washington (D.C.) -- History -- Civil War, 1861-1865	Culpeper (Va.)| Fort Schuyler (N.Y.)| Harpers Ferry (W. Va.)| Maryland| United States| Virginia| Washington (D.C.)		Text	drenanfamilypapers-000893769	000893769	seca-cacecd64-8e1e-49be-b607-677954d33946	https://library.duke.edu/rubenstein/findingaids/drenanfamilypapers-000893769/	20736898	RL.30761	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Charles Dresser papers	Dresser, Charles	1830-1836	1830/1836	eng	5 items	Correspondence from Dresser with officials of the Virginia Bible Society, the American Tract Society, and the Southern Churchman magazine.		Dresser, Charles| Episcopal Church -- History| Virginia Bible Society			Text	dressercharlespapers-002561230	002561230	seca-d3b80f6a-d8ca-4d95-9da0-0c08772833dd	https://library.duke.edu/rubenstein/findingaids/dressercharlespapers-002561230/	41038350	RL.30755	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	
William Drew papers	Drew, William	1858-1885	1858/1885	eng	13 items	Personal scattered correspondence of the Drew family.		Drew, William| Drew family, correspondent.| Jefferson County (W. Va.) -- History	Jefferson County (W. Va.)		Text	drewwilliampapers-002561231	002561231	seca-bb18b71e-a0e1-4fd6-9b87-e0c0ee097fb2	https://library.duke.edu/rubenstein/findingaids/drewwilliampapers-002561231/	41038357	RL.30759	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
