title	creator	date_expression	date	language	extent	description	provenance	subject	spatial	format	type	collection_slug	aleph_id	oclc_num	local_id	display_format	rights	rights_note
H. Hetsler letters	Hetsler, H.	1861	1861/1861	eng	2 items	Letters of an Ohio soldier describing hardships of army life.		Soldiers -- United States| Hetsler, H.| United States. Army -- Military life| United States -- History -- Civil War, 1861-1865	United States		Text	hetslerhletters-002572455	002572455	41269715	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Joseph Hewes letter	Hewes, Joseph, 1730-1779	1779	1779/1779	eng	1 item	Letter from John Campbell to Hewes describing the public attitude in North Carolina, general distress and inflation, coinage weights and values, and the need for a mint.		Coinage -- North Carolina -- History| Money -- North Carolina -- History| Campbell, John, creator.| Campbell, John| Hewes, Joseph, 1730-1779| United States -- Signers| North Carolina -- Politics and government -- 1775-1783| North Carolina -- Social conditions -- 18th century| North Carolina -- Economic conditions -- 18th century	North Carolina		Text	hewesjoseph-002578621	002578621	41395586	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
James Henry Hewett letters	Hewett, James Henry	1861-1862	1861/1862	eng	8 items	Letters, written on pictorial stationery, from Hewett to his brother, describing his movements through North Carolina and Virginia. He was located in Wilmington, N.C. (1861), Acquia Creek, Va. (1861-1862), Goldsboro, N.C. (1862), and Richmond, Va. (1862). One letter includes a description of General Thomas Jonathan ("Stonewall") Jackson.	Purchase 1986	Hewett, James Henry| Jackson, Stonewall, 1824-1863| Confederate States of America. Army. North Carolina Infantry Regiment, 3rd. Company F.| North Carolina -- History -- Civil War, 1861-1865| Virginia -- History -- Civil War, 1861-1865	North Carolina| Virginia		Text	hewettjameshenryletters-000748079	000748079	15671488	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Fayette Hewitt letters	Hewitt, Fayette, 1831-1909	1894	1894/1894	eng	2 items	A letter of Fayette Hewitt to Thomas D. Osborne concerning the return of bodies of soldiers killed in various battles, including Chickamauga; and a picture and biographical sketch of Hewitt.		Soldiers' bodies, Disposition of -- History -- 19th century| Chickamauga, Battle of, Ga., 1863| Hewitt, Fayette, 1831-1909| United States -- History -- Civil War, 1861-1865	United States		Text	hewittfayetteletters-002572456	002572456	41269724	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Richard Newton Hewitt correspondence	Hewitt, Richard Newton	1836-1873	1836/1873	eng	84 items	Principally the Civil War correspondence of R.N. Hewitt containing comments on personal affairs, the difficulties of army life, prices of salt and supplies, the first battle of Bull Run, the blockade of Southern ports, prisoners, picket duty, troop movements, food, clothing, sickness, hospitals, a measles epidemic, music, and various Confederate and Union officers and leaders. Other personal correspondence refers to commodity prices, slaves, religion, weather and crops, the settlement of estates, the University of Virginia and its students and social life, and railroads.		Bull Run, 1st Battle of, Va., 1861| Crops and climate -- Southern States| Executors and administrators -- Virginia| Hospitals -- Confederate States of America| Railroads -- Southern States| Slavery -- Virginia| Soldiers -- Confederate States of America -- Correspondence| Hewitt, Richard Newton| Confederate States of America. Army -- Military life| Confederate States of America. Army -- Officers -- Correspondence| Confederate States of America. Army -- Supplies and stores| Confederate States of America. Army -- Surgeons| University of Virginia -- Students| Southern States -- Economic conditions| Southern States -- Social conditions| United States -- History -- Civil War, 1861-1865 -- Blockades| United States -- History -- Civil War, 1861-1865 -- Medical care| United States -- History -- Civil War, 1861-1865 -- Prisoners and prisons	Southern States| United States		Text	hewittrichardnewton-000861245	000861245	19794006	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
T. D. Heyward papers	Heyward, T. D.	1886-1888	1886/1888	eng	3 items	Two letters from Selma Heyward to her husband, T. D. Heyward, in Savannah, Georgia, describing earthquakes in South Carolina; and a special order issued by the Savannah Volunteer Guards ordering the holding of elections.		Earthquakes -- South Carolina| Heyward, Selma, creator.| Heyward, Selma| Heyward, T. D.| Savannah Volunteer Guards, Inc -- History			Text	heywardtdpapers-002572458	002572458	41269723	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Alma Hibbard journal	Hibbard, Alma	1859-1863	1859/1863	eng	1 volume	Journal (120 pages) by Hibbard contains comments on the Meade household; social life, customs, peculiarities of speech in the area; and slavery.		Education -- Virginia -- History -- 19th century| Slavery -- Virginia -- Clarke County| Women teachers -- Diaries| Hibbard, Alma| Meade, William, 1789-1862| Clarke County (Va.) -- Social life and customs| Virginia -- Social life and customs	Clarke County (Va.)| Virginia		Text	hibbardalma-000894245	000894245	20748503	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Andrew Hickenlooper letter	Hickenlooper, Andrew, 1837-1904	1885	1885/1885	eng	2 items	Letter to Andrew Hickenlooper, Jr., from Schuyler Hamilton concerning the Society of the Army of the Tennessee. Includes an extract from the Society's Proceedings.		Hamilton, Schuyler, creator.| Hamilton, Schuyler| Hickenlooper, Andrew, 1837-1904| Society of the Army of the Tennessee			Text	hickenlooperandrew-002572459	002572459	41269721	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Hicks, Jones & Mallory records	Hicks, Jones & Mallory.	1864-1866	1864/1866	eng	37 items	Business papers, bills, and receipts of Hicks, Jones, and Mallory. Also includes an accout book (80 pages) for 1864.		Shoes -- Virginia| Hicks, Jones & Mallory			Text	hicksjonesmallory-002566202	002566202	41161221	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Thomas Hicks letter	Hicks, Thomas, 1823-1890	1859	1859/1859	eng	1 item	Letter to Thomas Hicks from G. W. Van Derlip concerning possible revisions to a portrait which Hicks had completed.		Portraits, American| Hicks, Thomas, 1823-1890| Van Derlip, G. W.| Van Derlip, G. W., creator.			Text	hicksthomas-002566201	002566201	41161213	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
